,group,variable,month,MENORES DE 1 AÑO VIVAX,MENORES DE 1 AÑO VIVAX,MENORES DE 1 AÑO FALCIPARUM,MENORES DE 1 AÑO FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BELLA FLOR,malaria,menores de 1 ano,2023-01-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
IXIAMAS,malaria,menores de 1 ano,2023-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RIBERALTA,malaria,menores de 1 ano,2023-01-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
IXIAMAS,malaria,menores de 1 ano,2023-02-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
RIBERALTA,malaria,menores de 1 ano,2023-02-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
RIBERALTA,malaria,menores de 1 ano,2023-03-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
SENA,malaria,menores de 1 ano,2023-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
IXIAMAS,malaria,menores de 1 ano,2023-04-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
RIBERALTA,malaria,menores de 1 ano,2023-04-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
IXIAMAS,malaria,menores de 1 ano,2023-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
RIBERALTA,malaria,menores de 1 ano,2023-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
GUAYARAMERIN,malaria,menores de 1 ano,2023-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
PUERTO GONZALO MORENO,malaria,menores de 1 ano,2023-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RIBERALTA,malaria,menores de 1 ano,2023-06-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
SENA,malaria,menores de 1 ano,2023-06-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RIBERALTA,malaria,menores de 1 ano,2023-07-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN LORENZO(PND),malaria,menores de 1 ano,2023-07-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
EUREKA (SANTOS MERCADO),malaria,menores de 1 ano,2023-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
IXIAMAS,malaria,menores de 1 ano,2023-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
GUAYARAMERIN,malaria,menores de 1 ano,2023-10-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
IXIAMAS,malaria,menores de 1 ano,2023-10-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RIBERALTA,malaria,menores de 1 ano,2023-12-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
