municipality,group,variable,month,Mujeres con primer control post parto,TOTAL
ACACIO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
ACHACACHI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,43,43
ACHOCALLA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,4,4
AIQUILE,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,21,21
ALALAY,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,3,3
ALCALA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,1,1
ALTO BENI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
ANCORAIMES,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,17,17
ANDAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
ANTEQUERA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
ANZALDO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,6,6
APOLO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,22,22
ARAMPAMPA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,3,3
ARANI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,10,10
ARBIETO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,17,17
ARQUE,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,17,17
ASCENCION DE GUARAYOS,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,51,51
ATOCHA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,1,1
AUCAPATA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,8,8
AYATA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
AYO AYO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,29,29
AZURDUY,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,18,18
BATALLAS,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,15,15
BAURES,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,8,8
BERMEJO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,31,31
BETANZOS,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,38,38
BOLIVAR,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,6,6
BOLPEBRA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
BOYUIBE,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
BUENA VISTA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,9,9
CABEZAS,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,11,11
CAIROMA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,6,6
"CAIZA ""D""",atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,10,10
CAJUATA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,7,7
CALACOTO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
CALAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,25,25
CAMARGO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,34,34
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
CAMIRI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,29,29
CAPINOTA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,18,18
CAQUIAVIRI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,4,4
CARACOLLO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,11,11
CARANAVI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,54,54
CARAPARI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,13,13
CARIPUYO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
CARMEN RIVERO TORREZ,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,3,3
CHALLAPATA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,54,54
CHAQUI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,1,1
CHARAGUA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,33,33
