municipality,group,variable,month,Nacidos muertos,TOTAL
ACHACACHI,atencion de partos en servicios,nacidos muertos,2010-01-01,3,3
APOLO,atencion de partos en servicios,nacidos muertos,2010-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos,2010-01-01,1,1
CABEZAS,atencion de partos en servicios,nacidos muertos,2010-01-01,1,1
CALACOTO,atencion de partos en servicios,nacidos muertos,2010-01-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos,2010-01-01,3,3
CARANAVI,atencion de partos en servicios,nacidos muertos,2010-01-01,3,3
CHARAGUA,atencion de partos en servicios,nacidos muertos,2010-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos muertos,2010-01-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos,2010-01-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2010-01-01,18,18
COLCAPIRHUA,atencion de partos en servicios,nacidos muertos,2010-01-01,1,1
COLOMI,atencion de partos en servicios,nacidos muertos,2010-01-01,1,1
CONCEPCION,atencion de partos en servicios,nacidos muertos,2010-01-01,2,2
EL ALTO,atencion de partos en servicios,nacidos muertos,2010-01-01,13,13
EL VILLAR,atencion de partos en servicios,nacidos muertos,2010-01-01,1,1
ESCOMA,atencion de partos en servicios,nacidos muertos,2010-01-01,1,1
GUANAY,atencion de partos en servicios,nacidos muertos,2010-01-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2010-01-01,33,33
MAGDALENA,atencion de partos en servicios,nacidos muertos,2010-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos,2010-01-01,3,3
OCURI,atencion de partos en servicios,nacidos muertos,2010-01-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos,2010-01-01,10,10
POTOSI,atencion de partos en servicios,nacidos muertos,2010-01-01,6,6
PUERTO GONZALO MORENO,atencion de partos en servicios,nacidos muertos,2010-01-01,1,1
PUERTO SUAREZ,atencion de partos en servicios,nacidos muertos,2010-01-01,2,2
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2010-01-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos,2010-01-01,1,1
QUILLACOLLO,atencion de partos en servicios,nacidos muertos,2010-01-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos,2010-01-01,2,2
SACABA,atencion de partos en servicios,nacidos muertos,2010-01-01,4,4
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,nacidos muertos,2010-01-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos,2010-01-01,5,5
SAN CARLOS,atencion de partos en servicios,nacidos muertos,2010-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos,2010-01-01,4,4
SAN LUCAS,atencion de partos en servicios,nacidos muertos,2010-01-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2010-01-01,32,32
SUCRE,atencion de partos en servicios,nacidos muertos,2010-01-01,4,4
TARIJA,atencion de partos en servicios,nacidos muertos,2010-01-01,3,3
TARVITA,atencion de partos en servicios,nacidos muertos,2010-01-01,2,2
TRINIDAD,atencion de partos en servicios,nacidos muertos,2010-01-01,3,3
TUPIZA,atencion de partos en servicios,nacidos muertos,2010-01-01,2,2
VILA VILA,atencion de partos en servicios,nacidos muertos,2010-01-01,1,1
VILLAZON,atencion de partos en servicios,nacidos muertos,2010-01-01,4,4
ACHACACHI,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
AIQUILE,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos,2010-02-01,2,2
CAMIRI,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos,2010-02-01,2,2
CHALLAPATA,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
CHUMA,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos,2010-02-01,2,2
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2010-02-01,21,21
COLCAPIRHUA,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
CONCEPCION,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
COROICO,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2010-02-01,20,20
ESCOMA,atencion de partos en servicios,nacidos muertos,2010-02-01,2,2
EXALTACION,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
JESUS DE MACHACA,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2010-02-01,28,28
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
MAGDALENA,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
MECAPACA,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
MIZQUE,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
MOJOCOYA,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos muertos,2010-02-01,2,2
MONTERO,atencion de partos en servicios,nacidos muertos,2010-02-01,2,2
OCURI,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos,2010-02-01,13,13
PADILLA,atencion de partos en servicios,nacidos muertos,2010-02-01,2,2
POTOSI,atencion de partos en servicios,nacidos muertos,2010-02-01,6,6
PRESTO,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos,2010-02-01,6,6
QUILLACOLLO,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
RURRENABAQUE,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
SACABA,atencion de partos en servicios,nacidos muertos,2010-02-01,2,2
SACACA,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
SAN BENITO,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
SAN IGNACIO,atencion de partos en servicios,nacidos muertos,2010-02-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos,2010-02-01,2,2
SAN JULIAN,atencion de partos en servicios,nacidos muertos,2010-02-01,3,3
SAN LUCAS,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
SAN MATIAS,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
SAN RAMON SCZ,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2010-02-01,23,23
SICA SICA (VILLA AROMA),atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
SIPE SIPE,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
SUCRE,atencion de partos en servicios,nacidos muertos,2010-02-01,5,5
TARACO,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos,2010-02-01,4,4
TRINIDAD,atencion de partos en servicios,nacidos muertos,2010-02-01,2,2
UYUNI,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
VALLEGRANDE,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2010-02-01,2,2
WARNES,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos,2010-02-01,2,2
YOTALA,atencion de partos en servicios,nacidos muertos,2010-02-01,1,1
ARANI,atencion de partos en servicios,nacidos muertos,2010-03-01,1,1
CABEZAS,atencion de partos en servicios,nacidos muertos,2010-03-01,2,2
CAIROMA,atencion de partos en servicios,nacidos muertos,2010-03-01,1,1
CAJUATA,atencion de partos en servicios,nacidos muertos,2010-03-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos,2010-03-01,1,1
