municipality,group,variable,month,Cesáreas,TOTAL
ACHACACHI,atencion de partos en servicios,cesareas,2010-01-01,1,1
AIQUILE,atencion de partos en servicios,cesareas,2010-01-01,4,4
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2010-01-01,1,1
AZURDUY,atencion de partos en servicios,cesareas,2010-01-01,1,1
BAURES,atencion de partos en servicios,cesareas,2010-01-01,3,3
BERMEJO,atencion de partos en servicios,cesareas,2010-01-01,12,12
CAMARGO,atencion de partos en servicios,cesareas,2010-01-01,13,13
CAMIRI,atencion de partos en servicios,cesareas,2010-01-01,29,29
CARANAVI,atencion de partos en servicios,cesareas,2010-01-01,13,13
CHALLAPATA,atencion de partos en servicios,cesareas,2010-01-01,5,5
CHARAGUA,atencion de partos en servicios,cesareas,2010-01-01,9,9
COBIJA,atencion de partos en servicios,cesareas,2010-01-01,64,64
COCHABAMBA,atencion de partos en servicios,cesareas,2010-01-01,651,651
COLCAPIRHUA,atencion de partos en servicios,cesareas,2010-01-01,8,8
COMARAPA,atencion de partos en servicios,cesareas,2010-01-01,4,4
CONCEPCION,atencion de partos en servicios,cesareas,2010-01-01,6,6
COROICO,atencion de partos en servicios,cesareas,2010-01-01,1,1
COTOCA,atencion de partos en servicios,cesareas,2010-01-01,4,4
CULPINA,atencion de partos en servicios,cesareas,2010-01-01,3,3
EL ALTO,atencion de partos en servicios,cesareas,2010-01-01,188,188
EL TORNO,atencion de partos en servicios,cesareas,2010-01-01,8,8
ESCOMA,atencion de partos en servicios,cesareas,2010-01-01,2,2
GUAYARAMERIN,atencion de partos en servicios,cesareas,2010-01-01,37,37
LA PAZ,atencion de partos en servicios,cesareas,2010-01-01,564,564
LLALLAGUA,atencion de partos en servicios,cesareas,2010-01-01,2,2
MAGDALENA,atencion de partos en servicios,cesareas,2010-01-01,6,6
MAIRANA,atencion de partos en servicios,cesareas,2010-01-01,3,3
MONTEAGUDO,atencion de partos en servicios,cesareas,2010-01-01,10,10
MONTERO,atencion de partos en servicios,cesareas,2010-01-01,96,96
OCURI,atencion de partos en servicios,cesareas,2010-01-01,1,1
ORURO,atencion de partos en servicios,cesareas,2010-01-01,196,196
PADILLA,atencion de partos en servicios,cesareas,2010-01-01,4,4
PORTACHUELO,atencion de partos en servicios,cesareas,2010-01-01,23,23
POTOSI,atencion de partos en servicios,cesareas,2010-01-01,95,95
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2010-01-01,2,2
PUERTO SUAREZ,atencion de partos en servicios,cesareas,2010-01-01,11,11
PUERTO VILLARROEL,atencion de partos en servicios,cesareas,2010-01-01,1,1
PUNATA,atencion de partos en servicios,cesareas,2010-01-01,38,38
QUILLACOLLO,atencion de partos en servicios,cesareas,2010-01-01,31,31
REYES,atencion de partos en servicios,cesareas,2010-01-01,6,6
RIBERALTA,atencion de partos en servicios,cesareas,2010-01-01,58,58
ROBORE,atencion de partos en servicios,cesareas,2010-01-01,3,3
RURRENABAQUE,atencion de partos en servicios,cesareas,2010-01-01,5,5
SACABA,atencion de partos en servicios,cesareas,2010-01-01,39,39
SAMAIPATA,atencion de partos en servicios,cesareas,2010-01-01,2,2
SAN BORJA,atencion de partos en servicios,cesareas,2010-01-01,20,20
SAN BUENA VENTURA,atencion de partos en servicios,cesareas,2010-01-01,10,10
