municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
ACHACACHI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,2,2
APOLO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,3,3
CARANAVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,3,3
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,16,16
COLCAPIRHUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,1,1
CONCEPCION,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,11,11
EL VILLAR,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,1,1
ESCOMA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,20,20
MAGDALENA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,3,3
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,7,7
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,5,5
QUILLACOLLO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,2,2
SACABA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,2,2
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,2,2
SAN CARLOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,22,22
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,2,2
TARVITA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,2,2
TRINIDAD,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,1,1
VILLAZON,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-01-01,2,2
AIQUILE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,1,1
