municipality,group,variable,month,Nacidos vivos,TOTAL
ACACIO,atencion de partos en servicios,nacidos vivos,2010-01-01,3,3
ACHACACHI,atencion de partos en servicios,nacidos vivos,2010-01-01,32,32
ACHOCALLA,atencion de partos en servicios,nacidos vivos,2010-01-01,5,5
AIQUILE,atencion de partos en servicios,nacidos vivos,2010-01-01,30,30
ALCALA,atencion de partos en servicios,nacidos vivos,2010-01-01,1,1
ALTO BENI,atencion de partos en servicios,nacidos vivos,2010-01-01,3,3
ANCORAIMES,atencion de partos en servicios,nacidos vivos,2010-01-01,10,10
ANDAMARCA,atencion de partos en servicios,nacidos vivos,2010-01-01,1,1
ANTEQUERA,atencion de partos en servicios,nacidos vivos,2010-01-01,2,2
ANZALDO,atencion de partos en servicios,nacidos vivos,2010-01-01,2,2
APOLO,atencion de partos en servicios,nacidos vivos,2010-01-01,11,11
ARAMPAMPA,atencion de partos en servicios,nacidos vivos,2010-01-01,2,2
ARANI,atencion de partos en servicios,nacidos vivos,2010-01-01,15,15
ARBIETO,atencion de partos en servicios,nacidos vivos,2010-01-01,9,9
ARQUE,atencion de partos en servicios,nacidos vivos,2010-01-01,4,4
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos,2010-01-01,50,50
ATOCHA,atencion de partos en servicios,nacidos vivos,2010-01-01,5,5
AUCAPATA,atencion de partos en servicios,nacidos vivos,2010-01-01,1,1
AYATA,atencion de partos en servicios,nacidos vivos,2010-01-01,4,4
AYO AYO,atencion de partos en servicios,nacidos vivos,2010-01-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos vivos,2010-01-01,15,15
AZURDUY,atencion de partos en servicios,nacidos vivos,2010-01-01,13,13
BATALLAS,atencion de partos en servicios,nacidos vivos,2010-01-01,5,5
BAURES,atencion de partos en servicios,nacidos vivos,2010-01-01,9,9
BERMEJO,atencion de partos en servicios,nacidos vivos,2010-01-01,50,50
BETANZOS,atencion de partos en servicios,nacidos vivos,2010-01-01,20,20
BOLIVAR,atencion de partos en servicios,nacidos vivos,2010-01-01,1,1
BOLPEBRA,atencion de partos en servicios,nacidos vivos,2010-01-01,1,1
BOYUIBE,atencion de partos en servicios,nacidos vivos,2010-01-01,2,2
BUENA VISTA,atencion de partos en servicios,nacidos vivos,2010-01-01,8,8
CABEZAS,atencion de partos en servicios,nacidos vivos,2010-01-01,14,14
CAIROMA,atencion de partos en servicios,nacidos vivos,2010-01-01,2,2
"CAIZA ""D""",atencion de partos en servicios,nacidos vivos,2010-01-01,10,10
CAJUATA,atencion de partos en servicios,nacidos vivos,2010-01-01,4,4
CALAMARCA,atencion de partos en servicios,nacidos vivos,2010-01-01,9,9
CAMARGO,atencion de partos en servicios,nacidos vivos,2010-01-01,34,34
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,nacidos vivos,2010-01-01,2,2
CAMIRI,atencion de partos en servicios,nacidos vivos,2010-01-01,61,61
CAPINOTA,atencion de partos en servicios,nacidos vivos,2010-01-01,35,35
CAQUIAVIRI,atencion de partos en servicios,nacidos vivos,2010-01-01,1,1
CARACOLLO,atencion de partos en servicios,nacidos vivos,2010-01-01,12,12
CARANAVI,atencion de partos en servicios,nacidos vivos,2010-01-01,87,87
CARAPARI,atencion de partos en servicios,nacidos vivos,2010-01-01,12,12
CARIPUYO,atencion de partos en servicios,nacidos vivos,2010-01-01,2,2
CARMEN RIVERO TORREZ,atencion de partos en servicios,nacidos vivos,2010-01-01,4,4
CHALLAPATA,atencion de partos en servicios,nacidos vivos,2010-01-01,43,43
CHARAGUA,atencion de partos en servicios,nacidos vivos,2010-01-01,48,48
CHARAÑA,atencion de partos en servicios,nacidos vivos,2010-01-01,1,1
CHAYANTA,atencion de partos en servicios,nacidos vivos,2010-01-01,5,5
CHIMORE,atencion de partos en servicios,nacidos vivos,2010-01-01,22,22
CHIPAYA,atencion de partos en servicios,nacidos vivos,2010-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos vivos,2010-01-01,17,17
CHUMA,atencion de partos en servicios,nacidos vivos,2010-01-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,nacidos vivos,2010-01-01,10,10
CKOCHAS,atencion de partos en servicios,nacidos vivos,2010-01-01,5,5
CLIZA,atencion de partos en servicios,nacidos vivos,2010-01-01,16,16
