municipality,group,variable,month,Mujeres puérperas con dosis única de vitamina A,TOTAL
ACACIO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,7,7
ACHACACHI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,39,39
ACHOCALLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,10,10
AIQUILE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,41,41
ALALAY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,5,5
ALCALA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,4,4
ALTO BENI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,11,11
ANCORAIMES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,14,14
ANDAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,2,2
ANTEQUERA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,1,1
ANZALDO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,4,4
APOLO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,12,12
ARAMPAMPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,6,6
ARANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,10,10
ARBIETO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,22,22
ARQUE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,19,19
ASCENCION DE GUARAYOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,90,90
ATOCHA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,8,8
AUCAPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,1,1
AYATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,7,7
AYO AYO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,25,25
AZURDUY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,11,11
BATALLAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,19,19
BAURES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,2,2
BELEN DE URMIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,2,2
BELLA FLOR,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,2,2
BERMEJO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,2,2
BETANZOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,41,41
BOLIVAR,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,8,8
BOLPEBRA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,1,1
BOYUIBE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,2,2
BUENA VISTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,8,8
CABEZAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2015-01-01,22,22
