municipality,group,variable,month,Niñas(os) menores de 1 año que reciben alimento complementario,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,52,52
ACHACACHI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,84,84
AIQUILE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,118,118
ALALAY,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,11,11
ALCALA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,30,30
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,1,1
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,58,58
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,28,28
ANZALDO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,34,34
APOLO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,42,42
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,27,27
ARANI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,10,10
ARBIETO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,111,111
ARQUE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,82,82
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,1,1
ATOCHA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,64,64
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,5,5
AYATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,61,61
AYO AYO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,54,54
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,170,170
AZURDUY,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,32,32
BATALLAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,35,35
BAURES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,4,4
BELEN DE ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,13,13
BELEN DE URMIRI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,11,11
BELLA FLOR,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,26,26
BERMEJO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,100,100
BETANZOS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,249,249
BOLIVAR,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,34,34
BOYUIBE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,4,4
CABEZAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,22,22
CAIROMA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,43,43
"CAIZA ""D""",micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,59,59
CAJUATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,20,20
CALAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,32,32
CAMARGO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,140,140
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,23,23
CAMIRI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,15,15
CAPINOTA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,122,122
CAQUIAVIRI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,53,53
CARACOLLO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,149,149
CARANAVI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,2,2
CARANGAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,1,1
CARAPARI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,138,138
CARIPUYO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,74,74
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2015-01-01,14,14
