municipality,group,variable,month,Niñas(os) de 1 año con 2da. dosis de vitamina A,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,5,5
ACHACACHI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,36,36
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,27,27
AIQUILE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,29,29
ALALAY,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,8,8
ALCALA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,5,5
ALTO BENI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,27,27
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,18,18
ANDAMARCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,2,2
ANTEQUERA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,2,2
ANZALDO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,13,13
APOLO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,10,10
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,6,6
ARANI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,13,13
ARBIETO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,32,32
ARQUE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,17,17
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,49,49
ATOCHA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,15,15
AUCAPATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,3,3
AYATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,11,11
AYO AYO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,40,40
AZURDUY,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,11,11
BATALLAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,19,19
BELEN DE URMIRI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,3,3
BELLA FLOR,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,5,5
BERMEJO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,29,29
BETANZOS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,19,19
BOLIVAR,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,12,12
BOYUIBE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,9,9
BUENA VISTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,34,34
CABEZAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,34,34
CAIROMA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,13,13
"CAIZA ""D""",micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,10,10
CAJUATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,13,13
CALACOTO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,7,7
CALAMARCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,14,14
CAMARGO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,22,22
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,2,2
CAMIRI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,40,40
CAPINOTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,46,46
CAQUIAVIRI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,17,17
CARACOLLO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,28,28
CARANAVI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,75,75
CARAPARI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,18,18
CARIPUYO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,12,12
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,2,2
CATACORA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,1,1
CHALLAPATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,37,37
CHAQUI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,10,10
CHARAGUA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,43,43
CHAYANTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,17,17
CHIMORE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,65,65
CHIPAYA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,3,3
CHOQUE COTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,1,1
CHUA COCANI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,12,12
CHUMA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,9,9
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,4,4
CKOCHAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,12,12
CLIZA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,23,23
COBIJA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,95,95
COCAPATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,21,21
COCHABAMBA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,479,479
COIPASA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,1,1
COLCAPIRHUA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,72,72
"COLCHA ""K""",micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,25,25
COLLANA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,5,5
COLOMI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,35,35
COLPA BELGICA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,6,6
COLQUECHACA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,48,48
COLQUENCHA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,11,11
COLQUIRI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,13,13
COMANCHE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,3,3
COMARAPA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,40,40
COMBAYA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2015-01-01,5,5
