municipality,group,variable,month,Niñas(os) menores de 1 año con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,9,9
ACHACACHI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,33,33
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,8,8
AIQUILE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,38,38
ALCALA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,6,6
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,18,18
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,21,21
ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,6,6
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,8,8
ANZALDO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,8,8
APOLO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,23,23
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,5,5
ARANI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,18,18
ARBIETO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,36,36
ARQUE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,18,18
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,60,60
ATOCHA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,28,28
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,6,6
AYATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,14,14
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,27,27
AZURDUY,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,21,21
BATALLAS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,29,29
BELEN DE ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,3,3
BELLA FLOR,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,11,11
BERMEJO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,36,36
BETANZOS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,30,30
BOLIVAR,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,6,6
BOLPEBRA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,2,2
BOYUIBE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,9,9
BUENA VISTA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,26,26
CABEZAS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,65,65
CAIROMA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,12,12
"CAIZA ""D""",micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,13,13
CAJUATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,10,10
CALACOTO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,8,8
CALAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,19,19
CAMARGO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,27,27
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,7,7
CAMIRI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,78,78
CAPINOTA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,32,32
CAQUIAVIRI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,4,4
CARACOLLO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,37,37
CARANAVI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,80,80
CARAPARI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,35,35
CARIPUYO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,13,13
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,18,18
CATACORA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,1,1
CHACARILLA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,1,1
CHALLAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,70,70
CHAQUI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,14,14
CHARAGUA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,88,88
CHARAÑA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,2,2
CHAYANTA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,21,21
CHIMORE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,55,55
CHIPAYA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,5,5
CHOQUE COTA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,2,2
CHUA COCANI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,13,13
CHUMA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,8,8
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,9,9
CKOCHAS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,16,16
CLIZA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,78,78
COBIJA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,132,132
COCAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,28,28
COCHABAMBA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,578,578
COIPASA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,2,2
COLCAPIRHUA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,81,81
"COLCHA ""K""",micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,24,24
COLLANA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,2,2
COLOMI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,39,39
COLPA BELGICA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,8,8
COLQUECHACA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,60,60
COLQUENCHA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,13,13
COLQUIRI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,10,10
COMANCHE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,5,5
COMARAPA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,24,24
COMBAYA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,3,3
CONCEPCION,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,52,52
COPACABANA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,25,25
CORIPATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,21,21
CORO CORO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,10,10
COROICO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,30,30
CORQUE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,8,8
COTAGAITA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,18,18
COTOCA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,161,161
CUATRO CAÑADAS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,39,39
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,2,2
CUEVO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,9,9
CULPINA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,36,36
CURAHUARA DE CARANGAS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,7,7
CURVA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,4,4
DESAGUADERO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,11,11
EL ALTO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,964,964
EL CHORO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,16,16
EL PUENTE(STC),micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,16,16
EL PUENTE(TJA),micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,16,16
EL TORNO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,99,99
EL VILLAR,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,8,8
ENTRE RIOS TRJ,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,47,47
ENTRE RIOS CBBA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,68,68
ESCOMA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,8,8
EUCALIPTUS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,7,7
EUREKA (SANTOS MERCADO),micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,5,5
EXALTACION,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,1,1
FERNANDEZ ALONSO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,15,15
FILADELFIA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,12,12
GENERAL SAAVEDRA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,19,19
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,7,7
GUANAY,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,26,26
GUAQUI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,4,4
GUAYARAMERIN,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,3,3
GUTIERREZ,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,48,48
HUACARETA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,14,14
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,9,9
HUACHACALLA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,1,1
HUANUNI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,24,24
HUARACAJE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,5,5
HUARINA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,4,4
HUATAJATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2015-01-01,5,5
