municipality,group,variable,month,Niñas(os) de 1 año con dosis completas de zinc (Talla Baja),TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,3,3
ACHACACHI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,16,16
AIQUILE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,26,26
ALALAY,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,2,2
ALCALA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,2,2
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,4,4
ANDAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,3,3
ANTEQUERA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,1,1
ANZALDO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,13,13
APOLO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,4,4
ARANI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,5,5
ARBIETO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,7,7
ARQUE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,22,22
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,5,5
ATOCHA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,22,22
AYATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,11,11
AYO AYO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,25,25
AZURDUY,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,8,8
BATALLAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,4,4
BAURES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,2,2
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,2,2
BELEN DE URMIRI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,1,1
BELLA FLOR,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,1,1
BERMEJO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,4,4
BETANZOS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,21,21
BOLIVAR,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,8,8
BOYUIBE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,3,3
BUENA VISTA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,1,1
"CAIZA ""D""",micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,5,5
CALACOTO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,5,5
CALAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,14,14
CAMARGO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,5,5
CAMIRI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,5,5
CAPINOTA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,9,9
CAQUIAVIRI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,6,6
CARACOLLO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,8,8
CARANAVI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,9,9
CARAPARI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,2,2
CARIPUYO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,11,11
CHALLAPATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,13,13
CHAQUI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,6,6
CHARAGUA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,2,2
CHARAÑA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,1,1
CHAYANTA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,11,11
CHIMORE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,28,28
CHIPAYA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,1,1
CHUA COCANI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,4,4
CHUMA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,7,7
CKOCHAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,5,5
CLIZA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,11,11
COBIJA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,15,15
COCAPATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,19,19
COCHABAMBA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,142,142
COLCAPIRHUA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,21,21
"COLCHA ""K""",micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,23,23
COLOMI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,8,8
COLQUECHACA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,15,15
COLQUENCHA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,1,1
COLQUIRI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,5,5
COMANCHE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,2,2
COMARAPA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,2,2
CONCEPCION,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,2,2
COPACABANA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,4,4
CORIPATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,3,3
CORO CORO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,8,8
COROICO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2015-01-01,3,3
