municipality,group,variable,month,Mujeres embarazadas con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,3,3
ACHACACHI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,99,99
ACHOCALLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,43,43
AIQUILE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,51,51
ALALAY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,3,3
ALCALA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,7,7
ALTO BENI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,15,15
ANCORAIMES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,14,14
ANDAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,5,5
ANTEQUERA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,3,3
ANZALDO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,9,9
APOLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,23,23
ARAMPAMPA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,5,5
ARANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,22,22
ARBIETO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,44,44
ARQUE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,31,31
ASCENCION DE GUARAYOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,59,59
ATOCHA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,21,21
AUCAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,5,5
AYATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,8,8
AYO AYO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,34,34
AZURDUY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,19,19
BATALLAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,24,24
BAURES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,1,1
BELEN DE ANDAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,3,3
BELEN DE URMIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,1,1
BELLA FLOR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,6,6
BERMEJO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,58,58
BETANZOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,49,49
BOLIVAR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,10,10
BOLPEBRA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,1,1
BOYUIBE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,6,6
BUENA VISTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,38,38
CABEZAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,43,43
CAIROMA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,17,17
"CAIZA ""D""",micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,14,14
CAJUATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,15,15
CALACOTO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,8,8
CALAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,24,24
CAMARGO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,42,42
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,5,5
CAMIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,103,103
CAPINOTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,56,56
CAQUIAVIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,6,6
CARACOLLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,45,45
CARANAVI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,107,107
CARAPARI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,31,31
CARIPUYO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2015-01-01,13,13
