municipality,group,variable,month,Niñas(os) de 6 meses con lactancia materna exclusiva,TOTAL
ACACIO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,15,15
ACHACACHI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,7,7
ACHOCALLA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,7,7
AIQUILE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,54,54
ALALAY,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,2,2
ALCALA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,3,3
ANCORAIMES,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,10,10
ANDAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,5,5
ANTEQUERA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,7,7
ANZALDO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,14,14
APOLO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,20,20
ARAMPAMPA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,1,1
ARANI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,12,12
ARBIETO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,14,14
ARQUE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,47,47
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,14,14
ATOCHA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,38,38
AYATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,5,5
AYO AYO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,22,22
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,49,49
AZURDUY,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,36,36
BATALLAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,8,8
BAURES,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,3,3
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,3,3
BELEN DE URMIRI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,3,3
BELLA FLOR,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,6,6
BERMEJO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,10,10
BETANZOS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,93,93
BOLIVAR,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,3,3
BOLPEBRA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,1,1
BOYUIBE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,3,3
BUENA VISTA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,15,15
CABEZAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,45,45
CAIROMA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,10,10
"CAIZA ""D""",micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,14,14
CAJUATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,10,10
CALACOTO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,1,1
CALAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,9,9
CAMARGO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,9,9
CAMIRI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,97,97
CAPINOTA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2015-01-01,9,9
