municipality,group,variable,month,Niñas(os) de 1 año con 1ra. dosis de vitamina A,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2015-01-01,13,13
ACHACACHI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2015-01-01,50,50
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2015-01-01,28,28
AIQUILE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2015-01-01,38,38
ALALAY,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2015-01-01,5,5
ALCALA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2015-01-01,6,6
ALTO BENI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2015-01-01,23,23
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2015-01-01,16,16
ANDAMARCA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2015-01-01,3,3
ANTEQUERA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2015-01-01,2,2
ANZALDO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2015-01-01,10,10
APOLO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2015-01-01,19,19
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2015-01-01,7,7
ARANI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2015-01-01,17,17
ARBIETO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2015-01-01,50,50
ARQUE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2015-01-01,21,21
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2015-01-01,32,32
ATOCHA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2015-01-01,38,38
AUCAPATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2015-01-01,7,7
AYATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2015-01-01,9,9
AYO AYO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2015-01-01,23,23
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2015-01-01,51,51
