municipality,group,variable,month,Niñas(os) de 1 año con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,13,13
ACHACACHI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,26,26
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,3,3
AIQUILE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,39,39
ALALAY,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,1,1
ALCALA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,7,7
ALTO BENI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,20,20
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,12,12
ANDAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,2,2
ANTEQUERA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,2,2
ANZALDO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,10,10
APOLO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,15,15
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,7,7
ARANI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,18,18
ARBIETO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,37,37
ARQUE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,28,28
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,22,22
ATOCHA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,22,22
AUCAPATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,6,6
AYATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,8,8
AYO AYO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,35,35
AZURDUY,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,20,20
BATALLAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,48,48
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,2,2
BELLA FLOR,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,4,4
BERMEJO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,38,38
BETANZOS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,51,51
BOLIVAR,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,11,11
BOLPEBRA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,1,1
BOYUIBE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,9,9
BUENA VISTA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,20,20
CABEZAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,65,65
CAIROMA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,21,21
"CAIZA ""D""",micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,13,13
CAJUATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,27,27
CALACOTO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,4,4
CALAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,23,23
CAMARGO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,30,30
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,4,4
CAMIRI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,60,60
CAPINOTA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,41,41
CAQUIAVIRI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,11,11
CARACOLLO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,30,30
CARANAVI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,67,67
CARANGAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,1,1
CARAPARI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,30,30
CARIPUYO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,14,14
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,14,14
CATACORA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,1,1
CHACARILLA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,1,1
CHALLAPATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,55,55
CHAQUI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,10,10
CHARAGUA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,69,69
CHARAÑA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,2,2
CHAYANTA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,19,19
CHIMORE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,67,67
CHIPAYA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,2,2
CHOQUE COTA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,2,2
CHUA COCANI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,26,26
CHUMA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,7,7
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,8,8
CKOCHAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,27,27
CLIZA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,68,68
COBIJA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,143,143
COCAPATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,18,18
COCHABAMBA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,732,732
COIPASA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,3,3
COLCAPIRHUA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,84,84
"COLCHA ""K""",micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,27,27
COLLANA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,3,3
COLOMI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,48,48
COLPA BELGICA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,9,9
COLQUECHACA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,82,82
COLQUENCHA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,24,24
COLQUIRI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,13,13
COMANCHE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,3,3
COMARAPA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,28,28
COMBAYA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,5,5
CONCEPCION,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,54,54
COPACABANA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,28,28
CORIPATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,26,26
CORO CORO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,13,13
COROICO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,28,28
CORQUE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,9,9
COTAGAITA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,24,24
COTOCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,129,129
CUATRO CAÑADAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2015-01-01,48,48
