municipality,group,variable,month,Niñas(os) RN con lactancia materna inmediata,TOTAL
ACACIO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,5,5
ACHACACHI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,26,26
ACHOCALLA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,9,9
AIQUILE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,11,11
ALCALA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,4,4
ANDAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,2,2
ANZALDO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,5,5
APOLO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,8,8
ARAMPAMPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,4,4
ARANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,10,10
ARBIETO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,21,21
ARQUE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,19,19
ATOCHA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,5,5
AUCAPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,1,1
AYATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,5,5
AYO AYO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,241,241
AZURDUY,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,6,6
BATALLAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,3,3
BAURES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,1,1
BELLA FLOR,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,1,1
BETANZOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,35,35
BOLIVAR,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,8,8
BOYUIBE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,2,2
BUENA VISTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,6,6
CABEZAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,21,21
CAIROMA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,10,10
"CAIZA ""D""",micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,5,5
CAJUATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,16,16
CALACOTO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,1,1
CALAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,15,15
CAMARGO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,26,26
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,1,1
CAMIRI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,45,45
CAPINOTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,20,20
CAQUIAVIRI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,9,9
CARACOLLO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,15,15
CARANAVI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,6,6
CARAPARI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,5,5
CARIPUYO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,15,15
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,8,8
CATACORA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,1,1
CHALLAPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,61,61
CHAQUI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,14,14
CHARAGUA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,48,48
CHARAÑA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,8,8
CHAYANTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,22,22
CHIMORE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,22,22
CHIPAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,36,36
CHUMA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,7,7
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,3,3
CKOCHAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,20,20
CLIZA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,34,34
COBIJA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,8,8
COCAPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,17,17
COCHABAMBA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,274,274
COLCAPIRHUA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,38,38
"COLCHA ""K""",micronutrientes,ninas(os) rn con lactancia materna inmediata,2015-01-01,7,7
