municipality,group,variable,month,Mujeres puérperas que recibieron dosis única de vitamina A,TOTAL
ACACIO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,10,10
ACHACACHI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,59,59
ACHOCALLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,10,10
AIQUILE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,40,40
ALALAY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,6,6
ALCALA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,1,1
ANCORAIMES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,15,15
ANDAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,2,2
ANZALDO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,5,5
APOLO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,18,18
ARAMPAMPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,8,8
ARANI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,15,15
ARBIETO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,9,9
ARQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,14,14
ASCENCION DE GUARAYOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,44,44
ATOCHA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,8,8
AYATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,14,14
AYO AYO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,27,27
AZURDUY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,19,19
BATALLAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,22,22
BAURES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,5,5
BELEN DE URMIRI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,1,1
BERMEJO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,48,48
