,group,variable,month,EGRESOS CANTIDAD,EGRESOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,internaciones,egresos,2010-01-01,0,5,0,5,5
ACHACACHI,internaciones,egresos,2010-01-01,21,38,21,38,59
ACHOCALLA,internaciones,egresos,2010-01-01,0,5,0,5,5
AIQUILE,internaciones,egresos,2010-01-01,42,77,42,77,119
ALALAY,internaciones,egresos,2010-01-01,1,0,1,0,1
ALCALA,internaciones,egresos,2010-01-01,0,2,0,2,2
ALTO BENI,internaciones,egresos,2010-01-01,7,7,7,7,14
ANCORAIMES,internaciones,egresos,2010-01-01,0,12,0,12,12
ANDAMARCA,internaciones,egresos,2010-01-01,0,1,0,1,1
ANZALDO,internaciones,egresos,2010-01-01,0,2,0,2,2
APOLO,internaciones,egresos,2010-01-01,3,15,3,15,18
ARAMPAMPA,internaciones,egresos,2010-01-01,0,1,0,1,1
ARANI,internaciones,egresos,2010-01-01,5,18,5,18,23
ARBIETO,internaciones,egresos,2010-01-01,0,7,0,7,7
ARQUE,internaciones,egresos,2010-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,egresos,2010-01-01,33,123,33,123,156
ATOCHA,internaciones,egresos,2010-01-01,59,62,59,62,121
AUCAPATA,internaciones,egresos,2010-01-01,0,1,0,1,1
AYATA,internaciones,egresos,2010-01-01,0,4,0,4,4
AYO AYO,internaciones,egresos,2010-01-01,0,7,0,7,7
AYOPAYA (V. DE INDEPENDENCIA),internaciones,egresos,2010-01-01,5,23,5,23,28
AZURDUY,internaciones,egresos,2010-01-01,9,9,9,9,18
BATALLAS,internaciones,egresos,2010-01-01,1,10,1,10,11
BERMEJO,internaciones,egresos,2010-01-01,89,159,89,159,248
BETANZOS,internaciones,egresos,2010-01-01,8,36,8,36,44
BOYUIBE,internaciones,egresos,2010-01-01,10,19,10,19,29
BUENA VISTA,internaciones,egresos,2010-01-01,15,17,15,17,32
CABEZAS,internaciones,egresos,2010-01-01,5,17,5,17,22
CAIROMA,internaciones,egresos,2010-01-01,1,5,1,5,6
"CAIZA ""D""",internaciones,egresos,2010-01-01,0,7,0,7,7
CAJUATA,internaciones,egresos,2010-01-01,1,4,1,4,5
CALACOTO,internaciones,egresos,2010-01-01,0,2,0,2,2
CALAMARCA,internaciones,egresos,2010-01-01,0,9,0,9,9
CAMARGO,internaciones,egresos,2010-01-01,97,70,97,70,167
CAMATAQUI (C. VILLA ABECIA),internaciones,egresos,2010-01-01,2,2,2,2,4
CAMIRI,internaciones,egresos,2010-01-01,257,288,257,288,545
CAPINOTA,internaciones,egresos,2010-01-01,10,59,10,59,69
CAQUIAVIRI,internaciones,egresos,2010-01-01,0,1,0,1,1
CARACOLLO,internaciones,egresos,2010-01-01,2,30,2,30,32
CARANAVI,internaciones,egresos,2010-01-01,46,18,46,18,64
CARAPARI,internaciones,egresos,2010-01-01,0,6,0,6,6
CARIPUYO,internaciones,egresos,2010-01-01,1,1,1,1,2
CARMEN RIVERO TORREZ,internaciones,egresos,2010-01-01,6,12,6,12,18
CHALLAPATA,internaciones,egresos,2010-01-01,17,78,17,78,95
CHARAGUA,internaciones,egresos,2010-01-01,98,67,98,67,165
CHARAÑA,internaciones,egresos,2010-01-01,0,2,0,2,2
CHAYANTA,internaciones,egresos,2010-01-01,2,10,2,10,12
CHIMORE,internaciones,egresos,2010-01-01,4,28,4,28,32
CHULUMANI (V. DE LA LIBERTAD),internaciones,egresos,2010-01-01,14,50,14,50,64
CHUMA,internaciones,egresos,2010-01-01,0,4,0,4,4
CKOCHAS,internaciones,egresos,2010-01-01,0,2,0,2,2
CLIZA,internaciones,egresos,2010-01-01,10,36,10,36,46
COBIJA,internaciones,egresos,2010-01-01,109,272,109,272,381
COCAPATA,internaciones,egresos,2010-01-01,1,7,1,7,8
COCHABAMBA,internaciones,egresos,2010-01-01,3761,3214,3761,3214,6975
COLCAPIRHUA,internaciones,egresos,2010-01-01,49,124,49,124,173
"COLCHA ""K""",internaciones,egresos,2010-01-01,0,1,0,1,1
COLLANA,internaciones,egresos,2010-01-01,0,3,0,3,3
COLOMI,internaciones,egresos,2010-01-01,0,30,0,30,30
