,group,variable,month,RETORNADOS CANTIDAD,RETORNADOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ALTO BENI,internaciones,retornados,2010-01-01,1,1,1,1,2
CARMEN RIVERO TORREZ,internaciones,retornados,2010-01-01,1,3,1,3,4
CHARAGUA,internaciones,retornados,2010-01-01,20,0,20,0,20
COBIJA,internaciones,retornados,2010-01-01,2,58,2,58,60
COCHABAMBA,internaciones,retornados,2010-01-01,2,2,2,2,4
COROICO,internaciones,retornados,2010-01-01,0,1,0,1,1
EL ALTO,internaciones,retornados,2010-01-01,9,87,9,87,96
EL CHORO,internaciones,retornados,2010-01-01,0,4,0,4,4
EL VILLAR,internaciones,retornados,2010-01-01,0,1,0,1,1
LA GUARDIA,internaciones,retornados,2010-01-01,0,1,0,1,1
LA PAZ,internaciones,retornados,2010-01-01,3,25,3,25,28
MOJOCOYA,internaciones,retornados,2010-01-01,0,3,0,3,3
ORURO,internaciones,retornados,2010-01-01,2,19,2,19,21
POCONA,internaciones,retornados,2010-01-01,2,0,2,0,2
POJO (CBBA),internaciones,retornados,2010-01-01,4,0,4,0,4
POROMA,internaciones,retornados,2010-01-01,1,0,1,0,1
POTOSI,internaciones,retornados,2010-01-01,689,0,689,0,689
PUERTO CARABUCO,internaciones,retornados,2010-01-01,0,2,0,2,2
SACABA,internaciones,retornados,2010-01-01,0,3,0,3,3
SAN BUENA VENTURA,internaciones,retornados,2010-01-01,0,1,0,1,1
SAN CARLOS,internaciones,retornados,2010-01-01,1,0,1,0,1
SAN LUCAS,internaciones,retornados,2010-01-01,4,35,4,35,39
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2010-01-01,1,3,1,3,4
SORATA,internaciones,retornados,2010-01-01,0,1,0,1,1
SUCRE,internaciones,retornados,2010-01-01,0,27,0,27,27
TARIJA,internaciones,retornados,2010-01-01,6,3,6,3,9
TIAWANACU,internaciones,retornados,2010-01-01,0,1,0,1,1
TIPUANI,internaciones,retornados,2010-01-01,1,1,1,1,2
TOLATA,internaciones,retornados,2010-01-01,1,0,1,0,1
TOMINA,internaciones,retornados,2010-01-01,0,1,0,1,1
TOTORA(ORR),internaciones,retornados,2010-01-01,0,1,0,1,1
TRINIDAD,internaciones,retornados,2010-01-01,14,37,14,37,51
VALLEGRANDE,internaciones,retornados,2010-01-01,0,6,0,6,6
VILLA MONTES,internaciones,retornados,2010-01-01,1,1,1,1,2
WARNES,internaciones,retornados,2010-01-01,1,0,1,0,1
YACUIBA,internaciones,retornados,2010-01-01,1,7,1,7,8
AIQUILE,internaciones,retornados,2010-02-01,1,0,1,0,1
ALTO BENI,internaciones,retornados,2010-02-01,1,0,1,0,1
ANDAMARCA,internaciones,retornados,2010-02-01,1,1,1,1,2
ATOCHA,internaciones,retornados,2010-02-01,0,2,0,2,2
BOYUIBE,internaciones,retornados,2010-02-01,1,0,1,0,1
BUENA VISTA,internaciones,retornados,2010-02-01,2,0,2,0,2
CAMARGO,internaciones,retornados,2010-02-01,1,0,1,0,1
CARANAVI,internaciones,retornados,2010-02-01,0,1,0,1,1
CARMEN RIVERO TORREZ,internaciones,retornados,2010-02-01,1,0,1,0,1
COBIJA,internaciones,retornados,2010-02-01,11,42,11,42,53
COCHABAMBA,internaciones,retornados,2010-02-01,2,3,2,3,5
COROICO,internaciones,retornados,2010-02-01,0,1,0,1,1
CUEVO,internaciones,retornados,2010-02-01,1,0,1,0,1
EL ALTO,internaciones,retornados,2010-02-01,9,52,9,52,61
EL VILLAR,internaciones,retornados,2010-02-01,1,0,1,0,1
ENTRE RIOS CBBA,internaciones,retornados,2010-02-01,1,0,1,0,1
ESCOMA,internaciones,retornados,2010-02-01,1,0,1,0,1
IXIAMAS,internaciones,retornados,2010-02-01,0,1,0,1,1
LA PAZ,internaciones,retornados,2010-02-01,2,7,2,7,9
MIZQUE,internaciones,retornados,2010-02-01,0,1,0,1,1
MONTEAGUDO,internaciones,retornados,2010-02-01,0,1,0,1,1
OCURI,internaciones,retornados,2010-02-01,0,1,0,1,1
ORURO,internaciones,retornados,2010-02-01,2,0,2,0,2
POCONA,internaciones,retornados,2010-02-01,0,2,0,2,2
