,group,variable,month,INGRESOS ESPONTÁNEOS CANTIDAD,INGRESOS ESPONTÁNEOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,internaciones,ingresos espontaneos,2010-01-01,0,5,0,5,5
ACHACACHI,internaciones,ingresos espontaneos,2010-01-01,20,39,20,39,59
ACHOCALLA,internaciones,ingresos espontaneos,2010-01-01,0,5,0,5,5
AIQUILE,internaciones,ingresos espontaneos,2010-01-01,44,79,44,79,123
ALALAY,internaciones,ingresos espontaneos,2010-01-01,1,0,1,0,1
ALCALA,internaciones,ingresos espontaneos,2010-01-01,0,2,0,2,2
ALTO BENI,internaciones,ingresos espontaneos,2010-01-01,6,7,6,7,13
ANCORAIMES,internaciones,ingresos espontaneos,2010-01-01,0,12,0,12,12
ANDAMARCA,internaciones,ingresos espontaneos,2010-01-01,0,1,0,1,1
ANZALDO,internaciones,ingresos espontaneos,2010-01-01,0,2,0,2,2
APOLO,internaciones,ingresos espontaneos,2010-01-01,3,15,3,15,18
ARAMPAMPA,internaciones,ingresos espontaneos,2010-01-01,0,1,0,1,1
ARANI,internaciones,ingresos espontaneos,2010-01-01,5,18,5,18,23
ARBIETO,internaciones,ingresos espontaneos,2010-01-01,0,7,0,7,7
ARQUE,internaciones,ingresos espontaneos,2010-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2010-01-01,35,119,35,119,154
ATOCHA,internaciones,ingresos espontaneos,2010-01-01,18,28,18,28,46
AUCAPATA,internaciones,ingresos espontaneos,2010-01-01,0,1,0,1,1
AYATA,internaciones,ingresos espontaneos,2010-01-01,0,4,0,4,4
AYO AYO,internaciones,ingresos espontaneos,2010-01-01,0,7,0,7,7
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2010-01-01,6,16,6,16,22
AZURDUY,internaciones,ingresos espontaneos,2010-01-01,9,9,9,9,18
BATALLAS,internaciones,ingresos espontaneos,2010-01-01,1,10,1,10,11
BAURES,internaciones,ingresos espontaneos,2010-01-01,5,14,5,14,19
BERMEJO,internaciones,ingresos espontaneos,2010-01-01,94,153,94,153,247
BETANZOS,internaciones,ingresos espontaneos,2010-01-01,8,32,8,32,40
BOYUIBE,internaciones,ingresos espontaneos,2010-01-01,10,17,10,17,27
BUENA VISTA,internaciones,ingresos espontaneos,2010-01-01,19,19,19,19,38
CABEZAS,internaciones,ingresos espontaneos,2010-01-01,5,17,5,17,22
CAIROMA,internaciones,ingresos espontaneos,2010-01-01,2,5,2,5,7
"CAIZA ""D""",internaciones,ingresos espontaneos,2010-01-01,0,7,0,7,7
CAJUATA,internaciones,ingresos espontaneos,2010-01-01,1,3,1,3,4
CALACOTO,internaciones,ingresos espontaneos,2010-01-01,0,3,0,3,3
CALAMARCA,internaciones,ingresos espontaneos,2010-01-01,0,9,0,9,9
CAMARGO,internaciones,ingresos espontaneos,2010-01-01,109,80,109,80,189
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos espontaneos,2010-01-01,2,2,2,2,4
CAMIRI,internaciones,ingresos espontaneos,2010-01-01,261,289,261,289,550
CAPINOTA,internaciones,ingresos espontaneos,2010-01-01,14,59,14,59,73
CAQUIAVIRI,internaciones,ingresos espontaneos,2010-01-01,0,1,0,1,1
CARACOLLO,internaciones,ingresos espontaneos,2010-01-01,2,30,2,30,32
CARANAVI,internaciones,ingresos espontaneos,2010-01-01,38,17,38,17,55
CARAPARI,internaciones,ingresos espontaneos,2010-01-01,0,6,0,6,6
CARIPUYO,internaciones,ingresos espontaneos,2010-01-01,1,1,1,1,2
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2010-01-01,8,17,8,17,25
CHALLAPATA,internaciones,ingresos espontaneos,2010-01-01,16,77,16,77,93
CHARAGUA,internaciones,ingresos espontaneos,2010-01-01,98,66,98,66,164
CHARAÑA,internaciones,ingresos espontaneos,2010-01-01,0,2,0,2,2
CHAYANTA,internaciones,ingresos espontaneos,2010-01-01,2,10,2,10,12
CHIMORE,internaciones,ingresos espontaneos,2010-01-01,4,28,4,28,32
