,group,variable,month,FALLECIDOS ANTES DE LAS 48 HORAS CANTIDAD,FALLECIDOS ANTES DE LAS 48 HORAS CANTIDAD,TOTALES,TOTALES,TOTALES
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2010-01-01,0,1,0,1,1
VILLAZON,internaciones,fallecidos antes de las 48 horas,2010-01-01,2,1,2,1,3
WARNES,internaciones,fallecidos antes de las 48 horas,2010-01-01,0,2,0,2,2
YACUIBA,internaciones,fallecidos antes de las 48 horas,2010-01-01,8,0,8,0,8
YAPACANI,internaciones,fallecidos antes de las 48 horas,2010-01-01,2,0,2,0,2
APOLO,internaciones,fallecidos antes de las 48 horas,2010-02-01,0,1,0,1,1
ATOCHA,internaciones,fallecidos antes de las 48 horas,2010-02-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos antes de las 48 horas,2010-02-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos antes de las 48 horas,2010-02-01,4,1,4,1,5
CHALLAPATA,internaciones,fallecidos antes de las 48 horas,2010-02-01,0,1,0,1,1
COBIJA,internaciones,fallecidos antes de las 48 horas,2010-02-01,1,1,1,1,2
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2010-02-01,22,33,22,33,55
COMARAPA,internaciones,fallecidos antes de las 48 horas,2010-02-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2010-02-01,4,6,4,6,10
ESCOMA,internaciones,fallecidos antes de las 48 horas,2010-02-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2010-02-01,1,2,1,2,3
HUACARETA,internaciones,fallecidos antes de las 48 horas,2010-02-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos antes de las 48 horas,2010-02-01,7,22,7,22,29
LLALLAGUA,internaciones,fallecidos antes de las 48 horas,2010-02-01,1,0,1,0,1
MAGDALENA,internaciones,fallecidos antes de las 48 horas,2010-02-01,1,0,1,0,1
MINEROS,internaciones,fallecidos antes de las 48 horas,2010-02-01,1,0,1,0,1
MONTERO,internaciones,fallecidos antes de las 48 horas,2010-02-01,2,0,2,0,2
ORURO,internaciones,fallecidos antes de las 48 horas,2010-02-01,13,8,13,8,21
PATACAMAYA,internaciones,fallecidos antes de las 48 horas,2010-02-01,1,0,1,0,1
PORTACHUELO,internaciones,fallecidos antes de las 48 horas,2010-02-01,0,1,0,1,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2010-02-01,9,7,9,7,16
PUERTO RICO,internaciones,fallecidos antes de las 48 horas,2010-02-01,1,0,1,0,1
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2010-02-01,0,1,0,1,1
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2010-02-01,1,0,1,0,1
PUNATA,internaciones,fallecidos antes de las 48 horas,2010-02-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2010-02-01,7,0,7,0,7
RURRENABAQUE,internaciones,fallecidos antes de las 48 horas,2010-02-01,1,2,1,2,3
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2010-02-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 horas,2010-02-01,1,1,1,1,2
SANTA ANA,internaciones,fallecidos antes de las 48 horas,2010-02-01,3,1,3,1,4
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2010-02-01,24,18,24,18,42
SANTA ROSA,internaciones,fallecidos antes de las 48 horas,2010-02-01,1,0,1,0,1
SUCRE,internaciones,fallecidos antes de las 48 horas,2010-02-01,13,13,13,13,26
TARIJA,internaciones,fallecidos antes de las 48 horas,2010-02-01,16,17,16,17,33
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2010-02-01,8,2,8,2,10
TUPIZA,internaciones,fallecidos antes de las 48 horas,2010-02-01,4,2,4,2,6
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2010-02-01,1,1,1,1,2
VILLAZON,internaciones,fallecidos antes de las 48 horas,2010-02-01,2,1,2,1,3
YAPACANI,internaciones,fallecidos antes de las 48 horas,2010-02-01,0,2,0,2,2
APOLO,internaciones,fallecidos antes de las 48 horas,2010-03-01,0,1,0,1,1
CAMARGO,internaciones,fallecidos antes de las 48 horas,2010-03-01,1,2,1,2,3
CAMIRI,internaciones,fallecidos antes de las 48 horas,2010-03-01,3,2,3,2,5
CARANAVI,internaciones,fallecidos antes de las 48 horas,2010-03-01,2,0,2,0,2
CHARAGUA,internaciones,fallecidos antes de las 48 horas,2010-03-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 horas,2010-03-01,0,1,0,1,1
COBIJA,internaciones,fallecidos antes de las 48 horas,2010-03-01,2,1,2,1,3
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2010-03-01,32,30,32,30,62
COLCAPIRHUA,internaciones,fallecidos antes de las 48 horas,2010-03-01,1,0,1,0,1
COMARAPA,internaciones,fallecidos antes de las 48 horas,2010-03-01,1,0,1,0,1
CULPINA,internaciones,fallecidos antes de las 48 horas,2010-03-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2010-03-01,6,8,6,8,14
EL TORNO,internaciones,fallecidos antes de las 48 horas,2010-03-01,1,0,1,0,1
EL VILLAR,internaciones,fallecidos antes de las 48 horas,2010-03-01,2,1,2,1,3
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2010-03-01,2,0,2,0,2
IRUPANA (VILLA DE LANZA),internaciones,fallecidos antes de las 48 horas,2010-03-01,0,2,0,2,2
LA PAZ,internaciones,fallecidos antes de las 48 horas,2010-03-01,24,32,24,32,56
LLALLAGUA,internaciones,fallecidos antes de las 48 horas,2010-03-01,2,0,2,0,2
LURIBAY,internaciones,fallecidos antes de las 48 horas,2010-03-01,0,1,0,1,1
MAGDALENA,internaciones,fallecidos antes de las 48 horas,2010-03-01,0,1,0,1,1
MONTERO,internaciones,fallecidos antes de las 48 horas,2010-03-01,2,0,2,0,2
OCURI,internaciones,fallecidos antes de las 48 horas,2010-03-01,0,1,0,1,1
ORURO,internaciones,fallecidos antes de las 48 horas,2010-03-01,5,18,5,18,23
PATACAMAYA,internaciones,fallecidos antes de las 48 horas,2010-03-01,1,0,1,0,1
POCOATA,internaciones,fallecidos antes de las 48 horas,2010-03-01,2,1,2,1,3
POJO (CBBA),internaciones,fallecidos antes de las 48 horas,2010-03-01,0,3,0,3,3
PORONGO,internaciones,fallecidos antes de las 48 horas,2010-03-01,0,1,0,1,1
PORTACHUELO,internaciones,fallecidos antes de las 48 horas,2010-03-01,1,0,1,0,1
POSTRER VALLE,internaciones,fallecidos antes de las 48 horas,2010-03-01,1,0,1,0,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2010-03-01,16,2,16,2,18
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2010-03-01,1,0,1,0,1
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2010-03-01,1,0,1,0,1
PUNATA,internaciones,fallecidos antes de las 48 horas,2010-03-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2010-03-01,8,2,8,2,10
ROBORE,internaciones,fallecidos antes de las 48 horas,2010-03-01,3,0,3,0,3
SAN BORJA,internaciones,fallecidos antes de las 48 horas,2010-03-01,2,0,2,0,2
SAN BUENA VENTURA,internaciones,fallecidos antes de las 48 horas,2010-03-01,0,1,0,1,1
SAN CARLOS,internaciones,fallecidos antes de las 48 horas,2010-03-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2010-03-01,3,1,3,1,4
SAN JULIAN,internaciones,fallecidos antes de las 48 horas,2010-03-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2010-03-01,35,32,35,32,67
SANTA ROSA,internaciones,fallecidos antes de las 48 horas,2010-03-01,0,1,0,1,1
SHINAOTA,internaciones,fallecidos antes de las 48 horas,2010-03-01,0,1,0,1,1
SUCRE,internaciones,fallecidos antes de las 48 horas,2010-03-01,10,6,10,6,16
TARIJA,internaciones,fallecidos antes de las 48 horas,2010-03-01,23,33,23,33,56
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2010-03-01,8,4,8,4,12
TUPIZA,internaciones,fallecidos antes de las 48 horas,2010-03-01,2,2,2,2,4
VALLEGRANDE,internaciones,fallecidos antes de las 48 horas,2010-03-01,1,0,1,0,1
VILLA MONTES,internaciones,fallecidos antes de las 48 horas,2010-03-01,1,0,1,0,1
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2010-03-01,3,3,3,3,6
VILLAZON,internaciones,fallecidos antes de las 48 horas,2010-03-01,2,1,2,1,3
YACUIBA,internaciones,fallecidos antes de las 48 horas,2010-03-01,4,2,4,2,6
ACHACACHI,internaciones,fallecidos antes de las 48 horas,2010-04-01,1,0,1,0,1
AIQUILE,internaciones,fallecidos antes de las 48 horas,2010-04-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 horas,2010-04-01,3,0,3,0,3
BERMEJO,internaciones,fallecidos antes de las 48 horas,2010-04-01,0,2,0,2,2
BETANZOS,internaciones,fallecidos antes de las 48 horas,2010-04-01,0,1,0,1,1
CAMIRI,internaciones,fallecidos antes de las 48 horas,2010-04-01,3,0,3,0,3
CARANAVI,internaciones,fallecidos antes de las 48 horas,2010-04-01,0,2,0,2,2
CARMEN RIVERO TORREZ,internaciones,fallecidos antes de las 48 horas,2010-04-01,1,0,1,0,1
CHARAGUA,internaciones,fallecidos antes de las 48 horas,2010-04-01,1,1,1,1,2
COBIJA,internaciones,fallecidos antes de las 48 horas,2010-04-01,1,1,1,1,2
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2010-04-01,21,23,21,23,44
COMARAPA,internaciones,fallecidos antes de las 48 horas,2010-04-01,0,1,0,1,1
CONCEPCION,internaciones,fallecidos antes de las 48 horas,2010-04-01,2,0,2,0,2
COROICO,internaciones,fallecidos antes de las 48 horas,2010-04-01,0,1,0,1,1
COTOCA,internaciones,fallecidos antes de las 48 horas,2010-04-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2010-04-01,11,34,11,34,45
ENTRE RIOS TRJ,internaciones,fallecidos antes de las 48 horas,2010-04-01,1,0,1,0,1
ESCOMA,internaciones,fallecidos antes de las 48 horas,2010-04-01,1,0,1,0,1
FERNANDEZ ALONSO,internaciones,fallecidos antes de las 48 horas,2010-04-01,0,14,0,14,14
GUANAY,internaciones,fallecidos antes de las 48 horas,2010-04-01,0,1,0,1,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2010-04-01,6,1,6,1,7
INCAHUASI,internaciones,fallecidos antes de las 48 horas,2010-04-01,1,0,1,0,1
LA ASUNTA,internaciones,fallecidos antes de las 48 horas,2010-04-01,0,1,0,1,1
LA PAZ,internaciones,fallecidos antes de las 48 horas,2010-04-01,20,36,20,36,56
LLALLAGUA,internaciones,fallecidos antes de las 48 horas,2010-04-01,1,2,1,2,3
MAGDALENA,internaciones,fallecidos antes de las 48 horas,2010-04-01,0,1,0,1,1
MIZQUE,internaciones,fallecidos antes de las 48 horas,2010-04-01,0,1,0,1,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2010-04-01,0,1,0,1,1
ORURO,internaciones,fallecidos antes de las 48 horas,2010-04-01,7,9,7,9,16
PADILLA,internaciones,fallecidos antes de las 48 horas,2010-04-01,1,0,1,0,1
PALOS BLANCOS,internaciones,fallecidos antes de las 48 horas,2010-04-01,1,0,1,0,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2010-04-01,11,4,11,4,15
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2010-04-01,1,0,1,0,1
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2010-04-01,1,0,1,0,1
PUNATA,internaciones,fallecidos antes de las 48 horas,2010-04-01,0,2,0,2,2
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2010-04-01,3,7,3,7,10
ROBORE,internaciones,fallecidos antes de las 48 horas,2010-04-01,1,0,1,0,1
RURRENABAQUE,internaciones,fallecidos antes de las 48 horas,2010-04-01,0,1,0,1,1
SAN BORJA,internaciones,fallecidos antes de las 48 horas,2010-04-01,3,2,3,2,5
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2010-04-01,0,3,0,3,3
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 horas,2010-04-01,0,1,0,1,1
SAN RAMON BENI,internaciones,fallecidos antes de las 48 horas,2010-04-01,1,0,1,0,1
SAN RAMON SCZ,internaciones,fallecidos antes de las 48 horas,2010-04-01,0,1,0,1,1
SANTA ANA,internaciones,fallecidos antes de las 48 horas,2010-04-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2010-04-01,27,16,27,16,43
SUCRE,internaciones,fallecidos antes de las 48 horas,2010-04-01,13,10,13,10,23
TARABUCO,internaciones,fallecidos antes de las 48 horas,2010-04-01,0,1,0,1,1
TARIJA,internaciones,fallecidos antes de las 48 horas,2010-04-01,19,22,19,22,41
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2010-04-01,5,1,5,1,6
TUPIZA,internaciones,fallecidos antes de las 48 horas,2010-04-01,3,2,3,2,5
UNCIA,internaciones,fallecidos antes de las 48 horas,2010-04-01,1,0,1,0,1
UYUNI,internaciones,fallecidos antes de las 48 horas,2010-04-01,0,2,0,2,2
VILLA MONTES,internaciones,fallecidos antes de las 48 horas,2010-04-01,2,0,2,0,2
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2010-04-01,1,4,1,4,5
VILLAZON,internaciones,fallecidos antes de las 48 horas,2010-04-01,3,2,3,2,5
WARNES,internaciones,fallecidos antes de las 48 horas,2010-04-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos antes de las 48 horas,2010-04-01,3,3,3,3,6
BETANZOS,internaciones,fallecidos antes de las 48 horas,2010-05-01,0,1,0,1,1
BUENA VISTA,internaciones,fallecidos antes de las 48 horas,2010-05-01,1,0,1,0,1
CAMARGO,internaciones,fallecidos antes de las 48 horas,2010-05-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos antes de las 48 horas,2010-05-01,2,2,2,2,4
CAPINOTA,internaciones,fallecidos antes de las 48 horas,2010-05-01,0,1,0,1,1
CARANAVI,internaciones,fallecidos antes de las 48 horas,2010-05-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 horas,2010-05-01,1,0,1,0,1
COBIJA,internaciones,fallecidos antes de las 48 horas,2010-05-01,1,3,1,3,4
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2010-05-01,34,21,34,21,55
COLCAPIRHUA,internaciones,fallecidos antes de las 48 horas,2010-05-01,0,1,0,1,1
COLQUECHACA,internaciones,fallecidos antes de las 48 horas,2010-05-01,1,0,1,0,1
CONCEPCION,internaciones,fallecidos antes de las 48 horas,2010-05-01,0,1,0,1,1
COPACABANA,internaciones,fallecidos antes de las 48 horas,2010-05-01,1,1,1,1,2
COROICO,internaciones,fallecidos antes de las 48 horas,2010-05-01,1,1,1,1,2
COTOCA,internaciones,fallecidos antes de las 48 horas,2010-05-01,2,0,2,0,2
EL ALTO,internaciones,fallecidos antes de las 48 horas,2010-05-01,4,11,4,11,15
EL TORNO,internaciones,fallecidos antes de las 48 horas,2010-05-01,1,1,1,1,2
GUANAY,internaciones,fallecidos antes de las 48 horas,2010-05-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2010-05-01,2,5,2,5,7
LA PAZ,internaciones,fallecidos antes de las 48 horas,2010-05-01,34,34,34,34,68
LLALLAGUA,internaciones,fallecidos antes de las 48 horas,2010-05-01,1,0,1,0,1
MAGDALENA,internaciones,fallecidos antes de las 48 horas,2010-05-01,0,1,0,1,1
MIZQUE,internaciones,fallecidos antes de las 48 horas,2010-05-01,2,1,2,1,3
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2010-05-01,1,1,1,1,2
MONTERO,internaciones,fallecidos antes de las 48 horas,2010-05-01,1,0,1,0,1
ORURO,internaciones,fallecidos antes de las 48 horas,2010-05-01,14,4,14,4,18
PADILLA,internaciones,fallecidos antes de las 48 horas,2010-05-01,0,1,0,1,1
PASORAPA,internaciones,fallecidos antes de las 48 horas,2010-05-01,0,1,0,1,1
POROMA,internaciones,fallecidos antes de las 48 horas,2010-05-01,0,1,0,1,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2010-05-01,10,2,10,2,12
PUERTO QUIJARRO,internaciones,fallecidos antes de las 48 horas,2010-05-01,1,0,1,0,1
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2010-05-01,0,3,0,3,3
PUNATA,internaciones,fallecidos antes de las 48 horas,2010-05-01,2,0,2,0,2
REYES,internaciones,fallecidos antes de las 48 horas,2010-05-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2010-05-01,1,3,1,3,4
SAN BORJA,internaciones,fallecidos antes de las 48 horas,2010-05-01,0,2,0,2,2
SAN BUENA VENTURA,internaciones,fallecidos antes de las 48 horas,2010-05-01,0,2,0,2,2
SAN CARLOS,internaciones,fallecidos antes de las 48 horas,2010-05-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2010-05-01,4,1,4,1,5
SAN JAVIER(STC),internaciones,fallecidos antes de las 48 horas,2010-05-01,0,1,0,1,1
SAN RAMON BENI,internaciones,fallecidos antes de las 48 horas,2010-05-01,0,2,0,2,2
SANTA ANA,internaciones,fallecidos antes de las 48 horas,2010-05-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2010-05-01,26,15,26,15,41
SHINAOTA,internaciones,fallecidos antes de las 48 horas,2010-05-01,1,0,1,0,1
SOPACHUY,internaciones,fallecidos antes de las 48 horas,2010-05-01,1,0,1,0,1
SUCRE,internaciones,fallecidos antes de las 48 horas,2010-05-01,13,11,13,11,24
TARABUCO,internaciones,fallecidos antes de las 48 horas,2010-05-01,0,2,0,2,2
TARIJA,internaciones,fallecidos antes de las 48 horas,2010-05-01,7,4,7,4,11
TOMINA,internaciones,fallecidos antes de las 48 horas,2010-05-01,1,0,1,0,1
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2010-05-01,6,5,6,5,11
TUPIZA,internaciones,fallecidos antes de las 48 horas,2010-05-01,2,1,2,1,3
UYUNI,internaciones,fallecidos antes de las 48 horas,2010-05-01,1,0,1,0,1
VALLEGRANDE,internaciones,fallecidos antes de las 48 horas,2010-05-01,0,2,0,2,2
VILLA MONTES,internaciones,fallecidos antes de las 48 horas,2010-05-01,1,1,1,1,2
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2010-05-01,1,1,1,1,2
VILLAZON,internaciones,fallecidos antes de las 48 horas,2010-05-01,0,3,0,3,3
WARNES,internaciones,fallecidos antes de las 48 horas,2010-05-01,2,0,2,0,2
YACUIBA,internaciones,fallecidos antes de las 48 horas,2010-05-01,5,3,5,3,8
AIQUILE,internaciones,fallecidos antes de las 48 horas,2010-06-01,1,1,1,1,2
ATOCHA,internaciones,fallecidos antes de las 48 horas,2010-06-01,1,0,1,0,1
CAMARGO,internaciones,fallecidos antes de las 48 horas,2010-06-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos antes de las 48 horas,2010-06-01,2,1,2,1,3
CARANAVI,internaciones,fallecidos antes de las 48 horas,2010-06-01,0,1,0,1,1
CHALLAPATA,internaciones,fallecidos antes de las 48 horas,2010-06-01,1,0,1,0,1
CHARAGUA,internaciones,fallecidos antes de las 48 horas,2010-06-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 horas,2010-06-01,1,0,1,0,1
COBIJA,internaciones,fallecidos antes de las 48 horas,2010-06-01,2,2,2,2,4
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2010-06-01,33,21,33,21,54
COLCAPIRHUA,internaciones,fallecidos antes de las 48 horas,2010-06-01,1,0,1,0,1
COMARAPA,internaciones,fallecidos antes de las 48 horas,2010-06-01,1,0,1,0,1
CONCEPCION,internaciones,fallecidos antes de las 48 horas,2010-06-01,1,0,1,0,1
COROICO,internaciones,fallecidos antes de las 48 horas,2010-06-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2010-06-01,3,4,3,4,7
EL TORNO,internaciones,fallecidos antes de las 48 horas,2010-06-01,1,2,1,2,3
ESCOMA,internaciones,fallecidos antes de las 48 horas,2010-06-01,1,0,1,0,1
GUANAY,internaciones,fallecidos antes de las 48 horas,2010-06-01,0,1,0,1,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2010-06-01,1,1,1,1,2
HUACARETA,internaciones,fallecidos antes de las 48 horas,2010-06-01,1,0,1,0,1
ICLA,internaciones,fallecidos antes de las 48 horas,2010-06-01,1,0,1,0,1
IXIAMAS,internaciones,fallecidos antes de las 48 horas,2010-06-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos antes de las 48 horas,2010-06-01,37,40,37,40,77
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2010-06-01,1,2,1,2,3
MONTERO,internaciones,fallecidos antes de las 48 horas,2010-06-01,1,0,1,0,1
ORURO,internaciones,fallecidos antes de las 48 horas,2010-06-01,14,7,14,7,21
PORTACHUELO,internaciones,fallecidos antes de las 48 horas,2010-06-01,0,1,0,1,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2010-06-01,9,7,9,7,16
PUERTO QUIJARRO,internaciones,fallecidos antes de las 48 horas,2010-06-01,0,1,0,1,1
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2010-06-01,1,1,1,1,2
PUNATA,internaciones,fallecidos antes de las 48 horas,2010-06-01,1,1,1,1,2
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2010-06-01,6,4,6,4,10
ROBORE,internaciones,fallecidos antes de las 48 horas,2010-06-01,0,2,0,2,2
SACABA,internaciones,fallecidos antes de las 48 horas,2010-06-01,0,1,0,1,1
SAN BORJA,internaciones,fallecidos antes de las 48 horas,2010-06-01,1,3,1,3,4
SAN BUENA VENTURA,internaciones,fallecidos antes de las 48 horas,2010-06-01,0,1,0,1,1
SAN CARLOS,internaciones,fallecidos antes de las 48 horas,2010-06-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2010-06-01,1,0,1,0,1
SANTA ANA,internaciones,fallecidos antes de las 48 horas,2010-06-01,2,2,2,2,4
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2010-06-01,18,19,18,19,37
SANTA ROSA,internaciones,fallecidos antes de las 48 horas,2010-06-01,1,0,1,0,1
SUCRE,internaciones,fallecidos antes de las 48 horas,2010-06-01,14,15,14,15,29
TARABUCO,internaciones,fallecidos antes de las 48 horas,2010-06-01,3,0,3,0,3
TARIJA,internaciones,fallecidos antes de las 48 horas,2010-06-01,11,7,11,7,18
TARVITA,internaciones,fallecidos antes de las 48 horas,2010-06-01,1,1,1,1,2
TIPUANI,internaciones,fallecidos antes de las 48 horas,2010-06-01,1,0,1,0,1
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2010-06-01,21,11,21,11,32
