,group,variable,month,FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
AIQUILE,internaciones,fallecidos a partir de las 48 horas,2010-01-01,0,1,0,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2010-01-01,3,2,3,2,5
CHARAGUA,internaciones,fallecidos a partir de las 48 horas,2010-01-01,1,0,1,0,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2010-01-01,0,5,0,5,5
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2010-01-01,46,41,46,41,87
COTOCA,internaciones,fallecidos a partir de las 48 horas,2010-01-01,0,1,0,1,1
CULPINA,internaciones,fallecidos a partir de las 48 horas,2010-01-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2010-01-01,2,3,2,3,5
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2010-01-01,1,0,1,0,1
ENTRE RIOS TRJ,internaciones,fallecidos a partir de las 48 horas,2010-01-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2010-01-01,0,3,0,3,3
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2010-01-01,49,68,49,68,117
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2010-01-01,0,1,0,1,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2010-01-01,1,1,1,1,2
ORURO,internaciones,fallecidos a partir de las 48 horas,2010-01-01,14,9,14,9,23
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2010-01-01,1,0,1,0,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2010-01-01,15,4,15,4,19
REYES,internaciones,fallecidos a partir de las 48 horas,2010-01-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2010-01-01,3,1,3,1,4
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2010-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2010-01-01,1,1,1,1,2
SAN JAVIER(STC),internaciones,fallecidos a partir de las 48 horas,2010-01-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos a partir de las 48 horas,2010-01-01,1,0,1,0,1
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2010-01-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2010-01-01,61,33,61,33,94
SUCRE,internaciones,fallecidos a partir de las 48 horas,2010-01-01,11,20,11,20,31
TARABUCO,internaciones,fallecidos a partir de las 48 horas,2010-01-01,1,0,1,0,1
TARIJA,internaciones,fallecidos a partir de las 48 horas,2010-01-01,23,23,23,23,46
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2010-01-01,10,1,10,1,11
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2010-01-01,5,3,5,3,8
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2010-01-01,0,1,0,1,1
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2010-01-01,1,0,1,0,1
WARNES,internaciones,fallecidos a partir de las 48 horas,2010-01-01,0,1,0,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2010-01-01,0,2,0,2,2
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2010-02-01,2,3,2,3,5
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2010-02-01,1,0,1,0,1
CHARAGUA,internaciones,fallecidos a partir de las 48 horas,2010-02-01,0,1,0,1,1
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2010-02-01,66,37,66,37,103
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2010-02-01,6,12,6,12,18
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2010-02-01,1,0,1,0,1
ESCOMA,internaciones,fallecidos a partir de las 48 horas,2010-02-01,0,1,0,1,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2010-02-01,3,2,3,2,5
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2010-02-01,63,74,63,74,137
