municipality,group,variable,month,Partos atendidos por partera capacitada,TOTAL
APOLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,3,3
ARQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,2,2
AYATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,5,5
AZURDUY,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,7,7
BELEN DE URMIRI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
BOLPEBRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
CAIROMA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,3,3
CAMARGO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,5,5
CKOCHAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,2,2
COLOMI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,13,13
CONCEPCION,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
CURVA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
EL TORNO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
EUCALIPTUS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,2,2
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
HUAYLLAMARCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
ICLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
INQUISIVI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,2,2
LAGUNILLAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,3,3
LAJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
LORETO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
MAIRANA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
MONTEAGUDO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,2,2
MOROCHATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,6,6
OCURI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,2,2
PADILLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
PAILON,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,2,2
PALCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
