municipality,group,variable,month,Control del niño de 2 años a menor de 5 años NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
ACACIO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,97,97,,
AIQUILE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,47,47,,
ALCALA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,133,133,,
ANZALDO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,38,38,,
APOLO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,5,5,,
ARAMPAMPA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,72,72,,
ARBIETO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,22,22,,
ARQUE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,27,27,,
ATOCHA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,8,8,,
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,21,21,,
BATALLAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,8,8,,
BAURES,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,7,7,,
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,9,9,,
BERMEJO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,13,13,,
BETANZOS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,200,200,,
BOLPEBRA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,7,7,,
BOYUIBE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,18,18,,
CABEZAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,8,8,,
CAIROMA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,23,23,,
CAJUATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,30,30,,
CALAMARCA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,7,7,,
CAMARGO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,215,215,,
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,106,106,,
