municipality,group,variable,month,Control del niño menor de 1 año NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
VIACHA,control de crecimiento infantil,control del nino menor de 1 ano,2007-04-01,128,128,,
VILLA MONTES,control de crecimiento infantil,control del nino menor de 1 ano,2007-04-01,19,19,,
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil,control del nino menor de 1 ano,2007-04-01,21,21,,
VILLA RIVERO,control de crecimiento infantil,control del nino menor de 1 ano,2007-04-01,21,21,,
VILLA TUNARI,control de crecimiento infantil,control del nino menor de 1 ano,2007-04-01,214,214,,
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil,control del nino menor de 1 ano,2007-04-01,16,16,,
VILLAZON,control de crecimiento infantil,control del nino menor de 1 ano,2007-04-01,66,66,,
VINTO,control de crecimiento infantil,control del nino menor de 1 ano,2007-04-01,83,83,,
VITICHI,control de crecimiento infantil,control del nino menor de 1 ano,2007-04-01,8,8,,
WALDO BALLIVIAN,control de crecimiento infantil,control del nino menor de 1 ano,2007-04-01,2,2,,
WARNES,control de crecimiento infantil,control del nino menor de 1 ano,2007-04-01,156,156,,
YACO,control de crecimiento infantil,control del nino menor de 1 ano,2007-04-01,6,6,,
YACUIBA,control de crecimiento infantil,control del nino menor de 1 ano,2007-04-01,354,354,,
YAMPARAEZ,control de crecimiento infantil,control del nino menor de 1 ano,2007-04-01,84,84,,
YOTALA,control de crecimiento infantil,control del nino menor de 1 ano,2007-04-01,28,28,,
YUNCHARA,control de crecimiento infantil,control del nino menor de 1 ano,2007-04-01,40,40,,
ZUDAÑEZ,control de crecimiento infantil,control del nino menor de 1 ano,2007-04-01,14,14,,
ACACIO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,46,46,,
ACHACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,68,68,,
ACHOCALLA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,5,5,,
AIQUILE,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,85,85,,
ALALAY,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,24,24,,
ALCALA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,3,3,,
ANCORAIMES,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,14,14,,
ANDAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,8,8,,
ANTEQUERA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,8,8,,
ANZALDO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,57,57,,
APOLO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,3,3,,
ARAMPAMPA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,42,42,,
ARANI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,24,24,,
ARBIETO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,25,25,,
ARQUE,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,17,17,,
ATOCHA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,1,1,,
AUCAPATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,4,4,,
AYATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,10,10,,
AYO AYO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,9,9,,
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,69,69,,
AZURDUY,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,26,26,,
BATALLAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,24,24,,
BAURES,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,8,8,,
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,1,1,,
BELEN DE URMIRI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,12,12,,
BELLA FLOR,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,9,9,,
BERMEJO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,38,38,,
BETANZOS,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,76,76,,
BOLPEBRA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,7,7,,
BUENA VISTA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,71,71,,
CABEZAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,2,2,,
CAIROMA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,26,26,,
"CAIZA ""D""",control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,6,6,,
CAJUATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,12,12,,
CALACOTO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,9,9,,
CALAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,12,12,,
CAMARGO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,68,68,,
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,10,10,,
CAMIRI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,73,73,,
CAPINOTA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,158,158,,
CAQUIAVIRI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,15,15,,
CARACOLLO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,62,62,,
CARANAVI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,315,315,,
CARANGAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,4,4,,
CARAPARI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,13,13,,
CARIPUYO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,21,21,,
CATACORA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,4,4,,
CHALLAPATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,90,90,,
CHAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,17,17,,
CHARAGUA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,15,15,,
CHARAÑA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,5,5,,
CHAYANTA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,9,9,,
CHIMORE,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,25,25,,
CHIPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,2,2,,
CHOQUE COTA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,2,2,,
CHUMA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,72,72,,
CLIZA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,24,24,,
COBIJA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,59,59,,
COCHABAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,1732,1732,,
COLCAPIRHUA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,156,156,,
"COLCHA ""K""",control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,21,21,,
COLLANA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,2,2,,
COLOMI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,131,131,,
COLPA BELGICA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,13,13,,
COLQUECHACA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,109,109,,
COLQUENCHA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,21,21,,
COLQUIRI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,51,51,,
COMANCHE,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,4,4,,
COMARAPA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,37,37,,
COMBAYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,3,3,,
CONCEPCION,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,13,13,,
COPACABANA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,21,21,,
CORO CORO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,2,2,,
CORQUE,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,30,30,,
COTAGAITA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,45,45,,
COTOCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,72,72,,
CUATRO CAÑADAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,43,43,,
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,7,7,,
CUEVO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,6,6,,
CULPINA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,49,49,,
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,2,2,,
CURVA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,7,7,,
DESAGUADERO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,9,9,,
EL ALTO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,2933,2933,,
EL CHORO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,19,19,,
EL PUENTE(TJA),control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,8,8,,
EL TORNO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,76,76,,
ENTRE RIOS,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,33,33,,
ENTRE RIOS,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,140,140,,
ESMERALDA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,1,1,,
EUCALIPTUS,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,8,8,,
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,12,12,,
EXALTACION,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,10,10,,
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,47,47,,
FILADELFIA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,19,19,,
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,40,40,,
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,35,35,,
GUAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,20,20,,
GUAYARAMERIN,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,163,163,,
GUTIERREZ,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,66,66,,
HUACARETA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,19,19,,
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,1,1,,
HUACHACALLA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,6,6,,
HUANUNI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,27,27,,
HUARACAJE,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,5,5,,
HUAYLLAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,9,9,,
ICHOCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,14,14,,
ICLA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,118,118,,
INCAHUASI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,117,117,,
INQUISIVI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,29,29,,
IXIAMAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,20,20,,
LA GUARDIA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,94,94,,
LA PAZ,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,1481,1481,,
LA RIVERA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,2,2,,
LAGUNILLAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,1,1,,
LAJA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,57,57,,
LAS CARRERAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,5,5,,
LICOMA PAMPA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,3,3,,
LLALLAGUA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,106,106,,
LLICA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,6,6,,
LORETO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,3,3,,
LURIBAY,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,46,46,,
MACHACAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,7,7,,
MACHARETI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,17,17,,
MAGDALENA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,11,11,,
MAIRANA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,8,8,,
MALLA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,13,13,,
MECAPACA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,23,23,,
MIZQUE,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,108,108,,
MOCOMOCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,28,28,,
MOJINETE,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,4,4,,
MOJOCOYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,65,65,,
MONTEAGUDO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,59,59,,
MONTERO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,152,152,,
MORO MORO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,3,3,,
MOROCHATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,106,106,,
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,2,2,,
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,3,3,,
OCURI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,45,45,,
OKINAWA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,17,17,,
OMEREQUE,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,7,7,,
ORURO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,872,872,,
PADCAYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,27,27,,
PADILLA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,21,21,,
PAILON,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,39,39,,
PALCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,28,28,,
PAMPA AULLAGAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,4,4,,
PAMPA GRANDE,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,2,2,,
PAPEL PAMPA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,12,12,,
PASORAPA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,11,11,,
PATACAMAYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,177,177,,
PAZÑA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,2,2,,
PELECHUCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,13,13,,
POCONA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,32,32,,
POJO (CBBA),control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,60,60,,
POOPO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,13,13,,
PORCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,44,44,,
POROMA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,76,76,,
PORONGO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,43,43,,
PORTACHUELO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,27,27,,
PORVENIR,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,2,2,,
POSTRER VALLE,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,1,1,,
POTOSI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,590,590,,
PRESTO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,74,74,,
PUCARANI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,41,41,,
PUERTO ACOSTA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,50,50,,
PUERTO CARABUCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,40,40,,
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,6,6,,
PUERTO PEREZ,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,18,18,,
PUERTO RICO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,17,17,,
PUERTO SILES,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,3,3,,
PUERTO VILLARROEL,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,114,114,,
PUNA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,123,123,,
PUNATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,226,226,,
QUIABAYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,2,2,,
QUILLACOLLO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,689,689,,
QUIME,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,19,19,,
QUIRUSILLAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,1,1,,
RAVELO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,21,21,,
REYES,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,26,26,,
RIBERALTA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,281,281,,
ROBORE,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,49,49,,
RURRENABAQUE,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,18,18,,
SABAYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,18,18,,
SACABA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,153,153,,
SACABAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,25,25,,
SACACA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,124,124,,
SAIPINA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,27,27,,
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,10,10,,
SAMAIPATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,9,9,,
SAN AGUSTIN,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,4,4,,
SAN ANDRES,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,29,29,,
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,5,5,,
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,2,2,,
SAN BENITO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,45,45,,
SAN BORJA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,46,46,,
SAN BUENA VENTURA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,29,29,,
SAN CARLOS,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,61,61,,
SAN IGNACIO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,59,59,,
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,151,151,,
SAN JAVIER(BNI),control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,6,6,,
SAN JOAQUIN,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,5,5,,
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,38,38,,
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,19,19,,
SAN JULIAN,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,77,77,,
SAN LORENZO(PND),control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,4,4,,
SAN LORENZO(TJA),control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,47,47,,
SAN LUCAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,102,102,,
SAN MATIAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,51,51,,
SAN MIGUEL DE VELASCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,23,23,,
SAN PABLO DE LIPEZ,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,4,4,,
SAN PEDRO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,42,42,,
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,8,8,,
SAN PEDRO DE CURAHUARA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,9,9,,
SAN PEDRO DE QUEMES,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,1,1,,
SAN PEDRO DE TIQUINA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,1,1,,
SAN PEDRO(PND),control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,6,6,,
SAN RAFAEL,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,14,14,,
SAN RAMON,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,36,36,,
SANTA ANA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,66,66,,
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,1617,1617,,
SANTA ROSA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,91,91,,
SANTA ROSA DEL SARA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,35,35,,
SANTIAGO DE CALLAPA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,4,4,,
SANTIAGO DE HUARI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,8,8,,
SANTIAGO DE MACHACA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,4,4,,
SANTUARIO DE QUILLACAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,5,5,,
SAPAHAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,5,5,,
SENA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,4,4,,
SICA SICA (VILLA AROMA),control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,57,57,,
SIPE SIPE,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,116,116,,
SOPACHUY,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,7,7,,
SORACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,52,52,,
SORATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,47,47,,
SUCRE,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,532,532,,
TACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,3,3,,
TACACOMA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,29,29,,
TACOBAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,131,131,,
TACOPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,6,6,,
TAHUA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,4,4,,
TAPACARI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,147,147,,
TARABUCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,247,247,,
TARACO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,27,27,,
TARATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,21,21,,
TARIJA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,4619,4619,,
TARVITA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,45,45,,
TEOPONTE,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,17,17,,
TIAWANACU,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,32,32,,
TINGUIPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,215,215,,
TIQUIPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,98,98,,
TIRAQUE (CBBA),control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,198,198,,
TITO YUPANQUI (PARQUIPUJIO),control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,1,1,,
TOCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,17,17,,
TODOS SANTOS,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,1,1,,
TOLATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,44,44,,
TOLEDO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,11,11,,
TOMAVE,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,40,40,,
TORO TORO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,75,75,,
TOTORA(CBBA),control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,104,104,,
TOTORA(ORR),control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,9,9,,
TRIGAL,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,4,4,,
TRINIDAD,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,670,670,,
TUPIZA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,80,80,,
TURCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,11,11,,
UMALA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,27,27,,
UNCIA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,65,65,,
URIONDO (A. CONCEPCION),control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,31,31,,
UYUNI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,60,60,,
VACAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,20,20,,
VALLEGRANDE,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,21,21,,
VIACHA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,95,95,,
VILA VILA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,10,10,,
VILLA MONTES,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,21,21,,
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,12,12,,
VILLA RIVERO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,32,32,,
VILLA TUNARI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,246,246,,
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,23,23,,
VILLAZON,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,65,65,,
VINTO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,114,114,,
VITICHI,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,9,9,,
WALDO BALLIVIAN,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,2,2,,
WARNES,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,138,138,,
YACO,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,32,32,,
YACUIBA,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,275,275,,
YAMPARAEZ,control de crecimiento infantil,control del nino menor de 1 ano,2007-05-01,22,22,,
