municipality,group,variable,month,Control del niño menor de 1 año NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,63,63,,
CAMIRI,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,4,4,,
CARACOLLO,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,40,40,,
CARANAVI,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,55,55,,
CARAPARI,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,13,13,,
CARIPUYO,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,23,23,,
CHALLAPATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,58,58,,
CHAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,9,9,,
CHAYANTA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,6,6,,
CHIMORE,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,2,2,,
CHIPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,4,4,,
CHOQUE COTA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,1,1,,
CHUMA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,17,17,,
CLIZA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,26,26,,
COBIJA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,11,11,,
COCHABAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,5,5,,
COIPASA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,2,2,,
COLCAPIRHUA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,37,37,,
"COLCHA ""K""",control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,19,19,,
COLLANA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,4,4,,
COLOMI,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,129,129,,
COLPA BELGICA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,11,11,,
COLQUENCHA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,9,9,,
COLQUIRI,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,36,36,,
COMARAPA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,30,30,,
COPACABANA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,49,49,,
CORQUE,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,3,3,,
COTAGAITA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,23,23,,
COTOCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,76,76,,
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,8,8,,
EL ALTO,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,1072,1072,,
EL PUENTE(TJA),control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,25,25,,
