municipality,group,variable,month,Control del niño de 1 año a menor de 2 años NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
ACACIO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,59,59,,
AIQUILE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,26,26,,
ALCALA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,63,63,,
ANZALDO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,17,17,,
APOLO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,5,5,,
ARAMPAMPA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,30,30,,
ARBIETO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,15,15,,
ARQUE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,15,15,,
ATOCHA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,1,1,,
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,14,14,,
BATALLAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,4,4,,
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,4,4,,
BELEN DE URMIRI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,1,1,,
BELLA FLOR,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,10,10,,
BERMEJO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,48,48,,
BETANZOS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,95,95,,
BOLPEBRA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,4,4,,
BOYUIBE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,25,25,,
CABEZAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,14,14,,
CAIROMA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,21,21,,
CAJUATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,13,13,,
CAMARGO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,125,125,,
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,22,22,,
CAMIRI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,152,152,,
CARACOLLO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,3,3,,
CARANAVI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,261,261,,
CARIPUYO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,1,1,,
CHALLAPATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,8,8,,
CHARAGUA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,116,116,,
CHIMORE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,25,25,,
CHOQUE COTA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,5,5,,
CHUMA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,1,1,,
COBIJA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,145,145,,
COCHABAMBA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,2,2,,
COIPASA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,2,2,,
COLCAPIRHUA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,14,14,,
COLOMI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,78,78,,
COLPA BELGICA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,1,1,,
COLQUENCHA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,4,4,,
COLQUIRI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,16,16,,
CONCEPCION,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,18,18,,
COPACABANA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,1,1,,
COTAGAITA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,16,16,,
COTOCA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,45,45,,
CUATRO CAÑADAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,209,209,,
CUEVO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,6,6,,
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,27,27,,
EL ALTO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,698,698,,
EL PUENTE(STC),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,108,108,,
EL PUENTE(TJA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,13,13,,
EL TORNO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,102,102,,
ENTRE RIOS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,5,5,,
EUCALIPTUS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,30,30,,
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,3,3,,
GUAYARAMERIN,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,207,207,,
HUACARETA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,89,89,,
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,61,61,,
HUANUNI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,96,96,,
HUAYLLAMARCA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,6,6,,
ICLA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,15,15,,
INCAHUASI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,50,50,,
INQUISIVI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,6,6,,
LA GUARDIA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,116,116,,
LA PAZ,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,32,32,,
LAGUNILLAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,11,11,,
LAS CARRERAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,49,49,,
LLALLAGUA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,69,69,,
LORETO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,38,38,,
MACHACAMARCA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,26,26,,
MACHARETI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,137,137,,
MALLA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,9,9,,
MIZQUE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,4,4,,
MOJOCOYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,67,67,,
MONTEAGUDO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,299,299,,
MOROCHATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,65,65,,
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,1,1,,
OMEREQUE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,1,1,,
ORURO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,131,131,,
PADCAYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,46,46,,
PADILLA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,141,141,,
PALCA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,6,6,,
POCONA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,24,24,,
POJO (CBBA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,67,67,,
PORCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,17,17,,
POROMA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,131,131,,
PORONGO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,64,64,,
PORTACHUELO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,17,17,,
PORVENIR,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,73,73,,
POTOSI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,1031,1031,,
PUCARANI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,4,4,,
PUERTO CARABUCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,1,1,,
PUERTO PEREZ,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,1,1,,
PUERTO RICO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,7,7,,
PUERTO SILES,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,17,17,,
PUNA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,15,15,,
PUNATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,95,95,,
QUILLACOLLO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,217,217,,
REYES,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,80,80,,
RIBERALTA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,130,130,,
