,group,variable,month,FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2013-01-01,3,0,3,0,3
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2013-01-01,1,0,1,0,1
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2013-01-01,1,2,1,2,3
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2013-01-01,0,2,0,2,2
COBIJA,internaciones,fallecidos a partir de las 48 horas,2013-01-01,2,4,2,4,6
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2013-01-01,37,46,37,46,83
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 horas,2013-01-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2013-01-01,12,11,12,11,23
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2013-01-01,2,1,2,1,3
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2013-01-01,7,3,7,3,10
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2013-01-01,66,72,66,72,138
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2013-01-01,1,0,1,0,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2013-01-01,0,1,0,1,1
ORURO,internaciones,fallecidos a partir de las 48 horas,2013-01-01,7,35,7,35,42
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2013-01-01,1,1,1,1,2
POTOSI,internaciones,fallecidos a partir de las 48 horas,2013-01-01,7,6,7,6,13
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2013-01-01,2,0,2,0,2
PUNATA,internaciones,fallecidos a partir de las 48 horas,2013-01-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2013-01-01,7,4,7,4,11
ROBORE,internaciones,fallecidos a partir de las 48 horas,2013-01-01,0,1,0,1,1
SAMAIPATA,internaciones,fallecidos a partir de las 48 horas,2013-01-01,0,1,0,1,1
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2013-01-01,0,1,0,1,1
SAN CARLOS,internaciones,fallecidos a partir de las 48 horas,2013-01-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,internaciones,fallecidos a partir de las 48 horas,2013-01-01,0,2,0,2,2
SAN JULIAN,internaciones,fallecidos a partir de las 48 horas,2013-01-01,1,0,1,0,1
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2013-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2013-01-01,112,94,112,94,206
SUCRE,internaciones,fallecidos a partir de las 48 horas,2013-01-01,19,14,19,14,33
TARABUCO,internaciones,fallecidos a partir de las 48 horas,2013-01-01,1,0,1,0,1
TARIJA,internaciones,fallecidos a partir de las 48 horas,2013-01-01,19,22,19,22,41
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2013-01-01,8,6,8,6,14
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2013-01-01,0,3,0,3,3
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2013-01-01,0,1,0,1,1
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2013-01-01,1,2,1,2,3
VINTO,internaciones,fallecidos a partir de las 48 horas,2013-01-01,0,2,0,2,2
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2013-01-01,8,4,8,4,12
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 horas,2013-02-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2013-02-01,0,1,0,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2013-02-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2013-02-01,1,0,1,0,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2013-02-01,3,4,3,4,7
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2013-02-01,33,42,33,42,75
