,group,variable,month,EGRESOS CANTIDAD,EGRESOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,internaciones,egresos,2013-01-01,0,3,0,3,3
ACHACACHI,internaciones,egresos,2013-01-01,18,53,18,53,71
AIQUILE,internaciones,egresos,2013-01-01,41,82,41,82,123
ALCALA,internaciones,egresos,2013-01-01,0,8,0,8,8
ALTO BENI,internaciones,egresos,2013-01-01,0,16,0,16,16
ANCORAIMES,internaciones,egresos,2013-01-01,0,4,0,4,4
ANTEQUERA,internaciones,egresos,2013-01-01,0,1,0,1,1
ANZALDO,internaciones,egresos,2013-01-01,19,13,19,13,32
APOLO,internaciones,egresos,2013-01-01,3,23,3,23,26
ARANI,internaciones,egresos,2013-01-01,0,8,0,8,8
ARBIETO,internaciones,egresos,2013-01-01,0,12,0,12,12
ARQUE,internaciones,egresos,2013-01-01,0,5,0,5,5
ASCENCION DE GUARAYOS,internaciones,egresos,2013-01-01,64,161,64,161,225
ATOCHA,internaciones,egresos,2013-01-01,23,39,23,39,62
AYATA,internaciones,egresos,2013-01-01,1,4,1,4,5
AYO AYO,internaciones,egresos,2013-01-01,0,4,0,4,4
AYOPAYA (V. DE INDEPENDENCIA),internaciones,egresos,2013-01-01,13,33,13,33,46
AZURDUY,internaciones,egresos,2013-01-01,4,6,4,6,10
BATALLAS,internaciones,egresos,2013-01-01,0,7,0,7,7
BAURES,internaciones,egresos,2013-01-01,7,19,7,19,26
BERMEJO,internaciones,egresos,2013-01-01,99,185,99,185,284
BETANZOS,internaciones,egresos,2013-01-01,4,40,4,40,44
BOLIVAR,internaciones,egresos,2013-01-01,0,7,0,7,7
BOYUIBE,internaciones,egresos,2013-01-01,12,17,12,17,29
BUENA VISTA,internaciones,egresos,2013-01-01,11,27,11,27,38
CABEZAS,internaciones,egresos,2013-01-01,7,13,7,13,20
CAIROMA,internaciones,egresos,2013-01-01,0,6,0,6,6
"CAIZA ""D""",internaciones,egresos,2013-01-01,0,2,0,2,2
CAJUATA,internaciones,egresos,2013-01-01,4,13,4,13,17
CALAMARCA,internaciones,egresos,2013-01-01,0,8,0,8,8
CAMATAQUI (C. VILLA ABECIA),internaciones,egresos,2013-01-01,0,2,0,2,2
CAMIRI,internaciones,egresos,2013-01-01,195,516,195,516,711
CAPINOTA,internaciones,egresos,2013-01-01,6,41,6,41,47
CAQUIAVIRI,internaciones,egresos,2013-01-01,0,5,0,5,5
CARACOLLO,internaciones,egresos,2013-01-01,1,13,1,13,14
CARANAVI,internaciones,egresos,2013-01-01,45,152,45,152,197
CARAPARI,internaciones,egresos,2013-01-01,16,26,16,26,42
CARMEN RIVERO TORREZ,internaciones,egresos,2013-01-01,6,6,6,6,12
CHALLAPATA,internaciones,egresos,2013-01-01,29,131,29,131,160
CHAQUI,internaciones,egresos,2013-01-01,0,7,0,7,7
CHARAGUA,internaciones,egresos,2013-01-01,56,126,56,126,182
CHAYANTA,internaciones,egresos,2013-01-01,4,22,4,22,26
CHIMORE,internaciones,egresos,2013-01-01,14,19,14,19,33
CHULUMANI (V. DE LA LIBERTAD),internaciones,egresos,2013-01-01,0,91,0,91,91
CHUMA,internaciones,egresos,2013-01-01,0,1,0,1,1
CKOCHAS,internaciones,egresos,2013-01-01,1,4,1,4,5
CLIZA,internaciones,egresos,2013-01-01,4,27,4,27,31
COBIJA,internaciones,egresos,2013-01-01,160,371,160,371,531
COCHABAMBA,internaciones,egresos,2013-01-01,2959,5679,2959,5679,8638
COLCAPIRHUA,internaciones,egresos,2013-01-01,40,89,40,89,129
COLOMI,internaciones,egresos,2013-01-01,0,24,0,24,24
COLPA BELGICA,internaciones,egresos,2013-01-01,10,18,10,18,28
COLQUECHACA,internaciones,egresos,2013-01-01,3,17,3,17,20
COLQUENCHA,internaciones,egresos,2013-01-01,0,4,0,4,4
COLQUIRI,internaciones,egresos,2013-01-01,7,15,7,15,22
COMARAPA,internaciones,egresos,2013-01-01,10,45,10,45,55
COMBAYA,internaciones,egresos,2013-01-01,0,2,0,2,2
CONCEPCION,internaciones,egresos,2013-01-01,9,42,9,42,51
COPACABANA,internaciones,egresos,2013-01-01,1,9,1,9,10
