,group,variable,month,RETORNADOS CANTIDAD,RETORNADOS CANTIDAD,TOTALES,TOTALES,TOTALES
ASCENCION DE GUARAYOS,internaciones,retornados,2013-03-01,2,9,2,9,11
COBIJA,internaciones,retornados,2013-03-01,55,118,55,118,173
COCHABAMBA,internaciones,retornados,2013-03-01,6,17,6,17,23
CONCEPCION,internaciones,retornados,2013-03-01,0,1,0,1,1
COTAGAITA,internaciones,retornados,2013-03-01,2,3,2,3,5
EL ALTO,internaciones,retornados,2013-03-01,7,41,7,41,48
HUACAYA (VILLA DE HUACAYA),internaciones,retornados,2013-03-01,1,0,1,0,1
HUANUNI,internaciones,retornados,2013-03-01,0,1,0,1,1
ICLA,internaciones,retornados,2013-03-01,0,1,0,1,1
LA PAZ,internaciones,retornados,2013-03-01,3,3,3,3,6
MONTERO,internaciones,retornados,2013-03-01,1,41,1,41,42
OMEREQUE,internaciones,retornados,2013-03-01,0,2,0,2,2
ORURO,internaciones,retornados,2013-03-01,3,1,3,1,4
PADILLA,internaciones,retornados,2013-03-01,0,31,0,31,31
POSTRER VALLE,internaciones,retornados,2013-03-01,0,1,0,1,1
PUERTO QUIJARRO,internaciones,retornados,2013-03-01,0,1,0,1,1
PUERTO SUAREZ,internaciones,retornados,2013-03-01,0,1,0,1,1
PUERTO VILLARROEL,internaciones,retornados,2013-03-01,0,1,0,1,1
RIBERALTA,internaciones,retornados,2013-03-01,3,97,3,97,100
SACABAMBA,internaciones,retornados,2013-03-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,retornados,2013-03-01,0,13,0,13,13
SAN JOSE DE CHIQUITOS,internaciones,retornados,2013-03-01,1,1,1,1,2
SAN JULIAN,internaciones,retornados,2013-03-01,13,22,13,22,35
SAN LUCAS,internaciones,retornados,2013-03-01,2,16,2,16,18
SAN MATIAS,internaciones,retornados,2013-03-01,0,1,0,1,1
SAN PEDRO,internaciones,retornados,2013-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2013-03-01,2,8,2,8,10
SUCRE,internaciones,retornados,2013-03-01,0,105,0,105,105
TARIJA,internaciones,retornados,2013-03-01,1,0,1,0,1
TOMAVE,internaciones,retornados,2013-03-01,0,2,0,2,2
VALLEGRANDE,internaciones,retornados,2013-03-01,0,3,0,3,3
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,retornados,2013-03-01,0,1,0,1,1
YACUIBA,internaciones,retornados,2013-03-01,2,10,2,10,12
YAPACANI,internaciones,retornados,2013-03-01,3,0,3,0,3
ZUDAÑEZ,internaciones,retornados,2013-03-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,retornados,2013-04-01,3,8,3,8,11
BERMEJO,internaciones,retornados,2013-04-01,2,2,2,2,4
COBIJA,internaciones,retornados,2013-04-01,12,82,12,82,94
COCHABAMBA,internaciones,retornados,2013-04-01,2,236,2,236,238
CONCEPCION,internaciones,retornados,2013-04-01,0,1,0,1,1
EL ALTO,internaciones,retornados,2013-04-01,8,13,8,13,21
EL TORNO,internaciones,retornados,2013-04-01,0,2,0,2,2
FERNANDEZ ALONSO,internaciones,retornados,2013-04-01,0,1,0,1,1
HUACAYA (VILLA DE HUACAYA),internaciones,retornados,2013-04-01,0,1,0,1,1
HUANUNI,internaciones,retornados,2013-04-01,1,0,1,0,1
HUAYLLAMARCA,internaciones,retornados,2013-04-01,0,1,0,1,1
ICLA,internaciones,retornados,2013-04-01,0,2,0,2,2
INQUISIVI,internaciones,retornados,2013-04-01,0,1,0,1,1
LA PAZ,internaciones,retornados,2013-04-01,1,7,1,7,8
PUERTO GONZALO MORENO,internaciones,retornados,2013-04-01,2,2,2,2,4
RIBERALTA,internaciones,retornados,2013-04-01,0,86,0,86,86
SAN IGNACIO DE VELASCO,internaciones,retornados,2013-04-01,0,1,0,1,1
SAN LUCAS,internaciones,retornados,2013-04-01,0,3,0,3,3
SAN MATIAS,internaciones,retornados,2013-04-01,1,0,1,0,1
SAN PEDRO,internaciones,retornados,2013-04-01,1,0,1,0,1
SAN RAFAEL,internaciones,retornados,2013-04-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2013-04-01,3,1,3,1,4
SUCRE,internaciones,retornados,2013-04-01,0,103,0,103,103
TARIJA,internaciones,retornados,2013-04-01,0,1,0,1,1
TOMINA,internaciones,retornados,2013-04-01,0,1,0,1,1
TRINIDAD,internaciones,retornados,2013-04-01,1,0,1,0,1
VALLEGRANDE,internaciones,retornados,2013-04-01,2,2,2,2,4
VILLA TUNARI,internaciones,retornados,2013-04-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,retornados,2013-04-01,5,9,5,9,14
YACUIBA,internaciones,retornados,2013-04-01,5,15,5,15,20
YAPACANI,internaciones,retornados,2013-04-01,0,3,0,3,3
ALCALA,internaciones,retornados,2013-05-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,retornados,2013-05-01,1,10,1,10,11
BERMEJO,internaciones,retornados,2013-05-01,2,5,2,5,7
COBIJA,internaciones,retornados,2013-05-01,1,94,1,94,95
COCAPATA,internaciones,retornados,2013-05-01,0,5,0,5,5
COCHABAMBA,internaciones,retornados,2013-05-01,5,16,5,16,21
CONCEPCION,internaciones,retornados,2013-05-01,2,0,2,0,2
CORIPATA,internaciones,retornados,2013-05-01,1,1,1,1,2
EL ALTO,internaciones,retornados,2013-05-01,10,52,10,52,62
GUTIERREZ,internaciones,retornados,2013-05-01,0,1,0,1,1
LA PAZ,internaciones,retornados,2013-05-01,3,8,3,8,11
LAS CARRERAS,internaciones,retornados,2013-05-01,0,1,0,1,1
MAPIRI,internaciones,retornados,2013-05-01,1,0,1,0,1
PORVENIR,internaciones,retornados,2013-05-01,0,1,0,1,1
RIBERALTA,internaciones,retornados,2013-05-01,4,61,4,61,65
SAN BORJA,internaciones,retornados,2013-05-01,0,11,0,11,11
SAN IGNACIO,internaciones,retornados,2013-05-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,retornados,2013-05-01,0,6,0,6,6
SAN JOSE DE CHIQUITOS,internaciones,retornados,2013-05-01,1,0,1,0,1
SAN LUCAS,internaciones,retornados,2013-05-01,1,10,1,10,11
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2013-05-01,8,6,8,6,14
SOPACHUY,internaciones,retornados,2013-05-01,0,2,0,2,2
SUCRE,internaciones,retornados,2013-05-01,1,98,1,98,99
TARIJA,internaciones,retornados,2013-05-01,9,7,9,7,16
TARVITA,internaciones,retornados,2013-05-01,0,1,0,1,1
TOMINA,internaciones,retornados,2013-05-01,0,1,0,1,1
VALLEGRANDE,internaciones,retornados,2013-05-01,1,1,1,1,2
VILLA TUNARI,internaciones,retornados,2013-05-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,retornados,2013-05-01,1,5,1,5,6
WARNES,internaciones,retornados,2013-05-01,0,1,0,1,1
YACUIBA,internaciones,retornados,2013-05-01,0,7,0,7,7
ARQUE,internaciones,retornados,2013-06-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,retornados,2013-06-01,2,5,2,5,7
AZURDUY,internaciones,retornados,2013-06-01,0,1,0,1,1
BERMEJO,internaciones,retornados,2013-06-01,5,5,5,5,10
COBIJA,internaciones,retornados,2013-06-01,6,85,6,85,91
COCAPATA,internaciones,retornados,2013-06-01,0,5,0,5,5
COCHABAMBA,internaciones,retornados,2013-06-01,1,0,1,0,1
EL ALTO,internaciones,retornados,2013-06-01,9,57,9,57,66
GUTIERREZ,internaciones,retornados,2013-06-01,0,1,0,1,1
INCAHUASI,internaciones,retornados,2013-06-01,1,1,1,1,2
LA PAZ,internaciones,retornados,2013-06-01,2,3,2,3,5
MOJOCOYA,internaciones,retornados,2013-06-01,0,2,0,2,2
ORURO,internaciones,retornados,2013-06-01,0,15,0,15,15
PORVENIR,internaciones,retornados,2013-06-01,0,2,0,2,2
PUERTO GONZALO MORENO,internaciones,retornados,2013-06-01,0,7,0,7,7
RIBERALTA,internaciones,retornados,2013-06-01,6,52,6,52,58
SAN ANTONIO DE LOMERIO,internaciones,retornados,2013-06-01,0,33,0,33,33
SAN BORJA,internaciones,retornados,2013-06-01,1,1,1,1,2
SAN CARLOS,internaciones,retornados,2013-06-01,2,1,2,1,3
SAN IGNACIO DE VELASCO,internaciones,retornados,2013-06-01,0,7,0,7,7
SAN JAVIER(BNI),internaciones,retornados,2013-06-01,0,1,0,1,1
SAN LUCAS,internaciones,retornados,2013-06-01,17,42,17,42,59
SAN RAMON BENI,internaciones,retornados,2013-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2013-06-01,10,19,10,19,29
SUCRE,internaciones,retornados,2013-06-01,0,115,0,115,115
TARIJA,internaciones,retornados,2013-06-01,1,0,1,0,1
TRINIDAD,internaciones,retornados,2013-06-01,0,1,0,1,1
UNCIA,internaciones,retornados,2013-06-01,0,1,0,1,1
VALLEGRANDE,internaciones,retornados,2013-06-01,1,1,1,1,2
VILLA TUNARI,internaciones,retornados,2013-06-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,retornados,2013-06-01,0,1,0,1,1
YACUIBA,internaciones,retornados,2013-06-01,1,8,1,8,9
ZUDAÑEZ,internaciones,retornados,2013-06-01,0,1,0,1,1
ACHACACHI,internaciones,retornados,2013-07-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,retornados,2013-07-01,2,0,2,0,2
AZURDUY,internaciones,retornados,2013-07-01,0,1,0,1,1
BERMEJO,internaciones,retornados,2013-07-01,5,4,5,4,9
COBIJA,internaciones,retornados,2013-07-01,6,97,6,97,103
COCHABAMBA,internaciones,retornados,2013-07-01,6,257,6,257,263
"COLCHA ""K""",internaciones,retornados,2013-07-01,0,1,0,1,1
COLLANA,internaciones,retornados,2013-07-01,0,1,0,1,1
EL ALTO,internaciones,retornados,2013-07-01,12,80,12,80,92
ICLA,internaciones,retornados,2013-07-01,0,2,0,2,2
MACHARETI,internaciones,retornados,2013-07-01,1,0,1,0,1
MONTERO,internaciones,retornados,2013-07-01,0,48,0,48,48
PASORAPA,internaciones,retornados,2013-07-01,0,1,0,1,1
PORTACHUELO,internaciones,retornados,2013-07-01,0,2,0,2,2
RIBERALTA,internaciones,retornados,2013-07-01,18,26,18,26,44
SAN BORJA,internaciones,retornados,2013-07-01,0,2,0,2,2
SAN BUENA VENTURA,internaciones,retornados,2013-07-01,1,0,1,0,1
SAN CARLOS,internaciones,retornados,2013-07-01,2,1,2,1,3
SAN IGNACIO DE VELASCO,internaciones,retornados,2013-07-01,0,6,0,6,6
SAN LUCAS,internaciones,retornados,2013-07-01,5,34,5,34,39
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2013-07-01,5,7,5,7,12
SUCRE,internaciones,retornados,2013-07-01,0,82,0,82,82
TARIJA,internaciones,retornados,2013-07-01,2,0,2,0,2
TOMINA,internaciones,retornados,2013-07-01,0,6,0,6,6
UNCIA,internaciones,retornados,2013-07-01,0,1,0,1,1
VINTO,internaciones,retornados,2013-07-01,1,0,1,0,1
WARNES,internaciones,retornados,2013-07-01,1,2,1,2,3
YACUIBA,internaciones,retornados,2013-07-01,2,5,2,5,7
YAPACANI,internaciones,retornados,2013-07-01,3,1,3,1,4
ZUDAÑEZ,internaciones,retornados,2013-07-01,0,1,0,1,1
BERMEJO,internaciones,retornados,2013-08-01,2,2,2,2,4
BUENA VISTA,internaciones,retornados,2013-08-01,0,1,0,1,1
CAJUATA,internaciones,retornados,2013-08-01,0,1,0,1,1
COBIJA,internaciones,retornados,2013-08-01,4,48,4,48,52
COCHABAMBA,internaciones,retornados,2013-08-01,8,28,8,28,36
CONCEPCION,internaciones,retornados,2013-08-01,0,1,0,1,1
COTAGAITA,internaciones,retornados,2013-08-01,0,2,0,2,2
EL ALTO,internaciones,retornados,2013-08-01,22,95,22,95,117
EL PUENTE(STC),internaciones,retornados,2013-08-01,0,1,0,1,1
HUARACAJE,internaciones,retornados,2013-08-01,0,1,0,1,1
ICLA,internaciones,retornados,2013-08-01,0,2,0,2,2
LA PAZ,internaciones,retornados,2013-08-01,1,3,1,3,4
MACHARETI,internaciones,retornados,2013-08-01,1,0,1,0,1
MOJOCOYA,internaciones,retornados,2013-08-01,0,1,0,1,1
MONTEAGUDO,internaciones,retornados,2013-08-01,11,0,11,0,11
MONTERO,internaciones,retornados,2013-08-01,7,97,7,97,104
ORURO,internaciones,retornados,2013-08-01,3,0,3,0,3
PORTACHUELO,internaciones,retornados,2013-08-01,0,1,0,1,1
PUERTO GONZALO MORENO,internaciones,retornados,2013-08-01,1,0,1,0,1
RIBERALTA,internaciones,retornados,2013-08-01,11,70,11,70,81
SAN BORJA,internaciones,retornados,2013-08-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,internaciones,retornados,2013-08-01,1,2,1,2,3
SAN JOSE DE CHIQUITOS,internaciones,retornados,2013-08-01,0,1,0,1,1
SAN JULIAN,internaciones,retornados,2013-08-01,0,1,0,1,1
SAN LUCAS,internaciones,retornados,2013-08-01,5,37,5,37,42
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2013-08-01,15,7,15,7,22
SOPACHUY,internaciones,retornados,2013-08-01,0,1,0,1,1
SUCRE,internaciones,retornados,2013-08-01,0,547,0,547,547
TACACOMA,internaciones,retornados,2013-08-01,0,2,0,2,2
TARABUCO,internaciones,retornados,2013-08-01,1,5,1,5,6
TARIJA,internaciones,retornados,2013-08-01,1,0,1,0,1
TORO TORO,internaciones,retornados,2013-08-01,0,3,0,3,3
VALLEGRANDE,internaciones,retornados,2013-08-01,1,0,1,0,1
VILLA TUNARI,internaciones,retornados,2013-08-01,0,3,0,3,3
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,retornados,2013-08-01,0,2,0,2,2
YACUIBA,internaciones,retornados,2013-08-01,3,6,3,6,9
YAPACANI,internaciones,retornados,2013-08-01,2,2,2,2,4
ZUDAÑEZ,internaciones,retornados,2013-08-01,0,2,0,2,2
ALCALA,internaciones,retornados,2013-09-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,retornados,2013-09-01,3,2,3,2,5
BERMEJO,internaciones,retornados,2013-09-01,2,4,2,4,6
CLIZA,internaciones,retornados,2013-09-01,0,1,0,1,1
COBIJA,internaciones,retornados,2013-09-01,3,123,3,123,126
COCAPATA,internaciones,retornados,2013-09-01,0,9,0,9,9
COCHABAMBA,internaciones,retornados,2013-09-01,2,290,2,290,292
CONCEPCION,internaciones,retornados,2013-09-01,0,1,0,1,1
EL ALTO,internaciones,retornados,2013-09-01,8,114,8,114,122
LA PAZ,internaciones,retornados,2013-09-01,1,3,1,3,4
MACHARETI,internaciones,retornados,2013-09-01,1,3,1,3,4
MONTERO,internaciones,retornados,2013-09-01,1,109,1,109,110
PASORAPA,internaciones,retornados,2013-09-01,0,1,0,1,1
PORVENIR,internaciones,retornados,2013-09-01,1,0,1,0,1
POTOSI,internaciones,retornados,2013-09-01,1,0,1,0,1
PUERTO SUAREZ,internaciones,retornados,2013-09-01,1,0,1,0,1
RIBERALTA,internaciones,retornados,2013-09-01,14,97,14,97,111
SAN IGNACIO DE VELASCO,internaciones,retornados,2013-09-01,0,5,0,5,5
SAN JUAN DE YAPACANI,internaciones,retornados,2013-09-01,0,1,0,1,1
SAN LUCAS,internaciones,retornados,2013-09-01,11,38,11,38,49
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2013-09-01,9,6,9,6,15
SUCRE,internaciones,retornados,2013-09-01,0,38,0,38,38
TARABUCO,internaciones,retornados,2013-09-01,6,1,6,1,7
TARIJA,internaciones,retornados,2013-09-01,1,2,1,2,3
TOLEDO,internaciones,retornados,2013-09-01,1,0,1,0,1
TOMINA,internaciones,retornados,2013-09-01,0,1,0,1,1
VALLEGRANDE,internaciones,retornados,2013-09-01,4,2,4,2,6
VILLA TUNARI,internaciones,retornados,2013-09-01,0,1,0,1,1
VILLAZON,internaciones,retornados,2013-09-01,0,1,0,1,1
YACUIBA,internaciones,retornados,2013-09-01,2,7,2,7,9
YAPACANI,internaciones,retornados,2013-09-01,0,3,0,3,3
ASCENCION DE GUARAYOS,internaciones,retornados,2013-10-01,0,4,0,4,4
BERMEJO,internaciones,retornados,2013-10-01,3,1,3,1,4
CHARAGUA,internaciones,retornados,2013-10-01,0,1,0,1,1
COBIJA,internaciones,retornados,2013-10-01,2,152,2,152,154
COCHABAMBA,internaciones,retornados,2013-10-01,6,285,6,285,291
EL ALTO,internaciones,retornados,2013-10-01,5,101,5,101,106
ICLA,internaciones,retornados,2013-10-01,0,3,0,3,3
LA PAZ,internaciones,retornados,2013-10-01,0,4,0,4,4
MAGDALENA,internaciones,retornados,2013-10-01,1,0,1,0,1
MOJOCOYA,internaciones,retornados,2013-10-01,0,1,0,1,1
MONTEAGUDO,internaciones,retornados,2013-10-01,0,1,0,1,1
MONTERO,internaciones,retornados,2013-10-01,20,168,20,168,188
ORURO,internaciones,retornados,2013-10-01,5,10,5,10,15
PORTACHUELO,internaciones,retornados,2013-10-01,0,1,0,1,1
POTOSI,internaciones,retornados,2013-10-01,1,0,1,0,1
PUERTO GONZALO MORENO,internaciones,retornados,2013-10-01,1,2,1,2,3
RIBERALTA,internaciones,retornados,2013-10-01,10,94,10,94,104
SACABA,internaciones,retornados,2013-10-01,1,0,1,0,1
SAN BORJA,internaciones,retornados,2013-10-01,0,3,0,3,3
SAN IGNACIO DE VELASCO,internaciones,retornados,2013-10-01,2,10,2,10,12
SAN JULIAN,internaciones,retornados,2013-10-01,7,17,7,17,24
SAN LUCAS,internaciones,retornados,2013-10-01,0,11,0,11,11
SAN MATIAS,internaciones,retornados,2013-10-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2013-10-01,11,8,11,8,19
SUCRE,internaciones,retornados,2013-10-01,0,96,0,96,96
TARABUCO,internaciones,retornados,2013-10-01,1,15,1,15,16
TARVITA,internaciones,retornados,2013-10-01,0,1,0,1,1
TRINIDAD,internaciones,retornados,2013-10-01,1,2,1,2,3
TUPIZA,internaciones,retornados,2013-10-01,12,18,12,18,30
WARNES,internaciones,retornados,2013-10-01,2,0,2,0,2
YACUIBA,internaciones,retornados,2013-10-01,3,5,3,5,8
YAPACANI,internaciones,retornados,2013-10-01,2,2,2,2,4
ZUDAÑEZ,internaciones,retornados,2013-10-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,retornados,2013-11-01,2,2,2,2,4
BERMEJO,internaciones,retornados,2013-11-01,3,5,3,5,8
COBIJA,internaciones,retornados,2013-11-01,12,168,12,168,180
COCHABAMBA,internaciones,retornados,2013-11-01,0,278,0,278,278
CONCEPCION,internaciones,retornados,2013-11-01,1,0,1,0,1
EL ALTO,internaciones,retornados,2013-11-01,8,92,8,92,100
LA PAZ,internaciones,retornados,2013-11-01,0,1,0,1,1
MONTEAGUDO,internaciones,retornados,2013-11-01,10,25,10,25,35
MONTERO,internaciones,retornados,2013-11-01,1,201,1,201,202
OCURI,internaciones,retornados,2013-11-01,0,2,0,2,2
ORURO,internaciones,retornados,2013-11-01,4,2,4,2,6
PUERTO VILLARROEL,internaciones,retornados,2013-11-01,0,2,0,2,2
RIBERALTA,internaciones,retornados,2013-11-01,0,53,0,53,53
SAN BORJA,internaciones,retornados,2013-11-01,1,2,1,2,3
SAN IGNACIO,internaciones,retornados,2013-11-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,retornados,2013-11-01,0,3,0,3,3
SAN JUAN DE YAPACANI,internaciones,retornados,2013-11-01,0,2,0,2,2
SAN LUCAS,internaciones,retornados,2013-11-01,5,45,5,45,50
SAN MATIAS,internaciones,retornados,2013-11-01,0,1,0,1,1
SAN PEDRO,internaciones,retornados,2013-11-01,0,1,0,1,1
SAN RAFAEL,internaciones,retornados,2013-11-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2013-11-01,13,13,13,13,26
SUCRE,internaciones,retornados,2013-11-01,0,96,0,96,96
TARABUCO,internaciones,retornados,2013-11-01,3,10,3,10,13
TARIJA,internaciones,retornados,2013-11-01,1,1,1,1,2
TUPIZA,internaciones,retornados,2013-11-01,31,17,31,17,48
UNCIA,internaciones,retornados,2013-11-01,4,2,4,2,6
VALLEGRANDE,internaciones,retornados,2013-11-01,0,2,0,2,2
WARNES,internaciones,retornados,2013-11-01,0,1,0,1,1
YACUIBA,internaciones,retornados,2013-11-01,3,5,3,5,8
ZUDAÑEZ,internaciones,retornados,2013-11-01,1,0,1,0,1
ANZALDO,internaciones,retornados,2013-12-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,retornados,2013-12-01,0,1,0,1,1
BERMEJO,internaciones,retornados,2013-12-01,2,1,2,1,3
BUENA VISTA,internaciones,retornados,2013-12-01,1,0,1,0,1
CHAQUI,internaciones,retornados,2013-12-01,0,4,0,4,4
COBIJA,internaciones,retornados,2013-12-01,5,159,5,159,164
COCHABAMBA,internaciones,retornados,2013-12-01,13,256,13,256,269
COLOMI,internaciones,retornados,2013-12-01,0,1,0,1,1
CONCEPCION,internaciones,retornados,2013-12-01,0,1,0,1,1
CULPINA,internaciones,retornados,2013-12-01,0,2,0,2,2
EL ALTO,internaciones,retornados,2013-12-01,72,605,72,605,677
HUAYLLAMARCA,internaciones,retornados,2013-12-01,0,1,0,1,1
LA PAZ,internaciones,retornados,2013-12-01,2,1,2,1,3
MONTERO,internaciones,retornados,2013-12-01,1,238,1,238,239
OCURI,internaciones,retornados,2013-12-01,1,0,1,0,1
ORURO,internaciones,retornados,2013-12-01,5,0,5,0,5
PUERTO GONZALO MORENO,internaciones,retornados,2013-12-01,0,1,0,1,1
RIBERALTA,internaciones,retornados,2013-12-01,7,73,7,73,80
SAN BORJA,internaciones,retornados,2013-12-01,3,2,3,2,5
SAN JOSE DE CHIQUITOS,internaciones,retornados,2013-12-01,0,1,0,1,1
SAN LUCAS,internaciones,retornados,2013-12-01,18,24,18,24,42
SAN PEDRO,internaciones,retornados,2013-12-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2013-12-01,18,48,18,48,66
SOPACHUY,internaciones,retornados,2013-12-01,1,0,1,0,1
SUCRE,internaciones,retornados,2013-12-01,0,111,0,111,111
TUPIZA,internaciones,retornados,2013-12-01,32,24,32,24,56
VILLA TUNARI,internaciones,retornados,2013-12-01,0,2,0,2,2
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,retornados,2013-12-01,2,1,2,1,3
YACUIBA,internaciones,retornados,2013-12-01,3,2,3,2,5
YAPACANI,internaciones,retornados,2013-12-01,4,2,4,2,6
ZUDAÑEZ,internaciones,retornados,2013-12-01,0,1,0,1,1
