,group,variable,month,FALLECIDOS ANTES DE LAS 48 HORAS CANTIDAD,FALLECIDOS ANTES DE LAS 48 HORAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
AIQUILE,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 horas,2013-01-01,2,1,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),internaciones,fallecidos antes de las 48 horas,2013-01-01,2,0,2,0,2
BAURES,internaciones,fallecidos antes de las 48 horas,2013-01-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos antes de las 48 horas,2013-01-01,2,1,2,1,3
CAMIRI,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,0,1,0,1
CARANAVI,internaciones,fallecidos antes de las 48 horas,2013-01-01,0,1,0,1,1
CHARAGUA,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,0,1,0,1
COBIJA,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,1,1,1,2
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2013-01-01,34,33,34,33,67
COMARAPA,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,0,1,0,1
CONCEPCION,internaciones,fallecidos antes de las 48 horas,2013-01-01,2,1,2,1,3
COROICO,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,0,1,0,1
COTAGAITA,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,0,1,0,1
CULPINA,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2013-01-01,11,11,11,11,22
EL TORNO,internaciones,fallecidos antes de las 48 horas,2013-01-01,0,2,0,2,2
ENTRE RIOS TRJ,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2013-01-01,3,2,3,2,5
LA PAZ,internaciones,fallecidos antes de las 48 horas,2013-01-01,40,31,40,31,71
LLALLAGUA,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,1,1,1,2
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,0,1,0,1
MONTERO,internaciones,fallecidos antes de las 48 horas,2013-01-01,2,3,2,3,5
ORURO,internaciones,fallecidos antes de las 48 horas,2013-01-01,8,17,8,17,25
PADILLA,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,0,1,0,1
PALOS BLANCOS,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,0,1,0,1
PORTACHUELO,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,0,1,0,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2013-01-01,8,8,8,8,16
PUERTO QUIJARRO,internaciones,fallecidos antes de las 48 horas,2013-01-01,0,1,0,1,1
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2013-01-01,2,0,2,0,2
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,1,1,1,2
PUNATA,internaciones,fallecidos antes de las 48 horas,2013-01-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2013-01-01,11,3,11,3,14
ROBORE,internaciones,fallecidos antes de las 48 horas,2013-01-01,0,1,0,1,1
RURRENABAQUE,internaciones,fallecidos antes de las 48 horas,2013-01-01,0,2,0,2,2
SAN BORJA,internaciones,fallecidos antes de las 48 horas,2013-01-01,3,3,3,3,6
SAN IGNACIO,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2013-01-01,2,2,2,2,4
SAN PEDRO,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2013-01-01,35,31,35,31,66
SANTA ROSA,internaciones,fallecidos antes de las 48 horas,2013-01-01,2,1,2,1,3
SUCRE,internaciones,fallecidos antes de las 48 horas,2013-01-01,17,13,17,13,30
TARIJA,internaciones,fallecidos antes de las 48 horas,2013-01-01,7,5,7,5,12
