,group,variable,month,INGRESOS ESPONTÁNEOS CANTIDAD,INGRESOS ESPONTÁNEOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,internaciones,ingresos espontaneos,2013-01-01,0,3,0,3,3
ACHACACHI,internaciones,ingresos espontaneos,2013-01-01,48,18,48,18,66
AIQUILE,internaciones,ingresos espontaneos,2013-01-01,40,78,40,78,118
ALCALA,internaciones,ingresos espontaneos,2013-01-01,0,8,0,8,8
ALTO BENI,internaciones,ingresos espontaneos,2013-01-01,0,16,0,16,16
ANCORAIMES,internaciones,ingresos espontaneos,2013-01-01,0,4,0,4,4
ANTEQUERA,internaciones,ingresos espontaneos,2013-01-01,0,1,0,1,1
ANZALDO,internaciones,ingresos espontaneos,2013-01-01,19,13,19,13,32
APOLO,internaciones,ingresos espontaneos,2013-01-01,3,23,3,23,26
ARANI,internaciones,ingresos espontaneos,2013-01-01,0,8,0,8,8
ARBIETO,internaciones,ingresos espontaneos,2013-01-01,0,12,0,12,12
ARQUE,internaciones,ingresos espontaneos,2013-01-01,0,4,0,4,4
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2013-01-01,62,148,62,148,210
ATOCHA,internaciones,ingresos espontaneos,2013-01-01,23,41,23,41,64
AYATA,internaciones,ingresos espontaneos,2013-01-01,1,4,1,4,5
AYO AYO,internaciones,ingresos espontaneos,2013-01-01,0,4,0,4,4
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2013-01-01,15,30,15,30,45
AZURDUY,internaciones,ingresos espontaneos,2013-01-01,4,6,4,6,10
BATALLAS,internaciones,ingresos espontaneos,2013-01-01,0,7,0,7,7
BAURES,internaciones,ingresos espontaneos,2013-01-01,8,21,8,21,29
BERMEJO,internaciones,ingresos espontaneos,2013-01-01,99,183,99,183,282
BETANZOS,internaciones,ingresos espontaneos,2013-01-01,4,41,4,41,45
BOLIVAR,internaciones,ingresos espontaneos,2013-01-01,0,7,0,7,7
BOYUIBE,internaciones,ingresos espontaneos,2013-01-01,13,17,13,17,30
BUENA VISTA,internaciones,ingresos espontaneos,2013-01-01,11,27,11,27,38
CABEZAS,internaciones,ingresos espontaneos,2013-01-01,7,13,7,13,20
CAIROMA,internaciones,ingresos espontaneos,2013-01-01,0,6,0,6,6
"CAIZA ""D""",internaciones,ingresos espontaneos,2013-01-01,0,2,0,2,2
CAJUATA,internaciones,ingresos espontaneos,2013-01-01,4,13,4,13,17
CALAMARCA,internaciones,ingresos espontaneos,2013-01-01,0,8,0,8,8
CAMARGO,internaciones,ingresos espontaneos,2013-01-01,5,7,5,7,12
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos espontaneos,2013-01-01,0,2,0,2,2
CAMIRI,internaciones,ingresos espontaneos,2013-01-01,198,366,198,366,564
CAPINOTA,internaciones,ingresos espontaneos,2013-01-01,6,41,6,41,47
CAQUIAVIRI,internaciones,ingresos espontaneos,2013-01-01,0,5,0,5,5
CARACOLLO,internaciones,ingresos espontaneos,2013-01-01,1,11,1,11,12
CARANAVI,internaciones,ingresos espontaneos,2013-01-01,43,132,43,132,175
CARAPARI,internaciones,ingresos espontaneos,2013-01-01,16,26,16,26,42
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2013-01-01,6,6,6,6,12
CHALLAPATA,internaciones,ingresos espontaneos,2013-01-01,26,124,26,124,150
CHAQUI,internaciones,ingresos espontaneos,2013-01-01,0,7,0,7,7
CHARAGUA,internaciones,ingresos espontaneos,2013-01-01,53,117,53,117,170
CHAYANTA,internaciones,ingresos espontaneos,2013-01-01,4,22,4,22,26
CHIMORE,internaciones,ingresos espontaneos,2013-01-01,14,19,14,19,33
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos espontaneos,2013-01-01,0,91,0,91,91
CHUMA,internaciones,ingresos espontaneos,2013-01-01,0,1,0,1,1
CKOCHAS,internaciones,ingresos espontaneos,2013-01-01,0,4,0,4,4
CLIZA,internaciones,ingresos espontaneos,2013-01-01,4,27,4,27,31
COBIJA,internaciones,ingresos espontaneos,2013-01-01,143,258,143,258,401
