municipality,group,variable,month,Total N° de perros y gatos con vacuna antirrábica,TOTAL
ACHACACHI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,55,55
ACHOCALLA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,9,9
AIQUILE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,118,118
ALALAY,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,23,23
ANDAMARCA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,23,23
APOLO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,200,200
ARANI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,4,4
ARBIETO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,99,99
ARQUE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,40,40
ASCENCION DE GUARAYOS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,1180,1180
ATOCHA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,1,1
AYO AYO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,65,65
BELEN DE URMIRI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,6,6
CABEZAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,932,932
"CAIZA ""D""",n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,2,2
CAJUATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,30,30
CAMARGO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,1,1
CAPINOTA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,40,40
CARACOLLO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,567,567
CARANAVI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,4,4
CATACORA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,10,10
CHALLAPATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,36,36
CHUA COCANI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,15,15
CLIZA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,86,86
COCAPATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,45,45
COCHABAMBA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,3118,3118
COLCAPIRHUA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,119,119
"COLCHA ""K""",n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,33,33
COLOMI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,41,41
CONCEPCION,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,286,286
COPACABANA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,48,48
COROICO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,101,101
CUATRO CAÑADAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,99,99
CUCHUMUELA (V. G. VILLARROEL),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,140,140
CUEVO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,373,373
CURAHUARA DE CARANGAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,15,15
CURVA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,34,34
EL ALTO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,646,646
EL PUENTE(STC),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,483,483
EL TORNO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,511,511
EUCALIPTUS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,152,152
EUREKA (SANTOS MERCADO),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,120,120
FILADELFIA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,51,51
GENERAL SAAVEDRA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,9,9
GUTIERREZ,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,180,180
HUACARETA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,180,180
HUANUNI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,50,50
HUAYLLAMARCA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,37,37
INGAVI (HUMAITA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,50,50
IRUPANA (VILLA DE LANZA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,20,20
LA PAZ,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,595,595
LAGUNILLAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,185,185
LLICA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,50,50
MACHACAMARCA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,186,186
MIZQUE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,260,260
MONTERO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,22,22
MORO MORO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,90,90
OCURI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,42,42
OKINAWA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,20,20
