,group,variable,month,CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTALES,TOTALES,TOTALES
,,,,NUEVAS,REPETIDAS,TOTAL NUEVAS,TOTAL REPETIDAS,TOTAL
municipality,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,15,72,15,72,87
ACHACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,161,352,161,352,513
ACHOCALLA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,69,56,69,56,125
AIQUILE,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,52,240,52,240,292
ALALAY,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,13,25,13,25,38
ALCALA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,47,0,47,0,47
ANCORAIMES,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,18,112,18,112,130
ANDAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,3,39,3,39,42
ANTEQUERA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,5,37,5,37,42
ANZALDO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,43,6,43,6,49
APOLO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,39,165,39,165,204
ARAMPAMPA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,8,27,8,27,35
ARANI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,54,90,54,90,144
ARBIETO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,25,111,25,111,136
ARQUE,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,14,113,14,113,127
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,70,0,70,0,70
ATOCHA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,10,103,10,103,113
AUCAPATA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,10,30,10,30,40
AYATA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,14,85,14,85,99
AYO AYO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,9,71,9,71,80
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,39,165,39,165,204
AZURDUY,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,170,0,170,0,170
BATALLAS,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,41,133,41,133,174
BAURES,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,5,55,5,55,60
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,3,6,3,6,9
