,group,variable,month,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,TOTALES,TOTALES,TOTALES
,,,,NUEVAS,REPETIDAS,TOTAL NUEVAS,TOTAL REPETIDAS,TOTAL
municipality,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,1,75,1,75,76
ACHACACHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,64,207,64,207,271
ACHOCALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,40,27,40,27,67
AIQUILE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,27,210,27,210,237
ALALAY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,1,12,1,12,13
ALCALA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,49,0,49,0,49
ANCORAIMES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,9,104,9,104,113
ANDAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,6,39,6,39,45
ANTEQUERA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,10,20,10,20,30
ANZALDO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,37,9,37,9,46
APOLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,35,119,35,119,154
ARAMPAMPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,10,37,10,37,47
ARANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,31,56,31,56,87
ARBIETO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,3,133,3,133,136
ARQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,1,103,1,103,104
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,19,0,19,0,19
ATOCHA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,84,0,84,84
AUCAPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,13,9,13,9,22
AYATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,15,58,15,58,73
AYO AYO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,12,50,12,50,62
