,group,variable,month,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,TOTALES,TOTALES,TOTALES
,,,,NUEVAS,REPETIDAS,TOTAL NUEVAS,TOTAL REPETIDAS,TOTAL
municipality,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,144,0,144,144
ACHACACHI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,43,402,43,402,445
ACHOCALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,85,66,85,66,151
AIQUILE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,33,205,33,205,238
ALALAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,2,27,2,27,29
ALCALA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,161,0,161,0,161
ANCORAIMES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,6,204,6,204,210
ANDAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,4,100,4,100,104
ANTEQUERA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,19,19,19,19,38
ANZALDO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,21,14,21,14,35
APOLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,31,219,31,219,250
ARAMPAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,4,81,4,81,85
ARANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,37,106,37,106,143
ARBIETO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,1,215,1,215,216
ARQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,1,97,1,97,98
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,13,0,13,0,13
ATOCHA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,137,0,137,137
AUCAPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,19,40,19,40,59
AYATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,18,79,18,79,97
AYO AYO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,10,36,10,36,46
