municipality,group,variable,month,N° de beneficiarios(as) (niños/as) nuevos(as) del bono Juana Azurduy,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,42,42
ACHOCALLA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,7,7
ALALAY,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,2,2
ALCALA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,8,8
ALTO BENI,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,4,4
ANCORAIMES,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,6,6
ANDAMARCA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,5,5
ANZALDO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,1,1
APOLO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,2,2
ARAMPAMPA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,1,1
ARBIETO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,13,13
ARQUE,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,1,1
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,31,31
ATOCHA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,15,15
AUCAPATA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,1,1
AYATA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,12,12
AYO AYO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,19,19
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,14,14
AZURDUY,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,1,1
BATALLAS,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,24,24
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,27,27
BETANZOS,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,44,44
BOLIVAR,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,15,15
BOYUIBE,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,5,5
BUENA VISTA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,24,24
CAJUATA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,7,7
CALACOTO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,4,4
CALAMARCA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,15,15
CAMARGO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,18,18
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,2,2
CAMIRI,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,3,3
CAPINOTA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,41,41
CARACOLLO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,21,21
CARANAVI,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,10,10
CARANGAS,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,1,1
CARAPARI,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,3,3
CARIPUYO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,1,1
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,1,1
CATACORA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,1,1
CHALLAPATA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,59,59
CHAQUI,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,4,4
CHARAGUA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,36,36
CHARAÑA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,1,1
CHAYANTA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,1,1
CHIMORE,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,50,50
CHOQUE COTA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,31,31
CHUMA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2012-01-01,5,5
