municipality,group,variable,month,Nº de actividades realizadas con participación,TOTAL
ACHACACHI,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,83,83
ACHOCALLA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,16,16
AIQUILE,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,3,3
ALALAY,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,4,4
ALCALA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,18,18
ANCORAIMES,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,4,4
ANDAMARCA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,24,24
ANZALDO,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,2,2
ARAMPAMPA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,19,19
ARANI,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,2,2
ASCENCION DE GUARAYOS,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,3,3
ATOCHA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,11,11
AUCAPATA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,3,3
AYATA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,6,6
AYO AYO,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,33,33
AZURDUY,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,42,42
BATALLAS,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,9,9
BAURES,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,5,5
BELEN DE ANDAMARCA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,7,7
BELLA FLOR,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,2,2
BERMEJO,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,143,143
BETANZOS,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,74,74
BOLIVAR,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,31,31
BOLPEBRA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,2,2
BOYUIBE,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,5,5
BUENA VISTA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,13,13
CABEZAS,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,2,2
CAIROMA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,18,18
"CAIZA ""D""",actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,19,19
CAJUATA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,17,17
CALAMARCA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,32,32
CAMARGO,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,21,21
CAMATAQUI (C. VILLA ABECIA),actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,19,19
CAMIRI,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,7,7
CAPINOTA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,14,14
CAQUIAVIRI,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,1,1
CARACOLLO,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,10,10
CARANAVI,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,49,49
CARANGAS,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,1,1
CARAPARI,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,29,29
CARMEN RIVERO TORREZ,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,5,5
CHALLAPATA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,23,23
CHAQUI,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,17,17
CHARAGUA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,46,46
CHAYANTA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,1,1
CHIMORE,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,2,2
CHUMA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,17,17
CLIZA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,3,3
COBIJA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,2,2
COCHABAMBA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,74,74
COLCAPIRHUA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,3,3
"COLCHA ""K""",actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,6,6
COLOMI,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,15,15
COLPA BELGICA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,72,72
COLQUECHACA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,20,20
COLQUENCHA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,2,2
COLQUIRI,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,30,30
COMANCHE,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,3,3
COMBAYA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,6,6
CONCEPCION,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,1,1
COPACABANA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,26,26
COROICO,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,7,7
CORQUE,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,2,2
COTAGAITA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,5,5
CUATRO CAÑADAS,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,19,19
CUCHUMUELA (V. G. VILLARROEL),actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,4,4
CUEVO,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,11,11
CULPINA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,58,58
CURAHUARA DE CARANGAS,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,2,2
CURVA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,2,2
DESAGUADERO,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,3,3
EL ALTO,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,397,397
EL CHORO,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,37,37
EL PUENTE(STC),actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,1,1
EL PUENTE(TJA),actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,35,35
EL VILLAR,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,20,20
ENTRE RIOS,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,49,49
ENTRE RIOS,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,17,17
EUCALIPTUS,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,2,2
EXALTACION,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,1,1
FERNANDEZ ALONSO,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,2,2
GENERAL SAAVEDRA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,7,7
GRAL. J.J. PEREZ (CHARAZANI),actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,18,18
GUANAY,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,2,2
GUAQUI,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,4,4
GUAYARAMERIN,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,17,17
GUTIERREZ,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,8,8
HUACARETA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,80,80
HUACAYA (VILLA DE HUACAYA),actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,20,20
HUANUNI,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,66,66
HUAYLLAMARCA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,11,11
ICHOCA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,20,20
ICLA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,30,30
INCAHUASI,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,41,41
INQUISIVI,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,58,58
IRUPANA (VILLA DE LANZA),actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,31,31
IXIAMAS,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,3,3
JESUS DE MACHACA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,8,8
LA ASUNTA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,2,2
LA GUARDIA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,44,44
LA PAZ,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,222,222
LAGUNILLAS,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,9,9
LAJA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,10,10
LAS CARRERAS,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,19,19
LICOMA PAMPA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,6,6
LORETO,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,13,13
LURIBAY,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,6,6
MACHARETI,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,36,36
MAGDALENA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,41,41
MAPIRI,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,1,1
MECAPACA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,30,30
MINEROS,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,3,3
MIZQUE,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,4,4
MOCOMOCO,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,22,22
MOJOCOYA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,36,36
MONTEAGUDO,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,46,46
MONTERO,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,19,19
MORO MORO,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,5,5
MOROCHATA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,17,17
OCURI,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,2,2
OKINAWA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,7,7
OMEREQUE,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,2,2
ORURO,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,92,92
PADCAYA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,184,184
PADILLA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,40,40
PAILON,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,2,2
PALCA,actividades con la comunidad,no de actividades realizadas con participacion,2006-01-01,6,6
