municipality,group,variable,month,Nº de comunidades que participaron en el CAI d,TOTAL
SAN JOAQUIN,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,16,16
SAN JULIAN,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,9,9
SAN LORENZO(TJA),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,77,77
SAN LUCAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,92,92
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,14,14
SAN PEDRO DE CURAHUARA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,2,2
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,2,2
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,19,19
SANTA ROSA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,2,2
SANTA ROSA DEL SARA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,6,6
SANTIAGO DE HUARI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,13,13
SANTIVAÑES,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,18,18
SAPAHAQUI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,4,4
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,6,6
SIPE SIPE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,11,11
SUCRE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,4,4
TACOPAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,2,2
TAPACARI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,13,13
TARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,99,99
TARACO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,2,2
TIRAQUE (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,13,13
TITO YUPANQUI (PARQUIPUJIO),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,3,3
TOTORA(CBBA),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,1,1
TOTORA(ORR),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,2,2
TUPIZA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,16,16
UMALA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,10,10
UNCIA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,7,7
URIONDO (A. CONCEPCION),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,4,4
VACAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,20,20
VALLEGRANDE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,7,7
VIACHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,12,12
VILA VILA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,13,13
VILLA RIVERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,1,1
VILLA SERRANO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,30,30
WARNES,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,7,7
YACUIBA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,2,2
YAMPARAEZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,1,1
YAPACANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,14,14
YOCALLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,6,6
YUNCHARA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,5,5
ZUDAÑEZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,6,6
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,70,70
ACHOCALLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,1,1
AIQUILE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,4,4
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,36,36
ANZALDO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,15,15
ARANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,1,1
ARBIETO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,1,1
ASCENCION DE GUARAYOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,73,73
AUCAPATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,3,3
AYATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,2,2
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,10,10
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,4,4
BELEN DE ANDAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,3,3
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,13,13
BOLPEBRA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,13,13
BUENA VISTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,28,28
CABEZAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,25,25
"CAIZA ""D""",actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,46,46
CALACOTO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,2,2
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,12,12
CAMATAQUI (C. VILLA ABECIA),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,5,5
CAPINOTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,17,17
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,2,2
CARAPARI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,3,3
CHALLAPATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,19,19
CHARAGUA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,13,13
CHIMORE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,9,9
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,1,1
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,7,7
COLOMI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,2,2
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,12,12
COMANCHE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,5,5
CORIPATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,1,1
CORO CORO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,16,16
COTAGAITA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,8,8
CUATRO CAÑADAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,18,18
CURVA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,3,3
DESAGUADERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,2,2
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,32,32
EL PUENTE(TJA),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,27,27
EL TORNO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,3,3
ENTRE RIOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,22,22
ENTRE RIOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,1,1
EUCALIPTUS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,1,1
EXALTACION,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,5,5
FERNANDEZ ALONSO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,2,2
GENERAL SAAVEDRA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,4,4
GRAL. J.J. PEREZ (CHARAZANI),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,10,10
GUANAY,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,2,2
GUTIERREZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,10,10
ICHOCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,3,3
ICLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,3,3
INCAHUASI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,6,6
JESUS DE MACHACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,18,18
LA GUARDIA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,3,3
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,72,72
LAGUNILLAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,3,3
LAJA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,13,13
LAS CARRERAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,5,5
LICOMA PAMPA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,2,2
MACHARETI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,2,2
MAIRANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,3,3
MALLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,6,6
MAPIRI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,18,18
MECAPACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,6,6
MINEROS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,4,4
MIZQUE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,6,6
MOCOMOCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,7,7
MONTERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,10,10
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,3,3
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,3,3
ORURO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,20,20
PAILON,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,5,5
PALCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,1,1
PALOS BLANCOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,2,2
PATACAMAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,17,17
PAZÑA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,4,4
PORCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,1,1
PORONGO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,1,1
PORTACHUELO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,4,4
POTOSI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,7,7
PUCARA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,2,2
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,32,32
PUERTO ACOSTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,2,2
PUERTO CARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,10,10
PUERTO PEREZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,5,5
PUERTO QUIJARRO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,1,1
PUERTO VILLARROEL,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,17,17
PUNA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,22,22
PUNATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,7,7
QUILLACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,4,4
QUIRUSILLAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,3,3
RAVELO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,8,8
RIBERALTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,12,12
ROBORE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,3,3
RURRENABAQUE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,3,3
SACABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,1,1
SACACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,12,12
SAIPINA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,2,2
SALINAS DE GARCI MENDOZA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,11,11
SAMAIPATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,3,3
SAN ANDRES DE MACHACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,1,1
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,9,9
SAN BENITO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,3,3
SAN BORJA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,11,11
SAN CARLOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,5,5
SAN JAVIER(STC),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,2,2
SAN LORENZO(TJA),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,4,4
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,14,14
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,3,3
SANTA ANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,4,4
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,39,39
SANTA ROSA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,2,2
SANTA ROSA DEL SARA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,5,5
SANTIAGO DE HUARI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,10,10
SAPAHAQUI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,10,10
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,17,17
SUCRE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,1,1
TACOPAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,1,1
TAPACARI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,24,24
TARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,34,34
TARACO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,6,6
TARIJA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,60,60
TARVITA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,18,18
TEOPONTE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,3,3
TIRAQUE (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,14,14
TITO YUPANQUI (PARQUIPUJIO),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,2,2
TOMINA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,17,17
TORO TORO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,5,5
TOTORA(ORR),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,1,1
TUPIZA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,6,6
UNCIA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,5,5
URIONDO (A. CONCEPCION),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,3,3
VIACHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,15,15
VILLA RIVERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,1,1
VILLA TUNARI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,6,6
WARNES,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,5,5
YUNCHARA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-04-01,16,16
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,44,44
ACHOCALLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,1,1
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,41,41
ANZALDO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,14,14
ARANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,4,4
ASCENCION DE GUARAYOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,4,4
ATOCHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,1,1
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,8,8
AZURDUY,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,13,13
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,23,23
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,3,3
CABEZAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,5,5
CALACOTO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,1,1
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,5,5
CAPINOTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,8,8
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,2,2
CHALLAPATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,18,18
CHARAGUA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,21,21
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,3,3
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,7,7
COLPA BELGICA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,3,3
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,13,13
COMANCHE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,7,7
CORO CORO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,8,8
CORQUE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,15,15
COTAGAITA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,5,5
CUATRO CAÑADAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,4,4
CURVA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,2,2
DESAGUADERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,2,2
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,16,16
EL PUENTE(STC),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,7,7
EL PUENTE(TJA),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,14,14
EL TORNO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,1,1
EL VILLAR,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,7,7
GENERAL SAAVEDRA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,2,2
GUAYARAMERIN,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,2,2
GUTIERREZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,10,10
ICHOCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,3,3
ICLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,3,3
IRUPANA (VILLA DE LANZA),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,18,18
JESUS DE MACHACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,16,16
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,100,100
LAJA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,15,15
LICOMA PAMPA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,3,3
MALLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,3,3
MIZQUE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,9,9
MOCOMOCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,5,5
MOJOCOYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,16,16
MONTERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,7,7
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,3,3
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,3,3
ORURO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,1,1
PALCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,4,4
PALOS BLANCOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,2,2
PAMPA AULLAGAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,1,1
PATACAMAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,8,8
POCOATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,7,7
PUCARA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,2,2
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,32,32
PUERTO CARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,36,36
PUERTO PEREZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,1,1
PUERTO QUIJARRO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,1,1
PUNA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,5,5
PUNATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,7,7
QUILLACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,2,2
QUIRUSILLAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,9,9
RAVELO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,49,49
RURRENABAQUE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,3,3
SACABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,1,1
SAMAIPATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,4,4
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,19,19
SAN BENITO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,1,1
SAN JAVIER(STC),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,1,1
SAN JUAN DE YAPACANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,1,1
SAN LUCAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,6,6
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,7,7
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,4,4
SANTA ANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,3,3
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,26,26
SANTA ROSA DEL SARA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,5,5
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,26,26
SICAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,20,20
SIPE SIPE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,6,6
SUCRE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,2,2
TARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,4,4
TARIJA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,3,3
TARVITA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,17,17
TIQUIPAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,2,2
TIRAQUE (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,10,10
TITO YUPANQUI (PARQUIPUJIO),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,1,1
TOMINA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,7,7
TOTORA(ORR),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,2,2
TUPIZA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,11,11
UMALA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,6,6
UNCIA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,7,7
UYUNI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,2,2
VALLEGRANDE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,17,17
VIACHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,10,10
VILA VILA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,16,16
VILLA RIVERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,1,1
VILLA SERRANO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,12,12
VILLAZON,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,28,28
WARNES,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,5,5
YAMPARAEZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,25,25
YOCALLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,6,6
YUNCHARA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,44,44
ZUDAÑEZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-05-01,20,20
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-06-01,71,71
ACHOCALLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-06-01,1,1
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-06-01,31,31
ANDAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-06-01,3,3
ANZALDO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-06-01,16,16
ARAMPAMPA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-06-01,9,9
ARANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-06-01,1,1
ASCENCION DE GUARAYOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-06-01,6,6
ATOCHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-06-01,8,8
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-06-01,9,9
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-06-01,17,17
BAURES,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-06-01,5,5
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-06-01,19,19
BUENA VISTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-06-01,11,11
"CAIZA ""D""",actividades con la comunidad,no de comunidades que participaron en el cai d,2006-06-01,5,5
