municipality,group,variable,month,Nº de comunidades que participaron en el CAI d,TOTAL
SALINAS DE GARCI MENDOZA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,18,18
SAMAIPATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,4,4
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,6,6
SAN BENITO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,2,2
SAN JULIAN,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,7,7
SAN LUCAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,4,4
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,14,14
SAN RAMON,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,5,5
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,37,37
SANTA ROSA DEL SARA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,13,13
SANTIAGO DE CALLAPA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,11,11
SANTIAGO DE HUARI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,1,1
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,15,15
SIPE SIPE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,1,1
TACOPAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,10,10
TAPACARI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,15,15
TARIJA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,5,5
TIAWANACU,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,1,1
TIRAQUE (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,73,73
TITO YUPANQUI (PARQUIPUJIO),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,2,2
TORO TORO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,8,8
TUPIZA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,22,22
UMALA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,12,12
UNCIA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,15,15
URUBICHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,3,3
UYUNI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,2,2
VACAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,1,1
VIACHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,4,4
VILLA MONTES,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,2,2
VILLA RIVERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,1,1
WARNES,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,5,5
YACO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,15,15
YACUIBA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,12,12
YAMPARAEZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-01-01,3,3
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,84,84
ACHOCALLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,1,1
ALALAY,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,8,8
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,31,31
ARANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,7,7
ASCENCION DE GUARAYOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,5,5
ATOCHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,3,3
AUCAPATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,3,3
AYATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,3,3
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,7,7
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,16,16
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,8,8
BUENA VISTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,5,5
"CAIZA ""D""",actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,1,1
CALACOTO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,2,2
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,12,12
CAPINOTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,15,15
CAQUIAVIRI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,1,1
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,21,21
CHALLAPATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,16,16
CHARAGUA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,28,28
CHAYANTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,5,5
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,8,8
COLCAPIRHUA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,2,2
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,7,7
COLOMI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,1,1
COLPA BELGICA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,1,1
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,10,10
COMANCHE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,4,4
CORIPATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,2,2
CORO CORO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,12,12
COTOCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,8,8
CULPINA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,3,3
CURVA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,1,1
DESAGUADERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,2,2
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,66,66
EL CHORO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,5,5
EL VILLAR,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,18,18
ENTRE RIOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,3,3
EUCALIPTUS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,1,1
EXALTACION,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,14,14
FERNANDEZ ALONSO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,3,3
GENERAL SAAVEDRA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,2,2
GUANAY,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,5,5
GUAYARAMERIN,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,2,2
GUTIERREZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,10,10
HUACAYA (VILLA DE HUACAYA),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,1,1
HUANUNI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,6,6
ICHOCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,3,3
INQUISIVI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,1,1
JESUS DE MACHACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,19,19
LA ASUNTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,9,9
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,56,56
LAJA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,9,9
LICOMA PAMPA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,2,2
MAIRANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,3,3
MALLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,7,7
MAPIRI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,6,6
MECAPACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,10,10
MINEROS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,7,7
MOJOCOYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,20,20
MONTEAGUDO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,12,12
MONTERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,3,3
MORO MORO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,3,3
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,8,8
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,3,3
PALCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,1,1
PALOS BLANCOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,7,7
PATACAMAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,18,18
POCONA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,7,7
