,group,variable,month,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
COLQUENCHA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,5,1,41,29,46,30,76
COLQUIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,20,23,83,84,103,107,210
COMANCHE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,0,2,11,7,11,9,20
COMARAPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,0,0,109,109,109,109,218
COMBAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,2,0,13,20,15,20,35
CONCEPCION,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,56,53,25,20,81,73,154
COPACABANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,4,2,62,45,66,47,113
CORIPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,13,11,64,82,77,93,170
CORO CORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,4,4,37,56,41,60,101
COROICO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,8,10,51,66,59,76,135
CORQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,3,3,40,35,43,38,81
COTAGAITA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,10,7,180,213,190,220,410
COTOCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,41,44,154,157,195,201,396
CUATRO CAÑADAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,124,120,73,79,197,199,396
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,6,0,4,7,10,7,17
CUEVO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,2,2,53,47,55,49,104
CULPINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,17,7,188,204,205,211,416
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,7,5,17,21,24,26,50
CURVA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,3,3,18,18,21,21,42
DESAGUADERO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,4,5,12,15,16,20,36
EL ALTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,685,622,1722,1603,2407,2225,4632
EL CHORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,7,3,36,34,43,37,80
EL PUENTE(STC),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,6,4,87,93,93,97,190
EL PUENTE(TJA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,7,2,78,102,85,104,189
EL TORNO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,46,43,106,100,152,143,295
EL VILLAR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,2,1,80,72,82,73,155
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,8,14,120,144,128,158,286
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,119,132,63,69,182,201,383
ESCARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,2,0,1,1,3,1,4
ESCOMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,3,1,17,22,20,23,43
ESMERALDA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,0,0,1,1,1,1,2
EUCALIPTUS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,3,4,40,36,43,40,83
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,4,1,19,17,23,18,41
EXALTACION,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,0,0,14,12,14,12,26
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,5,1,116,117,121,118,239
FILADELFIA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,1,2,39,21,40,23,63
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,30,30,96,102,126,132,258
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,3,3,53,33,56,36,92
GUANAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,3,3,72,80,75,83,158
GUAQUI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,5,0,21,13,26,13,39
GUAYARAMERIN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,1,1,157,151,158,152,310
GUTIERREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,5,7,224,215,229,222,451
HUACARETA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,17,18,93,87,110,105,215
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,16,9,28,28,44,37,81
HUACHACALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,1,2,4,10,5,12,17
HUANUNI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,11,12,75,67,86,79,165
HUARACAJE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,0,1,19,22,19,23,42
HUARINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,4,11,11,6,15,17,32
HUAYLLAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,4,3,25,29,29,32,61
HUMANATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,2,3,18,9,20,12,32
ICHOCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,5,1,28,23,33,24,57
ICLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,15,12,218,248,233,260,493
INCAHUASI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,27,29,97,116,124,145,269
INGAVI (HUMAITA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,0,0,31,26,31,26,57
INQUISIVI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,1,0,61,51,62,51,113
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,6,3,60,65,66,68,134
IXIAMAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,0,3,59,78,59,81,140
JESUS DE MACHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,8,7,74,90,82,97,179
LA ASUNTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,38,47,149,155,187,202,389
LA GUARDIA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,34,29,380,392,414,421,835
LA PAZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,851,799,1752,1717,2603,2516,5119
LAGUNILLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,6,6,142,109,148,115,263
LAJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,3,4,40,56,43,60,103
LAS CARRERAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,9,6,46,43,55,49,104
LICOMA PAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,2,2,13,17,15,19,34
LLALLAGUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,25,13,102,100,127,113,240
LLICA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,0,1,21,25,21,26,47
LORETO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,10,5,18,33,28,38,66
LURIBAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,20,9,46,47,66,56,122
MACHACAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,1,2,34,33,35,35,70
MACHARETI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,16,9,160,115,176,124,300
MAGDALENA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,24,18,80,66,104,84,188
MAIRANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,6,13,35,29,41,42,83
MALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,1,4,9,13,10,17,27
MAPIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,0,0,39,43,39,43,82
MECAPACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,31,30,19,20,50,50,100
MINEROS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,7,17,130,136,137,153,290
MIZQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,39,48,64,101,103,149,252
MOCOMOCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,11,2,35,43,46,45,91
MOJINETE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,0,0,6,7,6,7,13
MOJOCOYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,12,15,58,85,70,100,170
MONTEAGUDO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,26,38,258,269,284,307,591
MONTERO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,178,150,673,628,851,778,1629
MORO MORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,2,2,5,8,7,10,17
MOROCHATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,7,8,44,38,51,46,97
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,4,1,13,6,17,7,24
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,0,1,0,2,0,3,3
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,0,0,30,31,30,31,61
OCURI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,9,8,132,123,141,131,272
OKINAWA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,27,30,60,56,87,86,173
OMEREQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,15,17,59,62,74,79,153
ORURO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,201,223,593,570,794,793,1587
PADCAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,20,16,113,103,133,119,252
PADILLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,8,5,176,194,184,199,383
PAILON,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,18,23,163,174,181,197,378
PALCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,31,25,29,43,60,68,128
PALOS BLANCOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,8,13,108,147,116,160,276
PAMPA AULLAGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,5,0,13,8,18,8,26
PAMPA GRANDE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,6,7,19,18,25,25,50
PAPEL PAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,1,4,16,17,17,21,38
PASORAPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,19,14,33,17,52,31,83
PATACAMAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,2,4,43,45,45,49,94
PAZÑA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,5,4,72,71,77,75,152
PELECHUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,9,8,30,36,39,44,83
POCOATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,20,13,107,109,127,122,249
POCONA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,35,31,41,51,76,82,158
POJO (CBBA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,15,8,60,68,75,76,151
POOPO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,3,5,36,38,39,43,82
PORCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,4,2,29,42,33,44,77
POROMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,15,15,127,124,142,139,281
PORONGO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,19,14,43,46,62,60,122
PORTACHUELO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,15,10,101,108,116,118,234
PORVENIR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,5,5,52,33,57,38,95
POSTRER VALLE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,1,2,14,17,15,19,34
POTOSI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,107,103,335,344,442,447,889
PRESTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,28,44,84,82,112,126,238
PUCARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,4,0,11,16,15,16,31
PUCARANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,19,19,89,92,108,111,219
PUERTO ACOSTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,1,6,16,17,17,23,40
PUERTO CARABUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,14,2,55,38,69,40,109
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,7,3,86,77,93,80,173
PUERTO PEREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,3,2,24,25,27,27,54
PUERTO QUIJARRO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,3,5,49,33,52,38,90
PUERTO RICO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,11,7,68,65,79,72,151
PUERTO SILES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,4,10,24,18,28,28,56
PUERTO SUAREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,13,17,11,15,24,32,56
PUERTO VILLARROEL,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,103,70,320,305,423,375,798
PUNA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,17,12,146,178,163,190,353
PUNATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,61,52,22,26,83,78,161
QUIABAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,4,4,0,1,4,5,9
QUILLACOLLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,83,64,153,153,236,217,453
QUIME,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,2,1,61,43,63,44,107
QUIRUSILLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,0,1,16,23,16,24,40
RAVELO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,3,6,203,210,206,216,422
REYES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,0,0,80,71,80,71,151
RIBERALTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,95,67,416,409,511,476,987
ROBORE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,2,6,57,57,59,63,122
RURRENABAQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,0,0,47,59,47,59,106
SABAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,5,0,14,13,19,13,32
SACABA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,67,76,385,358,452,434,886
SACABAMBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,7,3,38,32,45,35,80
SACACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,9,27,189,208,198,235,433
SAIPINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,0,0,28,50,28,50,78
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,15,2,68,61,83,63,146
SAMAIPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,4,9,32,33,36,42,78
SAN AGUSTIN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,1,1,7,12,8,13,21
SAN ANDRES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,25,21,132,164,157,185,342
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,0,1,12,11,12,12,24
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,2,6,8,17,10,23,33
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,16,11,115,123,131,134,265
SAN BENITO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,34,31,67,62,101,93,194
SAN BORJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,1,1,392,424,393,425,818
SAN BUENA VENTURA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,2,5,64,67,66,72,138
SAN CARLOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,8,9,54,46,62,55,117
SAN IGNACIO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,38,49,289,247,327,296,623
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,87,109,444,441,531,550,1081
SAN JAVIER(BNI),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,18,25,4,7,22,32,54
SAN JAVIER(STC),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,9,6,84,101,93,107,200
SAN JOAQUIN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,2,1,21,25,23,26,49
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,30,32,33,47,63,79,142
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,7,10,49,48,56,58,114
SAN JULIAN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,219,200,163,131,382,331,713
SAN LORENZO(PND),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,5,2,19,15,24,17,41
SAN LORENZO(TJA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,5,5,82,92,87,97,184
SAN LUCAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,87,94,667,503,754,597,1351
SAN MATIAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,11,9,48,54,59,63,122
SAN MIGUEL DE VELASCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,8,11,102,108,110,119,229
SAN PABLO DE LIPEZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,0,0,19,10,19,10,29
SAN PEDRO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,11,10,152,117,163,127,290
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,10,15,137,136,147,151,298
SAN PEDRO DE CURAHUARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,5,11,42,40,47,51,98
SAN PEDRO DE QUEMES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,0,0,1,2,1,2,3
SAN PEDRO DE TIQUINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,4,2,6,8,10,10,20
SAN PEDRO(PND),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,11,10,13,21,24,31,55
SAN RAFAEL,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,9,3,54,45,63,48,111
SAN RAMON BENI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,18,13,27,32,45,45,90
SAN RAMON SCZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,10,7,39,33,49,40,89
SANTA ANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,40,40,50,54,90,94,184
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,966,838,1305,1233,2271,2071,4342
SANTA ROSA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,2,3,52,47,54,50,104
SANTA ROSA DEL SARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,8,9,63,50,71,59,130
SANTIAGO DE CALLAPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,3,2,9,7,12,9,21
SANTIAGO DE HUARI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,7,4,65,66,72,70,142
SANTIAGO DE HUATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,4,4,11,16,15,20,35
SANTIAGO DE MACHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,4,0,14,24,18,24,42
SANTIVAÑES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,3,3,29,37,32,40,72
SANTUARIO DE QUILLACAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,0,0,21,21,21,21,42
SAPAHAQUI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,3,4,17,31,20,35,55
SENA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,1,4,9,12,10,16,26
SHINAOTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,29,35,135,97,164,132,296
SICA SICA (VILLA AROMA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,15,9,97,109,112,118,230
SICAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,0,0,21,12,21,12,33
SIPE SIPE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,56,44,82,70,138,114,252
SOPACHUY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,24,16,94,119,118,135,253
SORACACHI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,6,4,111,123,117,127,244
SORATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,53,44,107,130,160,174,334
SUCRE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,340,303,1122,1085,1462,1388,2850
TACACHI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,8,5,2,0,10,5,15
TACACOMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,14,9,14,25,28,34,62
TACOBAMBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,0,0,33,44,33,44,77
TACOPAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,5,5,118,123,123,128,251
TAHUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,0,0,4,4,4,4,8
TAPACARI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,18,8,142,106,160,114,274
TARABUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,46,40,238,283,284,323,607
TARACO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,5,1,15,18,20,19,39
TARATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,7,3,31,26,38,29,67
TARIJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,238,261,422,383,660,644,1304
TARVITA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,26,35,236,224,262,259,521
TEOPONTE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,4,0,80,76,84,76,160
TIAWANACU,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,18,25,35,42,53,67,120
TINGUIPAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,17,5,56,47,73,52,125
TIPUANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-02-01,10,8,42,40,52,48,100
