,group,variable,month,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
CARACOLLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,16,30,94,114,110,144,254
CARANAVI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,53,67,182,173,235,240,475
CARANGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,0,1,1,1,1,2
CARAPARI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,10,9,79,77,89,86,175
CARIPUYO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,3,5,153,116,156,121,277
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,8,8,28,27,36,35,71
CATACORA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,0,3,3,3,3,6
CHACARILLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,3,1,2,3,5,4,9
CHALLAPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,11,9,174,154,185,163,348
CHAQUI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,2,47,41,47,43,90
CHARAGUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,31,17,206,220,237,237,474
CHARAÑA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,1,15,11,15,12,27
CHAYANTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,5,12,61,74,66,86,152
CHIMORE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,45,59,147,141,192,200,392
CHIPAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,0,6,6,6,6,12
CHOQUE COTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,0,8,5,8,5,13
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,6,70,71,70,77,147
CHUMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,3,4,51,42,54,46,100
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,5,2,32,24,37,26,63
CKOCHAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,3,12,159,132,162,144,306
CLIZA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,42,43,99,93,141,136,277
COBIJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,22,16,195,216,217,232,449
COCAPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,20,16,82,91,102,107,209
COCHABAMBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,568,550,1334,1270,1902,1820,3722
COIPASA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,0,5,7,5,7,12
COLCAPIRHUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,63,42,151,129,214,171,385
"COLCHA ""K""",control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,12,17,125,118,137,135,272
COLLANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,2,13,23,13,25,38
COLOMI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,15,9,74,62,89,71,160
COLPA BELGICA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,7,5,8,8,15,13,28
COLQUECHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,22,15,145,159,167,174,341
COLQUENCHA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,2,3,32,30,34,33,67
COLQUIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,42,28,85,104,127,132,259
COMANCHE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,2,15,16,15,18,33
COMARAPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,0,92,115,92,115,207
COMBAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,0,16,11,16,11,27
CONCEPCION,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,28,29,37,41,65,70,135
COPACABANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,14,10,69,65,83,75,158
CORIPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,10,8,48,57,58,65,123
CORO CORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,1,1,45,39,46,40,86
COROICO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,5,6,39,40,44,46,90
CORQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,4,4,32,29,36,33,69
COTAGAITA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,12,12,159,174,171,186,357
COTOCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,36,23,184,176,220,199,419
CUATRO CAÑADAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,107,91,78,79,185,170,355
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,0,2,4,2,4,6
CUEVO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,2,1,67,74,69,75,144
CULPINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,10,5,150,168,160,173,333
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,3,2,34,27,37,29,66
CURVA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,2,2,10,10,12,12,24
DESAGUADERO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,2,4,11,11,13,15,28
EL ALTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,833,699,1658,1559,2491,2258,4749
EL CHORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,5,2,44,31,49,33,82
EL PUENTE(STC),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,2,4,96,99,98,103,201
EL PUENTE(TJA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,10,16,74,87,84,103,187
EL TORNO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,37,50,138,125,175,175,350
EL VILLAR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,2,1,65,57,67,58,125
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,14,6,99,100,113,106,219
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,134,116,86,89,220,205,425
ESCARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,0,3,1,3,1,4
ESCOMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,6,8,28,28,34,36,70
ESMERALDA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,0,2,0,2,0,2
EUCALIPTUS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,9,4,30,39,39,43,82
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,2,1,6,9,8,10,18
EXALTACION,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,0,16,17,16,17,33
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,5,2,101,89,106,91,197
FILADELFIA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,2,5,32,30,34,35,69
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,40,45,73,73,113,118,231
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,10,14,45,44,55,58,113
GUANAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,8,10,110,109,118,119,237
GUAQUI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,3,1,20,16,23,17,40
GUAYARAMERIN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,8,12,154,157,162,169,331
GUTIERREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,7,4,274,261,281,265,546
HUACARETA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,16,14,77,66,93,80,173
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,5,42,39,42,44,86
HUACHACALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,1,0,11,14,12,14,26
HUANUNI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,10,14,75,105,85,119,204
HUARACAJE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,0,17,14,17,14,31
HUARINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,10,3,13,14,23,17,40
HUAYLLAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,1,2,33,54,34,56,90
HUMANATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,4,10,18,15,22,25,47
ICHOCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,2,1,35,29,37,30,67
ICLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,235,266,0,0,235,266,501
INCAHUASI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,113,139,0,0,113,139,252
INGAVI (HUMAITA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,12,20,12,6,24,26,50
INQUISIVI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,2,6,65,69,67,75,142
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,7,7,102,93,109,100,209
IXIAMAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,4,4,37,43,41,47,88
JESUS DE MACHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,5,4,77,81,82,85,167
LA ASUNTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,45,39,144,130,189,169,358
LA GUARDIA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,58,56,386,406,444,462,906
LA PAZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,890,854,1909,1814,2799,2668,5467
LA RIVERA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,10,2,0,0,10,2,12
LAGUNILLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,3,4,142,102,145,106,251
LAJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,13,8,44,42,57,50,107
LAS CARRERAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,37,32,22,21,59,53,112
LICOMA PAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,3,0,18,17,21,17,38
LLALLAGUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,9,13,111,99,120,112,232
LLICA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,1,17,16,17,17,34
