municipality,group,variable,month,Niñas(os) de 1 año con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,1,1
ACHACACHI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,24,24
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,29,29
AIQUILE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,7,7
ALALAY,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,3,3
ALCALA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,5,5
ALTO BENI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,7,7
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,9,9
ANDAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,6,6
ANTEQUERA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,2,2
ANZALDO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,7,7
APOLO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,24,24
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,9,9
ARANI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,10,10
ARBIETO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,23,23
ARQUE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,5,5
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,27,27
ATOCHA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,7,7
AUCAPATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,6,6
AYATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,11,11
AYO AYO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,42,42
AZURDUY,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,22,22
BATALLAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,22,22
BAURES,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,1,1
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,1,1
BELEN DE URMIRI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2022-01-01,2,2
