municipality,group,variable,month,Niñas(os) menores de 1 año que reciben alimento complementario,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,18,18
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,128,128
AIQUILE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,83,83
ALALAY,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,4,4
ALCALA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,12,12
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,34,34
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,17,17
ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,22,22
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,7,7
ANZALDO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,29,29
APOLO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,81,81
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,10,10
ARANI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,30,30
ARBIETO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,135,135
ARQUE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,9,9
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,163,163
ATOCHA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,42,42
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,6,6
AYATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,27,27
AYO AYO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,44,44
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,146,146
AZURDUY,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,4,4
BATALLAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,40,40
BAURES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,2,2
BELEN DE ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2022-01-01,10,10
