municipality,group,variable,month,Niñas(os) menores de 1 año con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2022-01-01,2,2
ACHACACHI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2022-01-01,32,32
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2022-01-01,26,26
AIQUILE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2022-01-01,20,20
ALALAY,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2022-01-01,1,1
ALCALA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2022-01-01,1,1
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2022-01-01,9,9
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2022-01-01,7,7
ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2022-01-01,6,6
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2022-01-01,1,1
ANZALDO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2022-01-01,5,5
APOLO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2022-01-01,20,20
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2022-01-01,3,3
ARANI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2022-01-01,12,12
ARBIETO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2022-01-01,27,27
ARQUE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2022-01-01,9,9
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2022-01-01,21,21
ATOCHA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2022-01-01,6,6
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2022-01-01,5,5
AYATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2022-01-01,4,4
AYO AYO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2022-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2022-01-01,29,29
