municipality,group,variable,month,Niñas(os) de 1 año con dosis completas de zinc (Talla Baja),TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,5,5
AIQUILE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,6,6
ALALAY,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
ANDAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
ANZALDO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
APOLO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,9,9
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,2,2
ARANI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,5,5
ARBIETO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
ARQUE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,5,5
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,2,2
ATOCHA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,2,2
AYATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
AYO AYO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
AZURDUY,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,5,5
BATALLAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,2,2
BAURES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
BERMEJO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,4,4
BETANZOS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,15,15
BOLIVAR,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,5,5
BOYUIBE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,2,2
CAJUATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
CAMARGO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,2,2
CAMIRI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,2,2
CAPINOTA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,4,4
CARANAVI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,7,7
CHACARILLA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
CHALLAPATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,6,6
CHARAGUA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,3,3
CHAYANTA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,7,7
CHIMORE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,3,3
CHUA COCANI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
CHUMA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
CLIZA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,3,3
COBIJA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,3,3
COCAPATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,7,7
COCHABAMBA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,37,37
COLCAPIRHUA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,6,6
COLOMI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,8,8
COLQUECHACA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,10,10
COLQUENCHA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,3,3
COLQUIRI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,4,4
COMARAPA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
COPACABANA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
CORO CORO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,2,2
COROICO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
COTAGAITA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,2,2
CUEVO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,3,3
CULPINA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
CURVA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
EL ALTO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,45,45
EL PUENTE(STC),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
EL PUENTE(TJA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,3,3
ENTRE RIOS CBBA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,2,2
EUCALIPTUS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
EXALTACION,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,3,3
GENERAL SAAVEDRA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
GUAYARAMERIN,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,4,4
GUTIERREZ,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
HUANUNI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,4,4
INCAHUASI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
INQUISIVI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,2,2
IRUPANA (VILLA DE LANZA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
IXIAMAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,5,5
JESUS DE MACHACA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,3,3
LA ASUNTA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,2,2
LA PAZ,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,96,96
LAJA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,2,2
LLALLAGUA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,4,4
MAIRANA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
MAPIRI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
MECAPACA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
MINEROS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,2,2
MIZQUE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,5,5
MOCOMOCO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,3,3
MOJOCOYA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,2,2
MONTEAGUDO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,1,1
MONTERO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,2,2
MOROCHATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2022-01-01,2,2
