municipality,group,variable,month,Niñas(os) menores de 6 meses con dosis completa de hierro,TOTAL
ACHACACHI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,1,1
BERMEJO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,1,1
CAPINOTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,3,3
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,1,1
COMARAPA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,2,2
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,2,2
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,17,17
ENTRE RIOS CBBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,1,1
GUTIERREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,2,2
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,27,27
LAGUNILLAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,3,3
MONTERO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,3,3
ORURO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,4,4
POTOSI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,6,6
PUERTO QUIJARRO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,1,1
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,5,5
REYES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,1,1
RIBERALTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,10,10
RURRENABAQUE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,1,1
SAIPINA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,2,2
SAN BORJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,3,3
