municipality,group,variable,month,Niñas(os) menores de 1 año con dosis única de vitamina A,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,2,2
ACHACACHI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,31,31
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,25,25
AIQUILE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,20,20
ALALAY,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,1,1
ALCALA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,1,1
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,9,9
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,7,7
ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,6,6
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,1,1
ANZALDO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,5,5
APOLO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,20,20
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,5,5
ARANI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,12,12
ARBIETO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,27,27
ARQUE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,9,9
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,27,27
ATOCHA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,12,12
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,5,5
AYATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,4,4
AYO AYO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,30,30
AZURDUY,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,11,11
BATALLAS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,24,24
BAURES,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,5,5
BELEN DE ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,3,3
BELEN DE URMIRI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,3,3
BELLA FLOR,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,4,4
BERMEJO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,21,21
BETANZOS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,37,37
BOLIVAR,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,3,3
BOLPEBRA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,1,1
BOYUIBE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,5,5
BUENA VISTA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,17,17
CABEZAS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,50,50
CAIROMA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,8,8
"CAIZA ""D""",micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,13,13
CAJUATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,13,13
CALACOTO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,2,2
CALAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,11,11
CAMARGO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,11,11
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,3,3
CAMIRI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,36,36
CAPINOTA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,23,23
CAQUIAVIRI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,8,8
CARACOLLO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,13,13
CARANAVI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,51,51
CARAPARI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,19,19
CARIPUYO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,8,8
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,7,7
CHALLAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,49,49
CHAQUI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,9,9
CHARAGUA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,37,37
CHARAÑA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,2,2
CHAYANTA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,10,10
CHIMORE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,29,29
CHIPAYA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,1,1
CHUA COCANI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,15,15
CHUMA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,11,11
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,5,5
CKOCHAS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,12,12
CLIZA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,22,22
COBIJA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,86,86
COCAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,18,18
COCHABAMBA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,499,499
COIPASA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,1,1
COLCAPIRHUA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,37,37
"COLCHA ""K""",micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,13,13
COLLANA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,2,2
COLOMI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,23,23
COLPA BELGICA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,16,16
COLQUECHACA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,24,24
COLQUENCHA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,15,15
COLQUIRI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,22,22
COMARAPA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,26,26
COMBAYA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,1,1
CONCEPCION,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,56,56
COPACABANA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,2,2
CORIPATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2022-01-01,13,13
