municipality,group,variable,month,Niñas(os) RN con lactancia materna inmediata,TOTAL
ACACIO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,5,5
ACHACACHI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,63,63
ACHOCALLA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,19,19
AIQUILE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,21,21
ALALAY,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,2,2
ALTO BENI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,11,11
ANCORAIMES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,12,12
ANDAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,2,2
ANTEQUERA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,1,1
ANZALDO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,6,6
APOLO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,26,26
ARAMPAMPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,5,5
ARANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,2,2
ARBIETO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,7,7
ARQUE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,9,9
ATOCHA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,3,3
AUCAPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,5,5
AYATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,8,8
AYO AYO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,21,21
AZURDUY,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,9,9
BATALLAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,12,12
BAURES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,3,3
BELEN DE ANDAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,1,1
BELLA FLOR,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,1,1
BERMEJO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,32,32
BETANZOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,28,28
BOLIVAR,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,10,10
BOYUIBE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,2,2
BUENA VISTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,10,10
CABEZAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,25,25
CAIROMA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,7,7
"CAIZA ""D""",micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,11,11
CAJUATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,12,12
CALACOTO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,3,3
CALAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,12,12
CAMARGO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2022-01-01,17,17
