municipality,group,variable,month,Niñas(os) de 1 año con 1ra. dosis de vitamina A,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,1,1
ACHACACHI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,20,20
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,29,29
AIQUILE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,7,7
ALALAY,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,3,3
ALCALA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,5,5
ALTO BENI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,9,9
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,9,9
ANDAMARCA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,6,6
ANTEQUERA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,3,3
ANZALDO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,6,6
APOLO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,24,24
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,11,11
ARANI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,10,10
ARBIETO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,23,23
ARQUE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,5,5
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,53,53
ATOCHA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,7,7
AUCAPATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,6,6
AYATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,6,6
AYO AYO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,41,41
AZURDUY,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,22,22
BATALLAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,24,24
BAURES,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,3,3
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,1,1
BELEN DE URMIRI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,2,2
BELLA FLOR,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,7,7
BERMEJO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,30,30
BETANZOS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,37,37
BOLIVAR,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,3,3
BOLPEBRA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,1,1
BOYUIBE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,4,4
BUENA VISTA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,25,25
CABEZAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,32,32
CAIROMA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,14,14
"CAIZA ""D""",micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,8,8
CAJUATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,9,9
CALACOTO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,3,3
CALAMARCA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,7,7
CAMARGO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,9,9
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,1,1
CAMIRI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,25,25
CAPINOTA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,16,16
CAQUIAVIRI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,2,2
CARACOLLO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,15,15
CARANAVI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,65,65
CARAPARI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,12,12
CARIPUYO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,8,8
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,8,8
CHACARILLA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,4,4
CHALLAPATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,34,34
CHAQUI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,8,8
CHARAGUA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,47,47
CHARAÑA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,3,3
CHAYANTA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,22,22
CHIMORE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,42,42
CHIPAYA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,1,1
CHOQUE COTA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,2,2
CHUA COCANI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,21,21
CHUMA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,10,10
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,10,10
CKOCHAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,16,16
CLIZA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,21,21
COBIJA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,100,100
COCAPATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,14,14
COCHABAMBA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,516,516
COLCAPIRHUA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,47,47
"COLCHA ""K""",micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,15,15
COLLANA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,4,4
COLOMI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,18,18
COLPA BELGICA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,8,8
COLQUECHACA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,24,24
COLQUENCHA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,12,12
COLQUIRI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,17,17
COMANCHE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,2,2
COMARAPA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,34,34
CONCEPCION,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,41,41
COPACABANA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,13,13
CORIPATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,20,20
CORO CORO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,6,6
COROICO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,21,21
CORQUE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,7,7
COTAGAITA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,21,21
COTOCA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,90,90
CUATRO CAÑADAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2022-01-01,30,30
