municipality,group,variable,month,Niñas(os) de 1 año que reciben alimento complementario,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,40,40
ACHOCALLA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,209,209
AIQUILE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,136,136
ALALAY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,30,30
ALCALA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,27,27
ALTO BENI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,37,37
ANCORAIMES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,40,40
ANDAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,34,34
ANTEQUERA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,19,19
ANZALDO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,46,46
APOLO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,135,135
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,47,47
ARANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,63,63
ARBIETO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,239,239
ARQUE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,20,20
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,129,129
ATOCHA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,56,56
AUCAPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,2,2
AYATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,58,58
AYO AYO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,72,72
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,286,286
BATALLAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,90,90
BAURES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,1,1
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,18,18
BELEN DE URMIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,13,13
BELLA FLOR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,24,24
BETANZOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,381,381
BOLIVAR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,49,49
BOYUIBE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,57,57
CABEZAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,112,112
CAIROMA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,84,84
"CAIZA ""D""",micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,107,107
CAJUATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,17,17
CALACOTO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,14,14
CALAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,92,92
CAMARGO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,3,3
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,17,17
CAMIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,25,25
CAPINOTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,146,146
CAQUIAVIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,57,57
CARACOLLO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,190,190
CARANAVI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,171,171
CARANGAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,3,3
CARAPARI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,123,123
CARIPUYO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,60,60
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,48,48
CATACORA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,8,8
CHACARILLA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,13,13
CHALLAPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,287,287
CHAQUI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,127,127
CHARAGUA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,14,14
CHARAÑA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,16,16
CHAYANTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,173,173
CHIMORE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,262,262
