municipality,group,variable,month,Niñas(os) de 6 meses con lactancia materna exclusiva,TOTAL
ACACIO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,1,1
ACHACACHI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,45,45
ACHOCALLA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,9,9
AIQUILE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,9,9
ALTO BENI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,7,7
ANCORAIMES,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,1,1
ANDAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,5,5
ANTEQUERA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,1,1
ANZALDO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,3,3
APOLO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,6,6
ARAMPAMPA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,4,4
ARANI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,6,6
ARBIETO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,9,9
ARQUE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,6,6
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,2,2
ATOCHA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,9,9
AUCAPATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,4,4
AYATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,3,3
AYO AYO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,16,16
AZURDUY,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,3,3
BATALLAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,2,2
BAURES,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,9,9
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,3,3
BELEN DE URMIRI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,1,1
BELLA FLOR,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,3,3
BERMEJO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,1,1
BETANZOS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,35,35
BOLIVAR,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,3,3
BOLPEBRA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,1,1
BOYUIBE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,2,2
BUENA VISTA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,18,18
CABEZAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,15,15
CAIROMA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,5,5
"CAIZA ""D""",micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,13,13
CALACOTO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,1,1
CALAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,6,6
CAMARGO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,4,4
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,3,3
CAMIRI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2022-01-01,16,16
