municipality,group,variable,month,Mujeres embarazadas con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,1,1
ACHACACHI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,42,42
ACHOCALLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,29,29
AIQUILE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,16,16
ALALAY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,5,5
ALCALA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,1,1
ALTO BENI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,13,13
ANCORAIMES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,13,13
ANDAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,3,3
ANTEQUERA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,1,1
ANZALDO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,5,5
APOLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,24,24
ARAMPAMPA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,1,1
ARANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,9,9
ARBIETO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,24,24
ARQUE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,13,13
ASCENCION DE GUARAYOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,49,49
ATOCHA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,14,14
AUCAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,12,12
AYATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,11,11
AYO AYO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,22,22
AZURDUY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,7,7
BATALLAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,26,26
BAURES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,13,13
BELLA FLOR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,3,3
BERMEJO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,63,63
BETANZOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,29,29
BOLIVAR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,3,3
BOYUIBE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,10,10
BUENA VISTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,20,20
CABEZAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,24,24
CAIROMA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,21,21
"CAIZA ""D""",micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,11,11
CAJUATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,27,27
CALACOTO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,6,6
CALAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,24,24
CAMARGO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,21,21
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,2,2
CAMIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,29,29
CAPINOTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,20,20
CAQUIAVIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,9,9
CARACOLLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,14,14
CARANAVI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2022-01-01,70,70
