municipality,group,variable,month,Niñas(os) de 1 año con 2da. dosis de vitamina A,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,4,4
ACHACACHI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,24,24
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,23,23
AIQUILE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,9,9
ALALAY,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,1,1
ALCALA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,1,1
ALTO BENI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,6,6
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,9,9
ANDAMARCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,2,2
ANTEQUERA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,3,3
ANZALDO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,7,7
APOLO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,22,22
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,6,6
ARBIETO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,24,24
ARQUE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,10,10
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,26,26
ATOCHA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,7,7
AUCAPATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,5,5
AYATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,6,6
AYO AYO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,26,26
AZURDUY,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,12,12
BATALLAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,9,9
BAURES,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,3,3
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,4,4
BELLA FLOR,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,6,6
BERMEJO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,28,28
BETANZOS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,46,46
BOLIVAR,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,4,4
BOLPEBRA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,1,1
BOYUIBE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,16,16
BUENA VISTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,13,13
CABEZAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,16,16
CAIROMA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,20,20
"CAIZA ""D""",micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,11,11
CAJUATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,11,11
CALAMARCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,6,6
CAMARGO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,14,14
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,5,5
CAMIRI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,16,16
CAPINOTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,12,12
CAQUIAVIRI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,8,8
CARACOLLO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,22,22
CARANAVI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,30,30
CARAPARI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,14,14
CARIPUYO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,9,9
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,2,2
CHALLAPATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,38,38
CHAQUI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,11,11
CHARAGUA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,22,22
CHARAÑA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,2,2
CHAYANTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,19,19
CHIMORE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,21,21
CHIPAYA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,5,5
CHOQUE COTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,2,2
CHUA COCANI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,11,11
CHUMA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,9,9
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,8,8
CKOCHAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,17,17
CLIZA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,8,8
COBIJA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,62,62
COCAPATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,10,10
COCHABAMBA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,277,277
COLCAPIRHUA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,28,28
"COLCHA ""K""",micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,7,7
COLLANA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,2,2
COLOMI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,16,16
COLPA BELGICA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,6,6
COLQUECHACA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,14,14
COLQUENCHA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2022-01-01,15,15
