,group,variable,month,INTERRUPCIONES LEGALES DEL EMBARAZO POR MALFORMACIÓN CONGENITA INCOMPATIBLE CON LA VIDA A. < 15,INTERRUPCIONES LEGALES DEL EMBARAZO POR MALFORMACIÓN CONGENITA INCOMPATIBLE CON LA VIDA B. 15 A 49,INTERRUPCIONES LEGALES DEL EMBARAZO POR MALFORMACIÓN CONGENITA INCOMPATIBLE CON LA VIDA C. 20 - 34,INTERRUPCIONES LEGALES DEL EMBARAZO POR MALFORMACIÓN CONGENITA INCOMPATIBLE CON LA VIDA D. 35 - 49,INTERRUPCIONES LEGALES DEL EMBARAZO POR MALFORMACIÓN CONGENITA INCOMPATIBLE CON LA VIDA E. 50 Y MAS,TOTALES
,,,,Interrupciones Legales del Embarazo por Malformación Congenita incompatible con la vida,Interrupciones Legales del Embarazo por Malformación Congenita incompatible con la vida1,Interrupciones Legales del Embarazo por Malformación Congenita incompatible con la vida2,Interrupciones Legales del Embarazo por Malformación Congenita incompatible con la vida3,Interrupciones Legales del Embarazo por Malformación Congenita incompatible con la vida4,TOTAL
municipality,,,,,,,,,
LA PAZ,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-01-01,0,0,2,1,0,3
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-01-01,0,0,0,1,0,1
LA PAZ,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-02-01,0,0,3,3,0,6
LA PAZ,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-03-01,0,0,2,3,0,5
LA PAZ,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-04-01,0,0,5,4,0,9
COBIJA,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-05-01,0,0,1,0,0,1
LA PAZ,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-05-01,0,0,2,2,0,4
LA PAZ,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-06-01,0,0,2,0,0,2
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-06-01,0,0,0,1,0,1
LA PAZ,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-07-01,0,0,1,3,0,4
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-07-01,0,0,1,0,0,1
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-07-01,0,0,0,1,0,1
LA PAZ,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-08-01,0,0,2,4,0,6
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-08-01,0,0,1,0,0,1
COBIJA,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-09-01,0,0,1,0,0,1
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-09-01,0,0,0,2,0,2
LA PAZ,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-09-01,0,0,2,2,0,4
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-09-01,0,1,2,1,0,4
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-09-01,0,0,0,1,0,1
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-10-01,0,0,1,1,0,2
LA PAZ,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-10-01,0,0,5,4,0,9
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-10-01,0,1,0,0,0,1
LA PAZ,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-11-01,0,0,0,4,0,4
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-11-01,0,0,1,0,0,1
YACUIBA,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-11-01,0,0,0,1,0,1
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-12-01,0,0,1,0,0,1
POTOSI,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2022-12-01,2,3,6,0,0,11
