,group,variable,month,N° DE INTERRUPCIONES LEGALES DEL EMBARAZO POR VIOLENCIA SEXUAL A. < 15,N° DE INTERRUPCIONES LEGALES DEL EMBARAZO POR VIOLENCIA SEXUAL B. 15 A 19,N° DE INTERRUPCIONES LEGALES DEL EMBARAZO POR VIOLENCIA SEXUAL C. 20 - 34,N° DE INTERRUPCIONES LEGALES DEL EMBARAZO POR VIOLENCIA SEXUAL D. 35 - 49,N° DE INTERRUPCIONES LEGALES DEL EMBARAZO POR VIOLENCIA SEXUAL E. 50 Y MAS,TOTALES
,,,,N° de Interrupciones Legales del Embarazo por Violencia Sexual,N° de Interrupciones Legales del Embarazo por Violencia Sexual1,N° de Interrupciones Legales del Embarazo por Violencia Sexual2,N° de Interrupciones Legales del Embarazo por Violencia Sexual3,N° de Interrupciones Legales del Embarazo por Violencia Sexual4,TOTAL
EL ALTO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-04-01,1,1,1,1,0,4
PUERTO SUAREZ,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-04-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-04-01,2,1,0,0,0,3
SUCRE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-04-01,1,6,18,2,0,27
COBIJA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-05-01,1,0,0,0,0,1
COCHABAMBA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-05-01,1,0,0,0,0,1
EL ALTO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-05-01,1,1,1,0,0,3
RIBERALTA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-05-01,0,1,0,0,0,1
SUCRE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-05-01,1,0,0,0,0,1
TARIJA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-05-01,1,0,1,0,0,2
CAMARGO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-06-01,0,1,0,0,0,1
CAMIRI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-06-01,0,1,0,0,0,1
CARANAVI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-06-01,1,0,0,0,0,1
COBIJA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-06-01,1,0,0,0,0,1
COCHABAMBA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-06-01,2,1,0,0,0,3
ENTRE RIOS TRJ,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-06-01,1,1,0,0,0,2
PATACAMAYA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-06-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-06-01,3,3,0,0,0,6
SUCRE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-06-01,1,1,0,0,0,2
TARIJA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-06-01,2,0,0,0,0,2
VILLAZON,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-06-01,1,0,0,0,0,1
EL ALTO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-07-01,0,2,0,1,0,3
LA PAZ,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-07-01,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-07-01,1,0,0,0,0,1
SUCRE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-07-01,0,1,0,0,0,1
VILLA TUNARI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-07-01,2,1,0,0,0,3
CAMARGO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-08-01,1,0,0,0,0,1
CARANAVI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-08-01,1,0,0,0,0,1
COCHABAMBA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-08-01,0,1,0,0,0,1
EL ALTO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-08-01,1,0,0,0,0,1
LA GUARDIA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-08-01,12,0,0,0,0,12
LA PAZ,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-08-01,1,0,0,0,0,1
LLALLAGUA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-08-01,0,1,0,0,0,1
SAN CARLOS,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-08-01,1,4,0,0,0,5
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-08-01,2,0,0,0,0,2
SUCRE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-08-01,1,4,0,0,0,5
COCHABAMBA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-09-01,1,0,0,0,0,1
GRAL. J.J. PEREZ (CHARAZANI),interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-09-01,1,0,0,0,0,1
PUERTO QUIJARRO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-09-01,6,0,0,0,0,6
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-09-01,10,1,0,0,0,11
SUCRE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-09-01,1,1,1,0,0,3
COBIJA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-10-01,0,2,0,0,0,2
EL TORNO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-10-01,0,1,0,0,0,1
ORURO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-10-01,1,0,0,0,0,1
POTOSI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-10-01,1,0,0,0,0,1
PUERTO QUIJARRO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-10-01,2,0,0,0,0,2
QUILLACOLLO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-10-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-10-01,2,0,0,0,0,2
SUCRE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-10-01,1,1,0,0,0,2
TRINIDAD,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-10-01,1,0,0,0,0,1
CHALLAPATA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-11-01,1,0,0,0,0,1
CLIZA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-11-01,0,0,1,0,0,1
COCHABAMBA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-11-01,1,0,0,0,0,1
QUILLACOLLO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-11-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-11-01,3,1,0,0,0,4
CAMARGO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-12-01,0,1,0,0,0,1
CARANAVI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-12-01,0,1,0,0,0,1
EL ALTO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-12-01,0,0,1,0,0,1
ORURO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-12-01,1,0,0,0,0,1
PUERTO VILLARROEL,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-12-01,0,1,0,0,0,1
QUILLACOLLO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-12-01,0,1,0,0,0,1
RIBERALTA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2022-12-01,1,0,0,0,0,1
