municipality,group,variable,month,Mujeres puérperas con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,10,10
ACHACACHI,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,47,47
ACHOCALLA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,16,16
AIQUILE,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,50,50
ALALAY,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,7,7
ALCALA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,8,8
ALTO BENI,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,21,21
ANCORAIMES,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,14,14
ANDAMARCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,1,1
ANTEQUERA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,4,4
ANZALDO,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,8,8
APOLO,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,23,23
ARAMPAMPA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,8,8
ARANI,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,10,10
ARBIETO,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,13,13
ARQUE,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,23,23
ASCENCION DE GUARAYOS,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,39,39
ATOCHA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,6,6
AUCAPATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,4,4
AYATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,13,13
AYO AYO,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,31,31
AZURDUY,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,12,12
BATALLAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,19,19
BAURES,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,3,3
BELEN DE ANDAMARCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,4,4
BELEN DE URMIRI,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,5,5
BELLA FLOR,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,1,1
BERMEJO,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,69,69
BETANZOS,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,48,48
BOLIVAR,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,11,11
BOLPEBRA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,1,1
BOYUIBE,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,7,7
BUENA VISTA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,7,7
CABEZAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,35,35
CAIROMA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,17,17
"CAIZA ""D""",micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,3,3
CAJUATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,5,5
CALACOTO,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,4,4
CALAMARCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,14,14
CAMARGO,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,29,29
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,2,2
CAMIRI,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,63,63
CAPINOTA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,26,26
CAQUIAVIRI,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,16,16
CARACOLLO,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,17,17
CARANAVI,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,82,82
CARANGAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,1,1
CARAPARI,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,20,20
CARIPUYO,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,11,11
CARMEN RIVERO TORREZ,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,4,4
CHALLAPATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,55,55
CHAQUI,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,12,12
CHARAGUA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,56,56
CHARAÑA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,1,1
CHAYANTA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,27,27
CHIMORE,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,11,11
CHOQUE COTA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,19,19
CHUMA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,12,12
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,5,5
CKOCHAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,10,10
CLIZA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,21,21
COBIJA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,130,130
COCAPATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,29,29
COCHABAMBA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,359,359
COLCAPIRHUA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,30,30
"COLCHA ""K""",micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,11,11
COLLANA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,1,1
COLOMI,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,30,30
COLPA BELGICA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,4,4
COLQUECHACA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,53,53
COLQUENCHA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,7,7
COLQUIRI,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,23,23
COMANCHE,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,4,4
COMARAPA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,30,30
COMBAYA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,2,2
CONCEPCION,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,23,23
COPACABANA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,8,8
CORIPATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,9,9
CORO CORO,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,3,3
COROICO,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,24,24
CORQUE,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,6,6
COTAGAITA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,29,29
COTOCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,118,118
CRUZ DE MACHACAMARCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,1,1
CUATRO CAÑADAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,16,16
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,mujeres puerperas con dosis completa de hierro,2013-01-01,2,2
