municipality,group,variable,month,Mujeres embarazadas con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,5,5
ACHACACHI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,81,81
ACHOCALLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,25,25
AIQUILE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,38,38
ALALAY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,5,5
ALCALA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,9,9
ALTO BENI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,30,30
ANCORAIMES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,22,22
ANDAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,5,5
ANTEQUERA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,1,1
ANZALDO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,26,26
APOLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,54,54
ARAMPAMPA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,10,10
ARANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,24,24
ARBIETO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,22,22
ARQUE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,26,26
ASCENCION DE GUARAYOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,68,68
ATOCHA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,18,18
AUCAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,6,6
AYATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,9,9
AYO AYO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,17,17
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,52,52
AZURDUY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,12,12
BATALLAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,34,34
BAURES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,15,15
BELEN DE ANDAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,2,2
BELEN DE URMIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,1,1
BELLA FLOR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,1,1
BERMEJO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,46,46
BETANZOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,63,63
BOLIVAR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,8,8
BOLPEBRA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,7,7
BOYUIBE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,9,9
BUENA VISTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,15,15
CABEZAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,66,66
CAIROMA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,19,19
"CAIZA ""D""",micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,16,16
CAJUATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,2,2
CALACOTO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,2,2
CALAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,33,33
CAMARGO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,63,63
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,2,2
CAMIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,78,78
CAPINOTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,46,46
CAQUIAVIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,9,9
CARACOLLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,37,37
CARANAVI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,112,112
CARANGAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,2,2
CARAPARI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,29,29
CARIPUYO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,13,13
CARMEN RIVERO TORREZ,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,15,15
CATACORA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,1,1
CHALLAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,53,53
CHAQUI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,10,10
CHARAGUA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,89,89
CHARAÑA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,4,4
CHAYANTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,29,29
CHIMORE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,53,53
CHIPAYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,4,4
CHUA COCANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,17,17
CHUMA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,12,12
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,18,18
CKOCHAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2013-01-01,14,14
