municipality,group,variable,month,Mujeres puérperas con dosis única de vitamina A,TOTAL
ACACIO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,10,10
ACHACACHI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,16,16
ACHOCALLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,16,16
AIQUILE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,51,51
ALALAY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,4,4
ALCALA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,8,8
ALTO BENI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,20,20
ANCORAIMES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,14,14
ANDAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,1,1
ANTEQUERA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,4,4
ANZALDO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,4,4
APOLO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,24,24
ARAMPAMPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,10,10
ARANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,9,9
ARBIETO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,13,13
ARQUE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,22,22
ASCENCION DE GUARAYOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,64,64
ATOCHA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,7,7
AUCAPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,4,4
AYATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,11,11
AYO AYO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,29,29
AZURDUY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,12,12
BATALLAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,19,19
BAURES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,11,11
BELEN DE ANDAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,4,4
BELEN DE URMIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,3,3
BELLA FLOR,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,1,1
BERMEJO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2013-01-01,65,65
