municipality,group,variable,month,Niños (as) de 6 meses a menor de 1 año con dosis única de vitamina A,TOTAL
ACACIO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,13,13
ACHACACHI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,39,39
ACHOCALLA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,25,25
AIQUILE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,42,42
ALALAY,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,7,7
ALCALA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,7,7
ALTO BENI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,18,18
ANCORAIMES,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,17,17
ANDAMARCA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,5,5
ANTEQUERA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,8,8
ANZALDO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,22,22
APOLO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,38,38
ARAMPAMPA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,5,5
ARANI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,12,12
ARBIETO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,30,30
ARQUE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,25,25
ASCENCION DE GUARAYOS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,41,41
ATOCHA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,11,11
AUCAPATA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,4,4
AYATA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,12,12
AYO AYO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,49,49
AZURDUY,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,17,17
BATALLAS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,27,27
BAURES,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,6,6
BELEN DE ANDAMARCA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,3,3
BELEN DE URMIRI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,2,2
BELLA FLOR,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,7,7
BERMEJO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,45,45
BETANZOS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,69,69
BOLIVAR,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,7,7
BOLPEBRA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,4,4
BOYUIBE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,6,6
BUENA VISTA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,22,22
CABEZAS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,40,40
CAIROMA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,16,16
"CAIZA ""D""",micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,7,7
CAJUATA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,9,9
CALACOTO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,3,3
CALAMARCA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,23,23
CAMARGO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,22,22
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,3,3
CAMIRI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,66,66
CAPINOTA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,33,33
CAQUIAVIRI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,8,8
CARACOLLO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,35,35
CARANAVI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,74,74
CARAPARI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,25,25
CARIPUYO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,21,21
CARMEN RIVERO TORREZ,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,10,10
CATACORA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,1,1
CHACARILLA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,1,1
CHALLAPATA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,63,63
CHAQUI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,9,9
CHARAGUA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,36,36
CHARAÑA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,2,2
CHAYANTA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,16,16
CHIMORE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,54,54
CHIPAYA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,5,5
CHUA COCANI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,6,6
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,36,36
CHUMA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,13,13
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,13,13
CKOCHAS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,17,17
CLIZA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,40,40
COBIJA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,138,138
COCAPATA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,29,29
COCHABAMBA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,754,754
COIPASA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,3,3
COLCAPIRHUA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,72,72
"COLCHA ""K""",micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,21,21
COLLANA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,4,4
COLOMI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,49,49
COLPA BELGICA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,18,18
COLQUECHACA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,73,73
COLQUENCHA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,15,15
COLQUIRI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,49,49
COMANCHE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,2,2
COMARAPA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,34,34
COMBAYA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,1,1
CONCEPCION,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,41,41
COPACABANA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,15,15
CORIPATA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,21,21
CORO CORO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,14,14
COROICO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,27,27
CORQUE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,9,9
COTAGAITA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,48,48
COTOCA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,117,117
CUATRO CAÑADAS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,29,29
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,5,5
CUEVO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,5,5
CULPINA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,19,19
CURAHUARA DE CARANGAS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,6,6
CURVA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,2,2
DESAGUADERO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,11,11
EL ALTO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,1304,1304
EL CHORO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,14,14
EL PUENTE(STC),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,19,19
EL PUENTE(TJA),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2013-01-01,16,16
