municipality,group,variable,month,Niños (as) de 1 año a menores de 5 años con 2da dosis vitamina A,TOTAL
ACACIO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,22,22
ACHACACHI,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,53,53
ACHOCALLA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,43,43
AIQUILE,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,78,78
ALALAY,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,6,6
ALCALA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,12,12
ALTO BENI,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,41,41
ANCORAIMES,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,41,41
ANDAMARCA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,10,10
ANTEQUERA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,11,11
ANZALDO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,24,24
APOLO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,50,50
ARAMPAMPA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,40,40
ARANI,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,43,43
ARBIETO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,94,94
ARQUE,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,67,67
ASCENCION DE GUARAYOS,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,73,73
ATOCHA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,17,17
AUCAPATA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,11,11
AYATA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,14,14
AYO AYO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,26,26
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,86,86
AZURDUY,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,50,50
BATALLAS,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,40,40
BAURES,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,6,6
BELEN DE ANDAMARCA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,3,3
BELEN DE URMIRI,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,1,1
BELLA FLOR,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,12,12
BERMEJO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,110,110
BETANZOS,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,96,96
BOLIVAR,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,32,32
BOLPEBRA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2013-01-01,5,5
