municipality,group,variable,month,Días camas ocupadas otros servicios,TOTAL
ACHACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,68,68
AIQUILE,internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,62,62
ANZALDO,internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,52,52
APOLO,internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,16,16
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,281,281
ATOCHA,internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,331,331
AYATA,internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,21,21
AZURDUY,internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,65,65
BAURES,internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,131,131
BELLA FLOR,internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,7,7
BERMEJO,internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,807,807
BETANZOS,internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,2,2
BOLIVAR,internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,1,1
BOYUIBE,internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,29,29
BUENA VISTA,internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,22,22
CAMARGO,internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,199,199
CAMIRI,internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,455,455
CAPINOTA,internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,36,36
CARANAVI,internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,140,140
CARAPARI,internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,0,0
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,31,31
CHALLAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,313,313
CHAQUI,internaciones dias camas,dias camas ocupadas otros servicios,2021-01-01,2,2
