municipality,group,variable,month,Días camas disponibles otros servicios,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,62,62
ACHACACHI,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,589,589
ACHOCALLA,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,240,240
AIQUILE,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,930,930
ALALAY,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,31,31
ALCALA,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,93,93
ANTEQUERA,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,31,31
ANZALDO,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,357,357
APOLO,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,496,496
ARANI,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,31,31
ARBIETO,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,90,90
ARQUE,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,62,62
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,2015,2015
ATOCHA,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,677,677
AYATA,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,31,31
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,682,682
AZURDUY,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,744,744
BAURES,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,62,62
BELLA FLOR,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,24,24
BERMEJO,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,3229,3229
BETANZOS,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,589,589
BOLIVAR,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,124,124
BOYUIBE,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,341,341
BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,321,321
"CAIZA ""D""",internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,368,368
CAJUATA,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,60,60
CAMARGO,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,1457,1457
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,186,186
CAMIRI,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,2738,2738
CAPINOTA,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,620,620
CARACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,62,62
CARANAVI,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,868,868
CARAPARI,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,1395,1395
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,271,271
CHALLAPATA,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,1395,1395
CHAQUI,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,217,217
CHARAGUA,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,1135,1135
CHAYANTA,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,155,155
CHIMORE,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,496,496
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,806,806
CHUMA,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,124,124
CKOCHAS,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,248,248
CLIZA,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,465,465
COBIJA,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,5939,5939
COCAPATA,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,279,279
COCHABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,58508,58508
COLCAPIRHUA,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,1860,1860
"COLCHA ""K""",internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,62,62
COLLANA,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,31,31
COLOMI,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,341,341
COLPA BELGICA,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,93,93
COLQUECHACA,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,404,404
COMARAPA,internaciones dias camas,dias camas disponibles otros servicios,2021-01-01,434,434
