,group,variable,month,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,4,7,46,40,50,47,97
ACHACACHI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,25,20,151,124,176,144,320
ACHOCALLA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,8,7,63,65,71,72,143
AIQUILE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,14,19,192,169,206,188,394
ALALAY,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,4,2,20,17,24,19,43
ALCALA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,5,30,21,31,26,57
ALTO BENI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,13,6,73,57,86,63,149
ANCORAIMES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,12,7,86,72,98,79,177
ANDAMARCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,3,23,31,24,34,58
ANTEQUERA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,4,0,21,25,25,25,50
ANZALDO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,9,43,39,48,48,96
APOLO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,13,8,140,139,153,147,300
ARAMPAMPA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,3,3,33,22,36,25,61
ARANI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,13,6,91,79,104,85,189
